REGIAO_HOSPITAL,MES_INTER,DIAG_PRINC,QUANTIDADE
Independência,1,B342,14
Independência,1,J180,5
Independência,1,J189,4
Independência,2,B342,16
Independência,2,J180,4
Independência,2,J189,4
Independência,3,B342,4
Independência,3,J180,4
Independência,3,J189,2
Independência,4,J180,17
Independência,4,J189,7
Independência,5,J180,9
Independência,5,J189,7
Independência,6,J180,9
Independência,6,J189,4
Independência,7,J180,8
Independência,7,J189,3
Independência,8,J180,1
Independência,10,J180,2
Independência,10,J189,1
Independência,11,B342,2
Independência,11,J180,1
Independência,11,J189,1
Independência,12,B342,5
Independência,12,J180,5
Independência,12,J189,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,1,B342,2
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,1,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,1,J189,5
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,2,B342,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,2,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,2,J189,6
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,3,J189,5
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,4,J180,2
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,4,J189,4
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,5,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,7,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,7,J189,14
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,8,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,8,J189,6
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,10,J180,2
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,10,J189,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,11,B342,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,11,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,12,J180,1
Jardim Botânico Avenida Ipiranga - de 2581 a 6699 - lado ímpar,12,J189,6
Santana,1,B342,135
Santana,1,J180,37
Santana,1,J189,6
Santana,2,B342,98
Santana,2,J180,20
Santana,2,J189,3
Santana,3,B342,10
Santana,3,J180,35
Santana,3,J189,8
Santana,4,B342,12
Santana,4,J180,49
Santana,4,J189,7
Santana,5,B342,42
Santana,5,J180,55
Santana,5,J189,12
Santana,6,B342,5
Santana,6,J180,44
Santana,6,J189,18
Santana,7,B342,6
Santana,7,J180,54
Santana,7,J189,9
Santana,8,B342,4
Santana,8,J180,9
Santana,8,J189,1
Santana,11,B342,2
Santana,11,J180,1
Santana,12,B342,13
Santana,12,J180,16
Santana,12,J189,2
