clinic_name;lat;long;enumeration_area;region;water_level;water_source
Clinirim - Clínica do Rim;-30,009647;-51,169902;4314902050;Passo D'Areia;;8.5;"['ETA São João']"
Centro de Diálise e Transplante (CDT);-30,0194826;-51,2035232;4314902041;Moinhos de Vento;10.0;"['ETA Moinhos de Vento']"
Santa Casa de Porto Alegre - Hospital Santa Clara;-30,0308743;-51,2227391; 4314902036;Centro Histórico;10.0;"['ETA Moinhos de Vento']"
Hospital de Clínicas de Porto Alegre (HCPA);-30,0386758;-51,2092431;4314902007;Santana;10.0;"['ETA Moinhos de Vento']"
Hospital Ernesto Dornelles - Centro de Nefrologia e Diálise;-30,0474102;-51,2117024;4314902008;Azenha;7.3;"['ETA Menino Deus','ETA Moinhos de Vento']"
Instituto de Doenças Renais - IDR;-30,041366;-51,2007952; 4314902006;Santa Cecília;10.0;"['ETA Moinhos de Vento']"
Hospital São Lucas da PUCRS - Serviço de Nefrologia;-30,0561123;-51,177679; 4314902018;Jardim Botânico;10.0;"['ETA Menino Deus','ETA Moinhos de Vento']"
Hospital Moinhos de Vento;-30,0262733;-51,208106; 4314902041;Moinhos de Vento;10.0;"['ETA Moinhos de Vento']"
Hospital Mãe de Deus;-30,0595253;-51,2315602; 4314902002;Praia de Belas;4.1;"['ETA Menino Deus','ETA Moinhos de Vento']"
Mãe de Deus CENTER;-30,0327757;-51,1805469;4314902019;Petropolis;10.0;"['ETA São João']"
Ser Vila Nova;-30,1192593;-51,2103523; 4314902032;Vila Nova;10.0;"['ETA Belém Novo']"
Vita Rim - hospital Beneficência Portuguesa;-30,028662;-51,219156;4314902036;Centro Histórico;10.0;"['ETA Moinhos de Vento']"
