hospital,region,longitude,latitude,specialty,bed_type,total_beds,sus_beds
Hospital Cristo Redentor,Cristo Redentor,-51.1599997,-30.0099721,Buco Maxilo Facial,Cirúrgico,7,7
Irmandade da Santa Casa de Misericórdia de Porto Alegre,Centro Histórico,-51.2217197,-30.0301294,Buco Maxilo Facial,Cirúrgico,1,1
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Cardiologia,Cirúrgico,6,0
Hospital Mãe de Deus,Menino Deus,-51.2316227,-30.0591926,Cardiologia,Cirúrgico,46,0
Hospital Moinhos de Vento,Moinhos de Vento,-51.2111042,-30.024954,Cardiologia,Cirúrgico,19,0
Hospital Nossa Senhora da Conceição,Cristo Redentor,-51.1633281,-30.0160754,Cardiologia,Cirúrgico,48,48
Instituto de Cardiologia,Santana,-51.2115909,-30.0491281,Cardiologia,Cirúrgico,158,51
Irmandade da Santa Casa de Misericórdia de Porto Alegre,Centro Histórico,-51.2217197,-30.0301294,Cardiologia,Cirúrgico,53,22
Hospital Santa Ana,Teresópolis,-51.2095088,-30.0866803,Cirurgia Geral,Cirúrgico,1,1
Associação Hospitalar Vila Nova,Vila Nova,-51.2122291,-30.1194333,Cirurgia Geral,Cirúrgico,17,17
HBMPA,Vila Assunção,-51.2536893,-30.0979289,Cirurgia Geral,Cirúrgico,54,0
Blanc Hospital,Santana,-51.2105084,-30.0458046,Cirurgia Geral,Cirúrgico,5,0
Hospital Cristo Redentor,Cristo Redentor,-51.1599997,-30.0099721,Cirurgia Geral,Cirúrgico,15,15
Hospital de Clínicas,Santa Cecília,-51.2092274,-30.0387902,Cirurgia Geral,Cirúrgico,217,164
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Cirurgia Geral,Cirúrgico,6,0
Hospital Ernesto Dornelles,Azenha,-51.2147465,-30.0477777,Cirurgia Geral,Cirúrgico,100,0
Hospital Fêmina,Rio Branco,-51.2093418,-30.0293513,Cirurgia Geral,Cirúrgico,2,2
Hospital Mãe de Deus,Menino Deus,-51.2316227,-30.0591926,Cirurgia Geral,Cirúrgico,16,1
Hospital Materno Infantil Presidente Vargas,Independência,-51.2174568,-30.0295465,Cirurgia Geral,Cirúrgico,1,1
Hospital Moinhos de Vento,Moinhos de Vento,-51.2111042,-30.024954,Cirurgia Geral,Cirúrgico,84,0
Hospital Nossa Senhora da Conceição,Cristo Redentor,-51.1633281,-30.0160754,Cirurgia Geral,Cirúrgico,69,69
Hospital Porto Alegre ABSM,Moinhos de Vento,-51.2108879,-30.0247051,Cirurgia Geral,Cirúrgico,7,0
Hospital Restinga e Extremo-Sul,Restinga,-51.1313177,-30.1426278,Cirurgia Geral,Cirúrgico,17,17
Hospital São Lucas da PUCRS,Jardim Botânico,-51.1759716,-30.0552646,Cirurgia Geral,Cirúrgico,130,42
HPS,Bom Fim,-51.2114172,-30.0362194,Cirurgia Geral,Cirúrgico,21,21
Irmandade da Santa Casa de Misericórdia de Porto Alegre,Centro Histórico,-51.2217197,-30.0301294,Cirurgia Geral,Cirúrgico,49,19
Hospital Mãe de Deus,Menino Deus,-51.2316227,-30.0591926,Endocrinologia,Cirúrgico,1,0
Hospital Nossa Senhora da Conceição,Cristo Redentor,-51.1633281,-30.0160754,Endocrinologia,Cirúrgico,1,1
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Gastroenterologia,Cirúrgico,6,0
Hospital Mãe de Deus,Menino Deus,-51.2316227,-30.0591926,Gastroenterologia,Cirúrgico,4,0
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Ginecologia,Cirúrgico,2,0
Hospital Fêmina,Rio Branco,-51.2093418,-30.0293513,Ginecologia,Cirúrgico,17,17
Hospital Materno Infantil Presidente Vargas,Independência,-51.2174568,-30.0295465,Ginecologia,Cirúrgico,8,8
Hospital Moinhos de Vento,Moinhos de Vento,-51.2111042,-30.024954,Ginecologia,Cirúrgico,4,0
Hospital Nossa Senhora da Conceição,Cristo Redentor,-51.1633281,-30.0160754,Ginecologia,Cirúrgico,14,14
Irmandade da Santa Casa de Misericórdia de Porto Alegre,Centro Histórico,-51.2217197,-30.0301294,Ginecologia,Cirúrgico,1,1
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Nefrologiaurologia,Cirúrgico,2,0
Hospital Mãe de Deus,Menino Deus,-51.2316227,-30.0591926,Nefrologiaurologia,Cirúrgico,13,0
Hospital Moinhos de Vento,Moinhos de Vento,-51.2111042,-30.024954,Nefrologiaurologia,Cirúrgico,4,0
Hospital Nossa Senhora da Conceição,Cristo Redentor,-51.1633281,-30.0160754,Nefrologiaurologia,Cirúrgico,26,26
Irmandade da Santa Casa de Misericórdia de Porto Alegre,Centro Histórico,-51.2217197,-30.0301294,Nefrologiaurologia,Cirúrgico,8,8
Hospital Cristo Redentor,Cristo Redentor,-51.1599997,-30.0099721,Neurocirurgia,Cirúrgico,64,64
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Neurocirurgia,Cirúrgico,4,0
Hospital Mãe de Deus,Menino Deus,-51.2316227,-30.0591926,Neurocirurgia,Cirúrgico,9,0
Hospital Moinhos de Vento,Moinhos de Vento,-51.2111042,-30.024954,Neurocirurgia,Cirúrgico,19,0
Hospital Nossa Senhora da Conceição,Cristo Redentor,-51.1633281,-30.0160754,Neurocirurgia,Cirúrgico,1,1
HPS,Bom Fim,-51.2114172,-30.0362194,Neurocirurgia,Cirúrgico,15,15
Irmandade da Santa Casa de Misericórdia de Porto Alegre,Centro Histórico,-51.2217197,-30.0301294,Neurocirurgia,Cirúrgico,32,4
Hospital Banco de Olhos,Vila Ipiranga,-51.1566647,-30.0223563,Oftalmologia,Cirúrgico,20,12
Hospital Divina Providência,Glória,-51.188816,-30.0851342,Oftalmologia,Cirúrgico,1,0
