bairro,multiplicador
aberta dos morros,1.0
agronomia,0.2857142857142857
anchieta,0.2857142857142857
arquipélago,1.1428571428571428
auxiliadora,1.2857142857142858
azenha,1.8571428571428572
bela vista,1.5714285714285714
belém novo,1.4285714285714286
belém velho,1.4285714285714286
boa vista,1.4285714285714286
boa vista do sul,0.2857142857142857
bom fim,1.5714285714285714
bom jesus,4.0
camaquã,2.4285714285714284
campo novo,1.1428571428571428
cascata,1.8571428571428572
cavalhada,4.142857142857143
centro histórico,5.571428571428571
chácara das pedras,0.8571428571428571
chapéu do sol,0.2857142857142857
cidade baixa,2.142857142857143
cel. aparício borges,2.7142857142857144
costa e silva,2.142857142857143
cristal,4.428571428571429
cristo redentor,2.2857142857142856
espírito santo,0.7142857142857143
extrema,0.14285714285714285
farrapos,2.5714285714285716
farroupilha,0.14285714285714285
floresta,1.5714285714285714
glória,2.4285714285714284
guarujá,0.5714285714285714
higienópolis,1.4285714285714286
hípica,2.5714285714285716
humaitá,1.5714285714285714
independência,1.1428571428571428
ipanema,1.8571428571428572
jardim botânico,1.7142857142857142
jardim carvalho,3.5714285714285716
jardim do salso,0.5714285714285714
jardim leopoldina,2.5714285714285716
jardim europa,0.2857142857142857
jardim floresta,0.42857142857142855
jardim isabel,0.2857142857142857
jardim itú,2.4285714285714284
jardim lindóia,1.0
jardim sabará,1.8571428571428572
jardim são pedro,0.42857142857142855
lageado,0.5714285714285714
lami,0.5714285714285714
lomba do pinheiro,8.285714285714286
mário quintana,5.428571428571429
medianeira,1.5714285714285714
menino deus,4.428571428571429
moinhos de vento,1.5714285714285714
mont'serrat,1.5714285714285714
morro santana,2.7142857142857144
navegantes,0.5714285714285714
nonoai,3.5714285714285716
parque santa fé,0.8571428571428571
partenon,6.857142857142857
passo d'areia,3.0
passo das pedras,2.142857142857143
pedra redonda,0.14285714285714285
petrópolis,5.285714285714286
pitinga,0.5714285714285714
ponta grossa,1.1428571428571428
praia de belas,0.2857142857142857
restinga,7.571428571428571
rio branco,2.4285714285714284
rubem berta,4.714285714285714
santa cecília,0.7142857142857143
santa maria goretti,0.42857142857142855
santa rosa de lima,5.0
santa tereza,5.571428571428571
santana,2.857142857142857
santo antônio,1.8571428571428572
são caetano,0.14285714285714285
são geraldo,1.1428571428571428
são joão,1.7142857142857142
são sebastião,1.0
sarandi,8.428571428571429
serraria,0.8571428571428571
sétimo céu,0.14285714285714285
teresópolis,2.0
três figueiras,0.5714285714285714
tristeza,2.2857142857142856
vila assunção,0.5714285714285714
vila conceição,0.14285714285714285
vila ipiranga,2.5714285714285716
vila jardim,1.8571428571428572
vila joão pessoa,1.8571428571428572
vila nova,4.571428571428571
são josé,3.7142857142857144

