ciclo,hora,quantidade
0,7,22
0,8,20
0,9,29
0,10,45
0,11,53
0,12,54
0,13,53
0,14,50
0,15,83
0,16,76
0,17,102
0,18,101
0,19,110
0,20,102
0,21,59
0,22,41
1,7,26
1,8,35
1,9,45
1,10,56
1,11,59
1,12,56
1,13,55
1,14,73
1,15,65
1,16,72
1,17,98
1,18,86
1,19,81
1,20,84
1,21,63
1,22,46
2,7,19
2,8,34
2,9,59
2,10,57
2,11,59
2,12,48
2,13,65
2,14,81
2,15,91
2,16,78
2,17,81
2,18,87
2,19,88
2,20,75
2,21,49
2,22,29
3,7,17
3,8,40
3,9,39
3,10,56
3,11,58
3,12,58
3,13,50
3,14,65
3,15,83
3,16,65
3,17,95
3,18,104
3,19,102
3,20,84
3,21,40
3,22,44
4,7,17
4,8,25
4,9,55
4,10,55
4,11,54
4,12,56
4,13,44
4,14,71
4,15,50
4,16,79
4,17,95
4,18,100
4,19,84
4,20,93
4,21,78
4,22,44
5,7,14
5,8,32
5,9,41
5,10,58
5,11,53
5,12,55
5,13,63
5,14,72
5,15,73
5,16,87
5,17,89
5,18,103
5,19,85
5,20,93
5,21,47
5,22,35
6,7,9
6,8,27
6,9,62
6,10,61
6,11,78
6,12,75
6,13,57
6,14,88
6,15,62
6,16,71
6,17,85
6,18,104
6,19,86
6,20,81
6,21,54
