ciclo,hora,quantidade
0,8,43
0,9,46
0,10,46
0,11,59
0,12,47
0,13,61
0,14,79
0,15,81
0,16,89
0,17,112
0,18,129
0,19,119
0,20,89
1,8,67
1,9,82
1,10,81
1,11,74
1,12,89
1,13,67
1,14,67
1,15,66
1,16,74
1,17,80
1,18,90
1,19,88
1,20,75
2,8,41
2,9,73
2,10,84
2,11,61
2,12,81
2,13,83
2,14,83
2,15,70
2,16,64
2,17,84
2,18,84
2,19,108
2,20,84
3,8,73
3,9,54
3,10,54
3,11,51
3,12,54
3,13,60
3,14,75
3,15,102
3,16,103
3,17,109
3,18,109
3,19,78
3,20,78
4,8,31
4,9,72
4,10,78
4,11,92
4,12,66
4,13,65
4,14,59
4,15,86
4,16,96
4,17,89
4,18,103
4,19,87
4,20,76
5,8,70
5,9,83
5,10,64
5,11,69
5,12,96
5,13,85
5,14,91
5,15,82
5,16,83
5,17,46
5,18,81
5,19,79
5,20,71
