ciclo,hora,quantidade
0,11,56
0,12,106
0,13,103
0,14,82
0,15,73
0,16,50
0,17,53
0,18,88
0,19,95
0,20,114
0,21,102
0,22,78
1,11,100
1,12,133
1,13,130
1,14,96
1,15,60
1,16,54
1,17,69
1,18,60
1,19,76
1,20,90
1,21,68
1,22,64
2,11,77
2,12,133
2,13,108
2,14,121
2,15,89
2,16,62
2,17,52
2,18,64
2,19,80
2,20,87
2,21,78
2,22,49
3,11,73
3,12,101
3,13,112
3,14,85
3,15,54
3,16,59
3,17,47
3,18,88
3,19,98
3,20,126
3,21,85
3,22,72
4,11,58
4,12,107
4,13,105
4,14,77
4,15,54
4,16,53
4,17,61
4,18,89
4,19,103
4,20,104
4,21,104
4,22,85
5,11,61
5,12,113
5,13,105
5,14,134
5,15,107
5,16,66
5,17,51
5,18,66
5,19,60
5,20,96
5,21,89
5,22,52
6,11,164
6,12,280
6,13,285
6,14,271
