local,total_population/1000
Centro Histórico//home_0,0.218
Centro Histórico//home_1,0.133
Centro Histórico//home_2,0.448
Centro Histórico//home_3,0.24
Centro Histórico//home_4,0.435
Centro Histórico//home_5,0.338
Centro Histórico//home_6,0.304
Centro Histórico//home_7,0.204
Centro Histórico//home_8,0.261
Centro Histórico//home_9,0.228
Centro Histórico//home_10,0.228
Centro Histórico//home_11,0.447
Centro Histórico//home_12,0.318
Centro Histórico//home_13,0.244
Centro Histórico//home_14,0.432
Centro Histórico//home_15,0.353
Centro Histórico//home_16,0.543
Centro Histórico//home_17,0.2
Centro Histórico//home_18,0.196
Centro Histórico//home_19,0.497
Centro Histórico//home_20,0.397
Centro Histórico//home_21,0.298
Centro Histórico//home_22,0.425
Centro Histórico//home_23,0.562
Centro Histórico//home_24,0.305
Centro Histórico//home_25,0.202
Centro Histórico//home_26,0.33
Centro Histórico//home_27,0.316
Centro Histórico//home_28,0.281
Centro Histórico//home_29,0.341
Centro Histórico//home_30,0.287
Centro Histórico//home_31,0.446
Centro Histórico//home_32,0.242
Centro Histórico//home_33,0.258
Centro Histórico//home_34,0.196
Centro Histórico//home_35,0.319
Centro Histórico//home_36,0.27
Centro Histórico//home_37,0.288
Centro Histórico//home_38,0.256
Centro Histórico//home_39,0.31
Centro Histórico//home_40,0.337
Centro Histórico//home_41,0.519
Centro Histórico//home_42,0.339
Centro Histórico//home_43,0.458
Centro Histórico//home_44,0.234
Centro Histórico//home_45,0.262
Centro Histórico//home_46,0.615
Centro Histórico//home_47,0.451
Centro Histórico//home_48,0.382
Centro Histórico//home_49,0.256
Centro Histórico//home_50,0.264
Centro Histórico//home_51,0.245
Centro Histórico//home_52,0.247
Centro Histórico//home_53,0.426
Centro Histórico//home_54,0.28
Centro Histórico//home_55,0.424
Centro Histórico//home_56,0.421
Centro Histórico//home_57,0.43
Centro Histórico//home_58,0.466
Centro Histórico//home_59,0.414
Centro Histórico//home_60,0.447
Centro Histórico//home_61,0.352
Centro Histórico//home_62,0.213
Centro Histórico//home_63,0.293
Centro Histórico//home_64,0.299
Centro Histórico//home_65,0.278
Centro Histórico//home_66,0.329
Centro Histórico//home_67,0.294
Centro Histórico//home_68,0.538
Centro Histórico//home_69,0.363
Centro Histórico//home_70,0.328
Centro Histórico//home_71,0.199
Centro Histórico//home_72,0.372
Centro Histórico//home_73,0.347
Centro Histórico//home_74,0.275
Centro Histórico//home_75,0.287
Centro Histórico//home_76,0.321
Centro Histórico//home_77,0.239
Centro Histórico//home_78,0.119
Centro Histórico//home_79,0.289
Centro Histórico//home_80,0.222
Centro Histórico//home_81,0.257
Centro Histórico//home_82,0.355
Centro Histórico//home_83,0.393
Centro Histórico//home_84,0.386
Centro Histórico//home_85,0.344
Centro Histórico//home_86,0.28
Centro Histórico//home_87,0.308
Centro Histórico//home_88,0.312
Centro Histórico//home_89,0.148
Centro Histórico//home_90,0.317
Centro Histórico//home_91,0.247
Centro Histórico//home_92,0.125
Centro Histórico//home_93,0.382
Centro Histórico//home_94,0.245
Cidade Baixa//home_0,0.448
Cidade Baixa//home_1,0.477
Cidade Baixa//home_2,0.442
Cidade Baixa//home_3,0.307
Cidade Baixa//home_4,0.411
Cidade Baixa//home_5,0.243
Cidade Baixa//home_6,0.289
Cidade Baixa//home_7,0.377
Cidade Baixa//home_8,0.151
Cidade Baixa//home_9,0.325
Cidade Baixa//home_10,0.378
Cidade Baixa//home_11,0.195
Cidade Baixa//home_12,0.416
Cidade Baixa//home_13,0.246
Cidade Baixa//home_14,0.523
Cidade Baixa//home_15,0.265
Cidade Baixa//home_16,0.226
Cidade Baixa//home_17,0.375
Cidade Baixa//home_18,0.327
Cidade Baixa//home_19,0.265
Cidade Baixa//home_20,0.305
Cidade Baixa//home_21,0.676
Cidade Baixa//home_22,0.428
Cidade Baixa//home_23,0.312
Cidade Baixa//home_24,0.204
Cidade Baixa//home_25,0.407
Cidade Baixa//home_26,0.389
Cidade Baixa//home_27,0.263
Cidade Baixa//home_28,0.221
Cidade Baixa//home_29,0.412
Cidade Baixa//home_30,0.34
Cidade Baixa//home_31,0.339
Cidade Baixa//home_32,0.262
Cidade Baixa//home_33,0.128
Cidade Baixa//home_34,0.176
Cidade Baixa//home_35,0.259
Cidade Baixa//home_36,0.461
Cidade Baixa//home_37,0.442
Cidade Baixa//home_38,0.304
