order,id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople
65,e5c637ba-c46c-4a45-b325-32e17c08d2dc,-30.15356379999999,-51.1829887,Igreja Reviver,Aberta dos Morros,"Estrada Gedeon Leite, 780, Aberta dos Morros",Sim,125,80
115,,-30.152894,-51.2007576,Igreja Pentecostal Deus é Amor,Aberta dos Morros,"Av Juca Batista, 3230, Aberta dos Morros",Sim,60,0
1,d1397d8f-8301-4525-ac52-156e574f83e6,-30.023865,-51.1986232,Paróquia Nossa Senhora Auxiliadora,Auxiliadora,"Rua Vinte e Quatro de Outubro, 1001, Auxiliadora",Sim,77,40
47,1a897e88-5092-4071-a4ae-94b887867191,-30.0231652,-51.1949675,Casa da Criança Nossa Senhora Auxiliadora,Auxiliadora,"R. Felipe Neri, 78 - Auxiliadora, Porto Alegre - Rs, 90440-150",Sim,20,
2,e83fde72-4f7d-417d-9a77-1f769e7e95b5,-30.2107239,-51.182764,Igreja Belém Novo,Belém Novo,"Av. Heitor Vieira 474, Belém Novo",Sim,200,85
6,6a40dba0-935b-47e3-a7e0-457c58c16d46,-30.027822353621872,-51.16829097504712,Nilo 2400,Boa Vista,"Av Dr Nilo Pecanha 2400 , Porto Alegre, Bairro Boa Vista",Sim,500.0,1.0
4,be96408c-d616-47b2-8208-f89eabeeffec,-30.048848459906452,-51.163553426828635,Bom Jesus,Bom Jesus,Rua Dezessete Numero 80,Sim,,
81,bef1fe53-bf7e-4f4f-89f7-d515074e028c,-30.034037062937372,-51.24108624621088,Usina do Gasômetro,Cais do Porto,"na praça em frente ao Gasômetro, astrás do parque Harmonia",Não,,
44,3c38b84a-c7c3-4cf6-80ef-1d1fa1d5d78a,-30.107392559481465,-51.241598632964546,Paróquia São Vicente Mártir,Camaquã,"Rua Victor Silva, 186 - Camaquã",Sim,40.0,
97,35e9c5ed-6b46-4997-b06a-2337690fbd59,-30.107627873377574,-51.24130887689567,Escola São Francisco,Camaquã,"Rua Victor Silva, 186 - Camaquã, Porto Alegre - RS, 91910-170",Sim,40.0,
