id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople,obs
1,-30.154210,-51.182870,Igreja Reviver,Aberta dos Morros,"Estrada Gedeon Leite, 780, Aberta dos Morros",Sim,125,125,
2,-30.148028,-51.2037516,Igreja Pentecostal Deus é Amor,Aberta dos Morros,"Av Juca Batista, 3230, Aberta dos Morros",Sim,50,50,
3,-30.087620,-51.116180,COOTEEPA - Cooperativa Habitacional,Agronomia,"Estr. Antônio José Santana, 659 - Agronomia",Sim,11,11,
4,-30.0227144,-51.1960165,Paróquia Nossa Senhora Auxiliadora,Auxiliadora,"R. 24 de Outubro, 1751 - Auxiliadora",Sim,77,40,
5,-30.0230105,-51.1921611,Casa da Criança Nossa Senhora Auxiliadora,Auxiliadora,"R. Felipe Neri, 78 - Auxiliadora",Sim,,,Não a dados sobre quantas pessoas estão no abrigo
6,-30.2107728,-51.1828224,Igreja Belém Novo,Belém Novo,"Av. Heitor Viêira, 494 - Belém Novo",Sim,180,106,
7,-30.1173594,-51.1773674,Amparo Santa Cruz,Belém Velho,"Estr. Costa Gama, 719 - Belém Velho",Sim,75,75,
8,-30.1171782,-51.1829718,CTG Estância da Figueira,Belém Velho,"R. Dr. Vergara, 5345 - Belém Velho",Sim,56,56,
9,-30.027710,-51.171940,Nilo 2400,Boa Vista,"Av Dr Nilo Pecanha 2400 , Porto Alegre, Bairro Boa Vista",Sim,500,,
10,-30.0209904,-51.1744412,UCERGS - União de Cegos Do Rio Grande Do Sul,Boa Vista,"R. Frei Henrique Golland Trindade, 425 - Boa Vista",Sim,50,10,
11,-5.4955601,-47.4343078,Bom Jesus,Bom Jesus,"R. Dezessete, 80 - Bom Jesus",Sim,150,60,
12,-25.4576918,-49.550833,De Tudo da Rose - Antiga Sede do Clubinho,Bom Jesus,Tv Sao Pedro - Bom Jesus,Sim,30,0,
13,-30.1074229,-51.241116223946104,Paróquia São Vicente Mártir,Camaquã,"Rua Victor Silva, 186 - Camaquã",Sim,46,46,
14,-30.1073229,-51.241016223946104,Igreja Desatadora de Nós,Camaquã,"Rua Victor Silva, 186 - Camaquã",Sim,40,40,
15,-30.0979806,-51.166828,Associação dos Moradores dos Vales dos Canudos,Cascata,"Rua Dos Canudos, 625- Cascata",Sim,30,30,
16,-30.0858562,-51.1834629,Abrigo Renascer - Associação de Moradores Tabajara,Cascata,"Estrada dos Batillanas, 515 - Cascata",Sim,40,25,
17,-30.097040,-51.226990,AFISVEC,Cavalhada,"Rua salvador calamussi, 56 - Cavalhada, Porto Alegre",Sim,200,,
18,-30.1431307,-51.2172435,OSC Amurt Amurtel,Cavalhada,"Av. Juca Batista, 6841 - Cavalhada",Sim,46,45,
19,-30.1188013,-51.2243584,AFSVEC,Cavalhada,"Av. da Cavalhada, 1902 - Cavalhada",Sim,150,140,
20,-30.1030341,-51.2267141,Núcleo Comunitário Majagru,Cavalhada,"Av. Paulo Pontes, 97 - Cavalhada",Sim,25,4,
21,-30.0827549,-51.1737469,Associação Comunitária Chacará do Primeiro,Cel. Aparicio Borges,"R. Maria Apolônia Chaves, 30 - Cel. Aparicio Borges",Sim,70,70,
22,-30.04239565,-51.22012940550634,Paróquia Sagrada Família,Cidade Baixa,"R. José Do Patrocínio, 954 - Cidade Baixa, Porto Alegre",Sim,120,,
23,-30.0125739,-51.123841,Centro Humanista,Costa e Silva,"Av. Baltazar de Oliveira Garcia, 2132 - Porto Alegre",Sim,800,800,
24,-30.097557,-51.2429391,Paróquia São Martinho,Cristal,"R. Coronel Claudino, 220 - Cristal",Sim,60,60,
25,-30.0866655,-51.2381293,Escola Elyseu Paglioli,Cristal,"R. Butuí, 221 - Cristal",Sim,120,28,
26,-30.013890,-51.154650,Igreja Da Paz,Cristo Redentor,"Rua Dim Diogo De Souza 370/390, Cristo Redentor",Sim,50,50,
27,-30.013848698285,-51.148869168069,Colégio Santa Doroteia,Cristo Redentor,"R. Mali, 405 - Cristo Redentor",Sim,390,390,
28,-30.027445999999998,-51.216889619256406,Igreja Pompeia,Floresta,"R. Dr. Barros Cassal, 220 - Floresta",Sim,50,30,
29,-30.08352505,-51.18950331017788,Vila Betânia,Glória,"R. da Gruta, 230 - Glória, Porto Alegre - RS, 91712-160",Sim,114,56,
30,-30.0776683,-51.2065986,Ginásio Brigada,Glória,"R. Cel. Aparício Borges, 2001 - Glória",Sim,495,495,
31,-30.0752032,-51.2027854,Colégio Marista Assunção,Glória,"R. Dom Bosco, 103 - Glória",Sim,86,86,
32,-30.1604167,-51.2205309,CTG Roda de Chimarrão,Guarujá,"Av. da Serraria, 1835 - Guarujá",Sim,70,70,
33,-30.03050415,-51.21799877923745,Colégio Matrista Rosário,Independência,"Praça Dom Sebastião, 2 - Independência",Sim,180,180,
34,-30.029168849999998,-51.21920497314472,Igreja Nossa Senhora da Conceição,Independência,"Av. Independência, 230 - Independência",Sim,160,0,Não a dados sobre quantas pessoas estão no abrigo
35,-30.1306086,-51.2379639,Enjoy Sushi,Ipanema,"Av. Cel. Marcos, 1085 - Ipanema",Sim,60,60,
36,-30.0506547,-51.1844963,ESEFID,Jardim Botânico,"R. Felizardo, 750 - Jardim Botânico",Sim,306,306,
37,-30.051682200000002,-51.176703296206895,Projeto Angelina Luz,Jardim Botânico,"R. Dr. Salvador França, 300 - Jardim Botânico",Sim,50,50,
38,-30.04448042041606,-51.13628152385921,Igreja Rosa De Sarom,Jardim Carvalho,"Rua Beco Souza Costa, 174, Morro Santana",Sim,100,80,
39,-30.019863,-51.118579,CTG Herdeiros da Tradição,Jardim Dona Leopoldina,"Rua Professora Ziláh Totta, 898 - Jardim Dona Leopoldina",Sim,60,10,
40,-29.9971131,-51.1542151,CTG Maragatos,Jardim Floresta,"R. Ouro Preto, 408 A - Jardim Floresta",Sim,100,86,
41,-29.9991131,-51.1562151,Igreja Batista Nacional de Porto Alegre,Jardim Floresta,"R. Ouro Preto, 785 - Jardim Floresta",Sim,100,60,
42,-29.9981131,-51.1552151,Igreja Evangélica Ponto de Fé,Jardim Floresta,"R. Ouro Preto, 682 - Jardim Floresta",Sim,40,35,
43,-30.002899861982897,-51.15229110587865,Lindóia Tênis Clube,Jardim Lindóia,"Tv. Cmte. Gustavo Cramer, 90 - Jardim Lindóia",Sim,259,259,
44,-30.0041919,-51.1649581,Paróquia Divino Espírito Santo,Jardim São Pedro,"R. Bôrtolo Barbieri, 80 - Jardim São Pedro",Sim,85,60,
45,-30.048501478250113,-51.13901738175068,Associação do Trabalhadores de Telecom,Jardim Ypu,"Beco Souza Costa, 750 - Jardim Ypu, Porto Alegre - Rs, 91450-140",Sim,120,97,
46,-30.0965263,-51.1261823,Abrigo Cozinha Solidária União do Vale - CEPA,Lomba do Pinheiro,"R. Dolores Duran, 1211 - Lomba do Pinheiro",Sim,20,0,
47,-30.1213807,-51.0989256,Ministério Betânia,Lomba do Pinheiro,"R. Gervazio Braga Pinheiro, 740 - Lomba do Pinheiro",Sim,55,7,
48,-30.0238933,-51.0964305,CESMAR Mário Quintana,Mário Quintana,"Estr. Antônio Severino, 1493 - Mário Quintana",Sim,66,66,
49,-30.0250783,-51.0914955,Igreja São Martir,Mário Quintana,"R. 6, 250 - Mário Quintana",Sim,46,30,
50,-30.0655827,-51.2122543,Paroquia Nossa Senhora Medianeira,Medianeira,"R. Cel. Neves, 114 - Medianeira",Sim,44,5,
51,-30.0689847,-51.2050688,Lord Sale,Medianeira,"R. Dom João VI, 240 - Medianeira",Sim,70,70,
