clinic_name;lat;long;enumeration_area;region;water_source
Clinirim - Clínica do Rim;-30,0196724;-51,2423319;4314902033;Arquipélago;"['ETA São João']"
Centro de Diálise e Transplante (CDT);-30,0194826;-51,2035232;4314902041;Moinhos de Vento;"['ETA Moinhos de Vento']"
Santa Casa de Porto Alegre - Hospital Santa Clara;-30,0308743;-51,2227391; 4314902036;Centro Histórico;"['ETA Moinhos de Vento']"
Hospital de Clínicas de Porto Alegre (HCPA);-30,0386758;-51,2092431;4314902007;Santana;"['ETA Moinhos de Vento']"
Hospital Ernesto Dornelles - Centro de Nefrologia e Diálise;-30,0474102;-51,2117024;4314902008;Azenha;"['ETA Menino Deus','ETA Moinhos de Vento']"
Instituto de Doenças Renais - IDR;-30,041366;-51,2007952; 4314902006;Santa Cecília;"['ETA Moinhos de Vento']"
Hospital São Lucas da PUCRS - Serviço de Nefrologia;-30,0561123;-51,177679; 4314902018;Jardim Botânico;"['ETA Menino Deus','ETA Moinhos de Vento']"
Hospital Moinhos de Vento;-30,0262733;-51,208106; 4314902041;Moinhos de Vento;"['ETA Moinhos de Vento']"
Hospital Mãe de Deus;-30,0595253;-51,2315602; 4314902002;Praia de Belas;"['ETA Menino Deus','ETA Moinhos de Vento']"
Mãe de Deus CENTER;-30,0327757;-51,1805469;4314902019;Petropolis;"['ETA São João']"
Ser Vila Nova;-30,1192593;-51,2103523; 4314902032;Vila Nova;"['ETA Belém Novo']"
Vita Rim - hospital Beneficência Portuguesa;-30;-51,2228223;4314902036;Centro Histórico;"['ETA Moinhos de Vento']"
