cycle;cycle_step;water_level
0;0;2.00
0;1;
0;2;
0;3;
0;4;
0;5;
0;6;
0;7;
0;8;
0;9;
0;10;
0;11;
0;12;
0;13;
0;14;
0;15;4.58
0;16;4.58
0;17;4.63
0;18;4.69
0;19;4.7
0;20;4.72
0;21;4.77
0;22;4.8
0;23;4.8
1;0;4.88
1;1;4.88
1;2;4.88
1;3;4.94
1;4;4.96
1;5;4.92
1;6;4.98
1;8;5.02
1;9;5.04
1;10;5.04
1;11;5.08
1;12;5.09
1;13;5.1
1;14;5.1
1;15;5.16
1;16;5.16
1;17;5.19
1;18;5.18
1;19;5.21
1;20;5.2
1;21;5.21
1;22;5.21
1;23;5.27
2;0;5.26
2;1;5.24
2;2;5.3
2;3;5.28
2;4;5.3
2;5;5.31
2;6;5.3
2;7;5.29
2;8;5.33
2;9;5.31
2;10;5.28
2;11;5.31
2;12;5.27
2;13;5.31
2;14;5.31
2;15;5.28
2;16;5.31
2;17;5.25
2;18;5.27
2;19;5.29
2;20;5.28
2;21;5.25
2;22;5.26
2;23;5.28
3;0;5.27
3;1;5.27
3;2;5.26
3;3;5.26
3;4;5.29
3;5;5.25
3;6;5.27
3;7;5.27
3;8;5.27
3;9;5.29
3;10;5.25
3;11;5.26
3;12;5.27
3;13;5.27
3;14;5.26
3;15;5.28
3;16;5.28
3;17;5.26
3;18;5.26
3;19;5.29
3;20;5.33
3;21;5.32
3;22;5.29
3;23;5.3
4;0;5.29
4;1;5.29
4;2;5.28
4;3;5.27
4;4;5.27
4;5;5.26
4;6;5.27
4;7;5.27
4;8;5.27
4;9;5.27
4;10;5.28
4;11;5.27
4;12;5.26
4;13;5.24
4;14;5.25
4;15;5.25
4;16;5.25
4;17;5.22
4;18;5.22
4;19;5.21
4;20;5.2
4;21;5.21
4;22;5.18
4;23;5.2
5;0;5.2
5;1;5.18
5;2;5.18
5;3;5.16
5;4;5.15
5;5;5.15
5;6;5.14
5;7;5.14
5;8;5.1
5;9;5.11
5;10;5.1
5;11;5.1
5;12;5.08
5;13;5.05
5;14;5.07
5;15;5.08
5;16;5.06
5;17;5.04
5;18;5.03
5;19;5.04
5;20;5.03
5;21;5.03
5;22;5.0
5;23;5.01
6;0;5.02
6;1;5.01
6;2;5.02
6;3;5.04
6;4;5.04
6;5;5.04
6;6;5.04
6;7;5.04
6;8;5.04
6;9;5.03
6;10;5.03
6;11;5.02
6;12;4.93
6;13;4.94
6;14;4.92
6;15;4.92
6;16;4.9
6;17;4.9
6;18;4.88
6;19;4.86
6;20;4.85
6;21;4.83
6;22;4.82
6;23;4.81
7;0;4.81
7;1;4.78
7;2;4.79
7;3;4.77
7;4;4.77
7;5;4.77
7;6;4.75
7;7;4.75
7;8;4.75
7;9;4.73
7;10;4.72
7;11;4.7
7;12;4.72
7;13;4.71
7;14;4.7
7;15;4.69
7;16;4.7
7;17;4.71
7;18;4.7
7;19;4.7
7;20;4.71
7;21;4.7
7;22;4.68
7;23;4.66
8;0;4.64
8;1;4.63
8;2;4.62
8;3;4.61
8;4;4.61
8;5;4.6
8;6;4.6
8;7;4.59
8;8;4.6
8;9;
8;10;
8;11;4.58
8;12;4.58
8;13;4.58
8;14;4.57
8;15;4.58
8;16;4.58
8;17;4.57
8;18;4.59
8;19;4.58
8;20;4.58
8;21;4.58
8;22;4.58
8;23;4.6
9;0;4.62
9;1;4.61
9;2;4.61
9;3;4.61
9;4;4.64
9;5;4.62
9;6;4.65
9;7;4.63
9;8;4.64
9;9;4.65
9;10;4.66
9;11;4.63
9;12;4.63
9;13;4.65
9;14;4.63
9;15;4.64
9;16;4.63
9;17;4.64
9;18;4.64
9;19;4.63
9;20;4.62
9;21;4.64
9;22;4.64
9;23;4.62
10;0;4.64
10;1;4.64
10;2;4.67
10;3;4.68
10;4;4.69
10;5;4.7
10;6;4.75
10;7;4.77
10;8;4.8
10;9;4.84
10;10;4.9
10;11;4.91
10;12;4.94
10;13;4.94
10;14;4.94
10;15;4.96
10;16;5.02
10;17;5.03
10;18;5.05
10;19;5.06
10;20;5.09
10;21;5.09
10;22;5.13
10;23;5.12
11;0;5.14
11;1;5.15
11;2;5.15
11;3;5.17
11;4;5.17
11;5;5.18
11;6;5.18
11;7;5.18
11;8;5.21
11;9;5.2
11;10;5.2
11;11;5.22
11;12;5.19
11;13;5.21
11;14;5.21
11;15;5.23
11;16;5.23
11;17;5.23
11;18;5.22
11;19;5.23
11;20;5.24
11;21;5.21
11;22;5.25
11;23;5.22
12;0;5.22
12;1;5.22
12;2;5.22
12;3;5.21
12;4;5.21
12;5;5.21
12;6;5.21
12;7;5.21
12;8;5.21
12;9;5.21
12;10;5.19
12;11;5.19
12;12;5.18
12;13;5.19
12;14;5.17
12;15;5.16
12;16;5.16
12;17;5.18
12;18;5.13
12;19;5.12
12;20;5.1
12;21;5.11
12;22;5.1
12;23;5.08
13;0;5.07
13;1;5.04
13;2;5.02
13;3;5.01
13;4;5.02
13;5;4.98
13;6;4.98
13;7;4.98
13;8;4.97
13;9;4.97
13;10;4.94
13;11;4.93
13;12;4.92
13;13;4.9
13;14;4.89
13;15;4.88
13;16;4.86
13;17;4.86
13;18;4.84
13;19;4.84
13;20;4.83
13;21;4.83
13;22;4.81
13;23;4.8
14;0;4.78
14;1;4.78
14;2;4.77
14;3;4.76
14;4;4.75
14;5;4.74
14;6;4.73
14;7;4.72
14;8;4.7
14;9;4.72
14;10;4.69
14;11;4.69
14;12;4.69
14;13;4.68
14;14;4.66
14;15;4.65
14;16;4.64
14;17;4.62
14;18;4.62
14;19;4.6
14;20;4.58
14;21;4.58
14;22;4.56
14;23;4.55
15;0;4.55
15;1;4.54
15;2;4.55
15;3;4.56
15;4;4.55
15;5;4.54
15;6;4.53
15;7;4.52
15;8;4.52
15;9;4.53
15;10;4.53
15;11;4.53
15;12;4.54
15;13;4.54
15;14;4.54
15;15;4.54
15;16;4.54
15;17;4.55
15;18;4.54
15;19;4.53
15;20;4.54
15;21;4.55
15;22;4.54
15;23;4.53
16;0;4.51
16;1;4.5
16;2;4.48
16;3;4.48
16;4;4.46
16;5;4.47
16;6;4.44
16;7;4.43
16;8;4.42
16;9;4.4
16;10;4.39
16;11;4.38
16;12;4.35
16;13;4.34
16;14;4.33
16;15;4.31
16;16;4.31
16;17;4.29
16;18;4.28
16;19;4.27
16;20;4.27
16;21;4.26
16;22;4.25
16;23;4.25
17;0;4.24
17;1;4.25
17;2;4.26
17;3;4.27
17;4;4.29
17;5;4.3
17;6;4.31
17;7;4.32
17;8;4.32
17;9;4.32
17;10;4.32
17;11;4.3
17;12;4.29
17;13;4.28
17;14;4.26
17;15;4.26
17;16;4.25
17;17;4.25
17;18;4.23
17;19;4.23
17;20;4.22
17;21;4.22
17;22;4.21
17;23;4.19
18;0;4.18
18;1;4.17
18;2;4.16
18;3;4.15
18;4;4.13
18;5;4.12
18;6;4.1
18;7;4.09
18;8;4.08
18;9;4.07
18;10;4.07
18;11;4.06
18;12;4.05
18;13;4.04
18;14;4.04
18;15;4.03
18;16;4.03
18;17;4.02
18;18;4.01
18;19;4.01
18;20;4.01
18;21;4.01
18;22;4.0
18;23;4.0
19;0;3.99
19;1;3.97
19;2;3.96
19;3;3.96
19;4;3.95
19;5;3.94
19;6;3.93
19;7;3.92
19;8;3.9
19;9;3.9
19;10;3.91
19;11;3.9
19;12;3.91
19;13;3.92
19;14;3.93
19;15;3.92
19;16;3.92
19;17;3.91
19;18;3.9
19;19;3.9
19;20;3.89
19;21;3.88
19;22;3.86
19;23;3.84
20;0;3.82
20;1;3.82
20;2;3.85
20;3;3.89
20;4;3.94
20;5;3.96
20;6;3.94
20;7;3.92
20;8;3.89
20;9;3.84
20;10;3.83
20;11;3.86
20;12;3.9
20;13;3.9
20;14;3.91
20;15;3.93
20;16;3.91
20;17;3.91
20;18;3.91
20;19;3.91
20;20;3.9
20;21;3.91
20;22;3.89
20;23;3.87
21;0;3.88
21;1;3.86
21;2;3.86
21;3;3.87
21;4;3.88
21;5;3.89
21;6;3.91
21;7;3.92
21;8;3.92
21;9;3.93
21;10;3.94
21;11;3.95
21;12;3.98
21;13;4.03
21;14;4.1
21;15;4.16
21;16;4.26
