contrast;environment;stratum;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
levy_on_minus_off;13;none;requested;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;fulfilled;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;unmet;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;fulfillment_rate;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;trips;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;travelers;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;travelers_per_capita;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;traveler_distance;30;-11385812.650831137;15625.593427969297;-11391647.343307627;-11379977.958354646;True
levy_on_minus_off;13;none;distance_per_requested_visit;30;-4.79480162301237;0.006580261157159255;-4.797258732909924;-4.792344513114816;True
levy_on_minus_off;13;none;mean_distance_per_traveler;30;-4.79480162301237;0.006580261157159255;-4.797258732909924;-4.792344513114816;True
levy_on_minus_off;13;none;occupancy_person_hours;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;occupancy_per_requested_visit;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;none;peak_hourly_occupancy;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;requested;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;fulfilled;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;unmet;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;fulfillment_rate;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;trips;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;travelers;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;travelers_per_capita;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;traveler_distance;30;-9664777.649189778;15319.915956899376;-9670498.199822702;-9659057.098556854;True
levy_on_minus_off;13;pois;distance_per_requested_visit;30;-4.070038123717592;0.006451534040407911;-4.072447166119784;-4.0676290813154;True
levy_on_minus_off;13;pois;mean_distance_per_traveler;30;-4.2182698930764175;0.006686500465001839;-4.220766673383485;-4.21577311276935;True
levy_on_minus_off;13;pois;occupancy_person_hours;30;0.0;0.0;0.0;0.0;True
levy_on_minus_off;13;pois;occupancy_per_requested_visit;30;0.0;0.0;0.0;0.0;True
