scenario;environment;levy;flood;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy
13_levy_off_flood_none;13;False;none;0;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;95681757.46585552;90.65923580240243;90.65923580240243;1055400.0;1.0;2075.0
13_levy_off_flood_none;13;False;none;0;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;21416611.08969191;81.18010692942016;81.18010692942016;263816.0;1.0;685.0
13_levy_off_flood_none;13;False;none;0;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;88994761.8836453;84.32325363240979;84.32325363240979;1055400.0;1.0;5367.0
13_levy_off_flood_pois;13;False;pois;0;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;87019458.2505967;82.4516375313594;85.33678747516147;1019718.0;0.9661910176236498;2075.0
13_levy_off_flood_pois;13;False;pois;0;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;20105076.599542074;76.2087083404421;79.0993472982869;254175.0;0.9634555902598781;685.0
13_levy_off_flood_pois;13;False;pois;0;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;83644857.34140934;79.25417599148128;82.2241878241831;1017278.0;0.9638790979723327;5367.0
13_levy_off_flood_homes;13;False;homes;0;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;101809993.473026;96.46578877489672;96.46578877489672;1055400.0;1.0;2075.0
13_levy_off_flood_homes;13;False;homes;0;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;23375310.856089074;88.60459887227869;88.60459887227869;263816.0;1.0;685.0
13_levy_off_flood_homes;13;False;homes;0;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;96410853.67293528;91.35006033061899;91.35006033061899;1055400.0;1.0;5367.0
13_levy_off_flood_both;13;False;both;0;marketplace;131925;1055400.0;1019718.0;35682.0;0.9661910176236498;309674.0;1019718.0;7.729528140989198;87323834.59962694;82.7400365734574;85.6352781843872;1019718.0;0.9661910176236498;2075.0
13_levy_off_flood_both;13;False;both;0;pharmacy;131925;263816.0;254175.0;9641.0;0.9634555902598781;198756.0;254175.0;1.9266628766344513;20239381.298522424;76.7177930774571;79.62774190428809;254175.0;0.9634555902598781;685.0
13_levy_off_flood_both;13;False;both;0;restaurant;131925;1055400.0;1017278.0;38122.0;0.9638790979723327;213975.0;1017278.0;7.711032783778662;84320228.70959674;79.89409580215722;82.8880883196105;1017278.0;0.9638790979723327;5367.0
13_levy_on_flood_none;13;True;none;0;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90095579.58914804;85.3662872741596;85.3662872741596;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;0;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20794476.982761268;78.82189474012671;78.82189474012671;263816.0;1.0;685.0
