scenario;environment;levy;flood;seed;origin_region;destination_region;node_type;trips;travelers;traveler_distance;mean_distance_per_traveler
13_levy_off_flood_none;13;False;none;0;Azenha;Azenha;marketplace;26176.0;91400.0;7417433.502169483;81.15353941104468
13_levy_off_flood_none;13;False;none;0;Azenha;Azenha;pharmacy;17808.0;23632.0;1847244.159725269;78.16706837022973
13_levy_off_flood_none;13;False;none;0;Azenha;Azenha;restaurant;20040.0;96512.0;8908053.516860219;92.29995769293164
13_levy_off_flood_none;13;False;none;0;Azenha;Cidade Baixa;pharmacy;528.0;528.0;37794.95956309204;71.58136280888644
13_levy_off_flood_none;13;False;none;0;Azenha;Cidade Baixa;restaurant;608.0;2120.0;186448.05873387057;87.94719751597668
13_levy_off_flood_none;13;False;none;0;Azenha;Praia de Belas;marketplace;928.0;2352.0;3488331.393752012;1483.1340959829984
13_levy_off_flood_none;13;False;none;0;Azenha;Praia de Belas;pharmacy;16.0;16.0;24567.94312125204;1535.4964450782525
13_levy_off_flood_none;13;False;none;0;Azenha;Santana;marketplace;1760.0;5576.0;515558.20757706097;92.46022374050591
13_levy_off_flood_none;13;False;none;0;Azenha;Santana;restaurant;608.0;2520.0;477456.4069522315;189.46682815564742
13_levy_off_flood_none;13;False;none;0;Bom Fim;Bom Fim;marketplace;20256.0;72008.0;4985699.402626022;69.23813191070467
13_levy_off_flood_none;13;False;none;0;Bom Fim;Bom Fim;pharmacy;14488.0;19712.0;1134548.2501926438;57.55622210798721
13_levy_off_flood_none;13;False;none;0;Bom Fim;Bom Fim;restaurant;15200.0;79488.0;4268218.803919038;53.69639195751608
13_levy_off_flood_none;13;False;none;0;Bom Fim;Centro Histórico;marketplace;880.0;2064.0;364248.87745717535;176.47716931064696
13_levy_off_flood_none;13;False;none;0;Bom Fim;Centro Histórico;pharmacy;512.0;512.0;118962.39234437598;232.34842254760935
13_levy_off_flood_none;13;False;none;0;Bom Fim;Farroupilha;marketplace;880.0;2712.0;407738.3428219032;150.345996615746
13_levy_off_flood_none;13;False;none;0;Bom Fim;Independência;marketplace;1736.0;3640.0;246109.61706995836;67.61253216207648
