scenario;environment;levy;flood;seed;cycles;population;requested;fulfilled;unmet;trips;travelers;traveler_distance;occupancy_person_hours;fulfillment_rate;travelers_per_capita;distance_per_requested_visit;mean_distance_per_traveler;occupancy_per_requested_visit;peak_hourly_occupancy;runtime_seconds;peak_memory_kib;validation_passed;failed_checks;commit_sha
13_levy_off_flood_none;13;False;none;0;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;206093130.43919274;2374616.0;1.0;17.99974227780936;86.7900875085457;86.7900875085457;1.0;6780.0;210.10442224899998;218600.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_off_flood_pois;13;False;pois;0;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;190769392.1915481;2291171.0;0.9648595815070732;17.36722380140231;80.33694382230563;83.26283467779058;0.9648595815070732;6780.0;376.91756996799813;217180.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_off_flood_homes;13;False;homes;0;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;221596158.00205037;2374616.0;1.0;17.99974227780936;93.31873364032347;93.31873364032347;1.0;6780.0;329.6217668120007;277792.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_off_flood_both;13;False;both;0;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;191883444.6077461;2291171.0;0.9648595815070732;17.36722380140231;80.80609437809991;83.74907180989376;0.9648595815070732;6780.0;313.90983618300015;245872.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;0;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194738800.0914984;2374616.0;1.0;17.99974227780936;82.00854373570228;82.00854373570228;1.0;6780.0;396.9176573279983;252704.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;1;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194703521.27646604;2374616.0;1.0;17.99974227780936;81.9936870957098;81.9936870957098;1.0;6780.0;515.7239349640004;251872.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;2;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194699704.68887553;2374616.0;1.0;17.99974227780936;81.99207985159518;81.99207985159518;1.0;6780.0;518.9209662989997;251892.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;3;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194716032.41313294;2374616.0;1.0;17.99974227780936;81.99895579459287;81.99895579459287;1.0;6780.0;532.0240781309985;252192.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;4;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194698943.1720035;2374616.0;1.0;17.99974227780936;81.99175916106162;81.99175916106162;1.0;6780.0;507.18441405700287;252540.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;5;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194700716.33534366;2374616.0;1.0;17.99974227780936;81.99250587688437;81.99250587688437;1.0;6780.0;542.1136255019992;251968.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;6;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194718928.53434986;2374616.0;1.0;17.99974227780936;82.00017541124538;82.00017541124538;1.0;6780.0;540.5896988659988;252476.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;7;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194709200.7410599;2374616.0;1.0;17.99974227780936;81.99607883592964;81.99607883592964;1.0;6780.0;492.56514072999926;252292.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;8;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194710625.92220235;2374616.0;1.0;17.99974227780936;81.99667900923869;81.99667900923869;1.0;6780.0;514.6545574449992;252124.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;9;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194701455.82526338;2374616.0;1.0;17.99974227780936;81.99281729141191;81.99281729141191;1.0;6780.0;541.1447697359981;252136.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;10;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194697594.1070644;2374616.0;1.0;17.99974227780936;81.99119104186293;81.99119104186293;1.0;6780.0;535.0134351199995;252728.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;11;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194697114.32565197;2374616.0;1.0;17.99974227780936;81.99098899596902;81.99098899596902;1.0;6780.0;536.3036204059972;252556.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;12;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194700103.6349373;2374616.0;1.0;17.99974227780936;81.99224785604801;81.99224785604801;1.0;6780.0;556.108991142999;252328.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
