scenario;environment;levy;flood;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
13_levy_off_flood_both;13;False;both;requested;1;2374616.0;;;;False
13_levy_off_flood_both;13;False;both;fulfilled;1;2291171.0;;;;False
13_levy_off_flood_both;13;False;both;unmet;1;83445.0;;;;False
13_levy_off_flood_both;13;False;both;fulfillment_rate;1;0.9648595815070732;;;;False
13_levy_off_flood_both;13;False;both;trips;1;722405.0;;;;False
13_levy_off_flood_both;13;False;both;travelers;1;2291171.0;;;;False
13_levy_off_flood_both;13;False;both;travelers_per_capita;1;17.36722380140231;;;;False
13_levy_off_flood_both;13;False;both;traveler_distance;1;191883444.6077461;;;;False
13_levy_off_flood_both;13;False;both;distance_per_requested_visit;1;80.80609437809991;;;;False
13_levy_off_flood_both;13;False;both;mean_distance_per_traveler;1;83.74907180989376;;;;False
13_levy_off_flood_both;13;False;both;occupancy_person_hours;1;2291171.0;;;;False
13_levy_off_flood_both;13;False;both;occupancy_per_requested_visit;1;0.9648595815070732;;;;False
13_levy_off_flood_both;13;False;both;peak_hourly_occupancy;1;6780.0;;;;False
13_levy_off_flood_homes;13;False;homes;requested;1;2374616.0;;;;False
13_levy_off_flood_homes;13;False;homes;fulfilled;1;2374616.0;;;;False
13_levy_off_flood_homes;13;False;homes;unmet;1;0.0;;;;False
13_levy_off_flood_homes;13;False;homes;fulfillment_rate;1;1.0;;;;False
13_levy_off_flood_homes;13;False;homes;trips;1;750336.0;;;;False
13_levy_off_flood_homes;13;False;homes;travelers;1;2374616.0;;;;False
13_levy_off_flood_homes;13;False;homes;travelers_per_capita;1;17.99974227780936;;;;False
13_levy_off_flood_homes;13;False;homes;traveler_distance;1;221596158.00205037;;;;False
13_levy_off_flood_homes;13;False;homes;distance_per_requested_visit;1;93.31873364032347;;;;False
13_levy_off_flood_homes;13;False;homes;mean_distance_per_traveler;1;93.31873364032347;;;;False
13_levy_off_flood_homes;13;False;homes;occupancy_person_hours;1;2374616.0;;;;False
13_levy_off_flood_homes;13;False;homes;occupancy_per_requested_visit;1;1.0;;;;False
13_levy_off_flood_homes;13;False;homes;peak_hourly_occupancy;1;6780.0;;;;False
13_levy_off_flood_none;13;False;none;requested;1;2374616.0;;;;False
13_levy_off_flood_none;13;False;none;fulfilled;1;2374616.0;;;;False
13_levy_off_flood_none;13;False;none;unmet;1;0.0;;;;False
13_levy_off_flood_none;13;False;none;fulfillment_rate;1;1.0;;;;False
13_levy_off_flood_none;13;False;none;trips;1;750336.0;;;;False
13_levy_off_flood_none;13;False;none;travelers;1;2374616.0;;;;False
13_levy_off_flood_none;13;False;none;travelers_per_capita;1;17.99974227780936;;;;False
13_levy_off_flood_none;13;False;none;traveler_distance;1;206093130.43919274;;;;False
13_levy_off_flood_none;13;False;none;distance_per_requested_visit;1;86.7900875085457;;;;False
13_levy_off_flood_none;13;False;none;mean_distance_per_traveler;1;86.7900875085457;;;;False
13_levy_off_flood_none;13;False;none;occupancy_person_hours;1;2374616.0;;;;False
13_levy_off_flood_none;13;False;none;occupancy_per_requested_visit;1;1.0;;;;False
13_levy_off_flood_none;13;False;none;peak_hourly_occupancy;1;6780.0;;;;False
13_levy_off_flood_pois;13;False;pois;requested;1;2374616.0;;;;False
13_levy_off_flood_pois;13;False;pois;fulfilled;1;2291171.0;;;;False
13_levy_off_flood_pois;13;False;pois;unmet;1;83445.0;;;;False
13_levy_off_flood_pois;13;False;pois;fulfillment_rate;1;0.9648595815070732;;;;False
13_levy_off_flood_pois;13;False;pois;trips;1;722405.0;;;;False
13_levy_off_flood_pois;13;False;pois;travelers;1;2291171.0;;;;False
13_levy_off_flood_pois;13;False;pois;travelers_per_capita;1;17.36722380140231;;;;False
13_levy_off_flood_pois;13;False;pois;traveler_distance;1;190769392.1915481;;;;False
13_levy_off_flood_pois;13;False;pois;distance_per_requested_visit;1;80.33694382230563;;;;False
13_levy_off_flood_pois;13;False;pois;mean_distance_per_traveler;1;83.26283467779058;;;;False
13_levy_off_flood_pois;13;False;pois;occupancy_person_hours;1;2291171.0;;;;False
13_levy_off_flood_pois;13;False;pois;occupancy_per_requested_visit;1;0.9648595815070732;;;;False
13_levy_off_flood_pois;13;False;pois;peak_hourly_occupancy;1;6780.0;;;;False
13_levy_on_flood_both;13;True;both;requested;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_both;13;True;both;fulfilled;30;2291171.0;0.0;2291171.0;2291171.0;True
13_levy_on_flood_both;13;True;both;unmet;30;83445.0;0.0;83445.0;83445.0;True
