scenario;levy;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy;reroute_events;rerouted_requested;rerouted_fulfilled;rerouted_unmet;reroute_traveler_distance;mean_reroute_distance_per_traveler;receiving_destinations;peak_receiving_load
13_levy_off_flood_both_reroute;False;0;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;93756098.20585999;88.83465814464657;88.83465814464657;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_off_flood_both_reroute;False;0;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;21568392.162021283;81.75543622077996;81.75543622077996;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_off_flood_both_reroute;False;0;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;88520114.9124062;83.87352180444022;83.87352180444022;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;0;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89035835.69109358;84.36217139576803;84.36217139576803;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;0;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20887738.591963656;79.17540479714519;79.17540479714519;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;0;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84022990.18151157;79.61245990289139;79.61245990289139;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;1;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89025489.37732086;84.35236818014104;84.35236818014104;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;1;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20881756.281674378;79.15272872636375;79.15272872636375;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;1;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84007721.88794623;79.59799307177016;79.59799307177016;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;2;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89021454.71908681;84.34854530896988;84.34854530896988;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;2;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20882702.493887685;79.15631536331263;79.15631536331263;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;2;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84008070.45074357;79.5983233378279;79.5983233378279;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;3;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89159832.86273219;84.47965971454632;84.47965971454632;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;3;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20852108.148051314;79.0403468631596;79.0403468631596;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;3;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83968450.36794369;79.56078299028206;79.56078299028206;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;4;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89022488.71928644;84.34952503248668;84.34952503248668;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;4;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20882835.69996781;79.15682028371216;79.15682028371216;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
