scenario;environment;levy;flood;adaptation;seed;cycles;population;requested;fulfilled;unmet;trips;travelers;traveler_distance;occupancy_person_hours;reroute_events;rerouted_requested;rerouted_fulfilled;rerouted_unmet;reroute_traveler_distance;receiving_destinations;fulfillment_rate;travelers_per_capita;distance_per_requested_visit;mean_distance_per_traveler;occupancy_per_requested_visit;peak_hourly_occupancy;mean_reroute_distance_per_traveler;peak_receiving_load;runtime_seconds;peak_memory_kib;validation_passed;failed_checks;commit_sha
13_levy_off_flood_both_reroute;13;False;both;reroute;0;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;203844605.28028747;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;85.84318697435184;85.84318697435184;1.0;6780.0;297.88909724062654;92.0;219.61271418999968;257748.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;0;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193946564.4645688;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.6749168979611;81.6749168979611;1.0;6780.0;297.88909724062654;92.0;268.47552220399666;290328.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;1;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193914967.54694146;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66161078125535;81.66161078125535;1.0;6780.0;297.88909724062654;92.0;494.224902199996;290040.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;2;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193912227.66371807;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.6604569596592;81.6604569596592;1.0;6780.0;297.88909724062654;92.0;490.47029085199756;290524.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;3;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193980391.3787272;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68916211241195;81.68916211241195;1.0;6780.0;297.88909724062654;92.0;477.9253408129953;290216.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;4;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193905500.75050429;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.65762411712221;81.65762411712221;1.0;6780.0;297.88909724062654;92.0;490.41259868099587;290736.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;5;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193961500.83626884;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68120691356785;81.68120691356785;1.0;6780.0;297.88909724062654;92.0;420.5196368889956;289688.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;6;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193860252.99639112;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.6385693503249;81.6385693503249;1.0;6780.0;297.88909724062654;92.0;412.8014713970042;290272.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;7;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193917611.31369075;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66272412621272;81.66272412621272;1.0;6780.0;297.88909724062654;92.0;417.25149335500464;291112.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;8;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193984150.33573586;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.69074508709444;81.69074508709444;1.0;6780.0;297.88909724062654;92.0;413.79429674700077;289984.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;9;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193988200.76217276;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.69245080559247;81.69245080559247;1.0;6780.0;297.88909724062654;92.0;414.6944457040008;289904.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;10;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193966991.35821724;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68351908612476;81.68351908612476;1.0;6780.0;297.88909724062654;92.0;408.1154710810006;290240.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;11;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193968568.64580676;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68418331461035;81.68418331461035;1.0;6780.0;297.88909724062654;92.0;436.5388756140019;290132.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;12;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193969330.67093414;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68450421918077;81.68450421918077;1.0;6780.0;297.88909724062654;92.0;411.8777906670002;290068.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;13;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193884730.70919836;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.64887742236992;81.64887742236992;1.0;6780.0;297.88909724062654;92.0;420.6274063860037;292036.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;14;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193976343.09304503;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.6874572954301;81.6874572954301;1.0;6780.0;297.88909724062654;92.0;442.8636439460024;289928.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;15;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193924643.8388415;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66568566826868;81.66568566826868;1.0;6780.0;297.88909724062654;92.0;425.77663442099583;291416.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;16;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193980455.6696992;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68918918667237;81.68918918667237;1.0;6780.0;297.88909724062654;92.0;422.05783402700035;290136.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;17;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193976698.68655553;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68760704322531;81.68760704322531;1.0;6780.0;297.88909724062654;92.0;424.3304916880006;289980.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;18;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193948808.17551428;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.67586177113027;81.67586177113027;1.0;6780.0;297.88909724062654;92.0;395.45224334099476;290160.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;19;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193970280.33676633;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68490414313992;81.68490414313992;1.0;6780.0;297.88909724062654;92.0;439.6869455999986;290760.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;20;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193930158.6245432;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66800805879485;81.66800805879485;1.0;6780.0;297.88909724062654;92.0;383.5902409679984;290320.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;21;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193878724.06329975;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.6463478993234;81.6463478993234;1.0;6780.0;297.88909724062654;92.0;418.4943966659994;290768.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;22;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193914719.94598612;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66150651136273;81.66150651136273;1.0;6780.0;297.88909724062654;92.0;426.287260719997;290620.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;23;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193917048.10779014;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66248694853826;81.66248694853826;1.0;6780.0;297.88909724062654;92.0;401.2578996699958;290984.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;24;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193987467.15831318;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.69214186980682;81.69214186980682;1.0;6780.0;297.88909724062654;92.0;436.13025851700513;289880.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;25;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193933309.10241988;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.6693347903071;81.6693347903071;1.0;6780.0;297.88909724062654;92.0;411.18676781600516;290708.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;26;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193907305.46191913;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.65838411849289;81.65838411849289;1.0;6780.0;297.88909724062654;92.0;414.5460777740009;290732.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;27;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193974380.24016458;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68663069741153;81.68663069741153;1.0;6780.0;297.88909724062654;92.0;430.1108828369979;291252.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;28;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193969052.31049585;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.68438699583253;81.68438699583253;1.0;6780.0;297.88909724062654;92.0;414.6227285470013;291528.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
13_levy_on_flood_both_reroute;13;True;both;reroute;29;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;193933207.8770559;2374616.0;27931.0;83445.0;83445.0;0.0;24857355.71924408;158.0;1.0;17.99974227780936;81.66929216220893;81.66929216220893;1.0;6780.0;297.88909724062654;92.0;241.89044906700292;290764.0;True;;801a5b232db62027d3dcfcf141f22ea2ef48a6f4
