scenario;levy;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
13_levy_off_flood_both_reroute;False;requested;1;2374616.0;;;;False
13_levy_off_flood_both_reroute;False;fulfilled;1;2374616.0;;;;False
13_levy_off_flood_both_reroute;False;unmet;1;0.0;;;;False
13_levy_off_flood_both_reroute;False;fulfillment_rate;1;1.0;;;;False
13_levy_off_flood_both_reroute;False;trips;1;750336.0;;;;False
13_levy_off_flood_both_reroute;False;travelers;1;2374616.0;;;;False
13_levy_off_flood_both_reroute;False;travelers_per_capita;1;17.99974227780936;;;;False
13_levy_off_flood_both_reroute;False;traveler_distance;1;203844605.28028747;;;;False
13_levy_off_flood_both_reroute;False;distance_per_requested_visit;1;85.84318697435184;;;;False
13_levy_off_flood_both_reroute;False;mean_distance_per_traveler;1;85.84318697435184;;;;False
13_levy_off_flood_both_reroute;False;occupancy_person_hours;1;2374616.0;;;;False
13_levy_off_flood_both_reroute;False;occupancy_per_requested_visit;1;1.0;;;;False
13_levy_off_flood_both_reroute;False;peak_hourly_occupancy;1;6780.0;;;;False
13_levy_off_flood_both_reroute;False;reroute_events;1;27931.0;;;;False
13_levy_off_flood_both_reroute;False;rerouted_requested;1;83445.0;;;;False
13_levy_off_flood_both_reroute;False;rerouted_fulfilled;1;83445.0;;;;False
13_levy_off_flood_both_reroute;False;rerouted_unmet;1;0.0;;;;False
13_levy_off_flood_both_reroute;False;reroute_traveler_distance;1;24857355.71924408;;;;False
13_levy_off_flood_both_reroute;False;mean_reroute_distance_per_traveler;1;297.88909724062654;;;;False
13_levy_off_flood_both_reroute;False;receiving_destinations;1;158.0;;;;False
13_levy_off_flood_both_reroute;False;peak_receiving_load;1;92.0;;;;False
13_levy_on_flood_both_reroute;True;requested;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_both_reroute;True;fulfilled;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_both_reroute;True;unmet;30;0.0;0.0;0.0;0.0;True
13_levy_on_flood_both_reroute;True;fulfillment_rate;30;1.0;0.0;1.0;1.0;True
13_levy_on_flood_both_reroute;True;trips;30;750336.0;0.0;750336.0;750336.0;True
13_levy_on_flood_both_reroute;True;travelers;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_both_reroute;True;travelers_per_capita;30;17.999742277809364;0.0;17.999742277809364;17.999742277809364;True
13_levy_on_flood_both_reroute;True;traveler_distance;30;193942786.40417618;35755.958184119256;193929434.90996456;193956137.8983878;True
13_levy_on_flood_both_reroute;True;distance_per_requested_visit;30;81.67332587844778;0.015057574860154504;81.66770328759031;81.67894846930525;True
13_levy_on_flood_both_reroute;True;mean_distance_per_traveler;30;81.67332587844778;0.015057574860154504;81.66770328759031;81.67894846930525;True
13_levy_on_flood_both_reroute;True;occupancy_person_hours;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_both_reroute;True;occupancy_per_requested_visit;30;1.0;0.0;1.0;1.0;True
13_levy_on_flood_both_reroute;True;peak_hourly_occupancy;30;6780.0;0.0;6780.0;6780.0;True
13_levy_on_flood_both_reroute;True;reroute_events;30;27931.0;0.0;27931.0;27931.0;True
13_levy_on_flood_both_reroute;True;rerouted_requested;30;83445.0;0.0;83445.0;83445.0;True
13_levy_on_flood_both_reroute;True;rerouted_fulfilled;30;83445.0;0.0;83445.0;83445.0;True
13_levy_on_flood_both_reroute;True;rerouted_unmet;30;0.0;0.0;0.0;0.0;True
13_levy_on_flood_both_reroute;True;reroute_traveler_distance;30;24857355.71924408;0.0;24857355.71924408;24857355.71924408;True
13_levy_on_flood_both_reroute;True;mean_reroute_distance_per_traveler;30;297.88909724062654;0.0;297.88909724062654;297.88909724062654;True
13_levy_on_flood_both_reroute;True;receiving_destinations;30;158.0;0.0;158.0;158.0;True
13_levy_on_flood_both_reroute;True;peak_receiving_load;30;92.0;0.0;92.0;92.0;True
