contrast;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;pt_fulfillment_rate;5;-0.058979362643716504;0.0;-0.058979362643716504;-0.058979362643716504;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;pt_unmet;5;169736.0;0.0;169736.0;169736.0;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;pt_mean_distance_per_traveler;5;-2.1416150082669247;0.009777444721871578;-2.1537553093725;-2.1294747071613496;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_fulfillment_rate;5;-0.07527312274481232;0.0004658706193676552;-0.07585157752070203;-0.07469466796892262;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_unmet;5;514111.6;3162.912313043155;510184.3256514189;518038.87434858107;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_population_moved;5;-514111.6;3162.912313043155;-518038.87434858107;-510184.3256514189;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_actual_blob_fragments;5;-55899.4;304.5435929386793;-56277.54081523558;-55521.25918476442;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_mean_outbound_distance;5;-28.48523128873194;3.232644147744813;-32.499089145990766;-24.471373431473115;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_occupancy_person_hours;5;-3208182.0;21282.23964952937;-3234607.3907739655;-3181756.6092260345;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_temporary_returns;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_destinations_minus_13_levy_v2_flood_none;levy_repatriations;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;pt_fulfillment_rate;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;pt_unmet;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;pt_mean_distance_per_traveler;5;16.129541707559202;0.20566816575973454;15.874170950558735;16.38491246455967;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_fulfillment_rate;5;-0.10733797568690095;0.0004075048749918867;-0.1078439598192709;-0.106831991554531;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_unmet;5;733113.0;2767.095950631275;729677.1965785257;736548.8034214743;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_population_moved;5;-733113.0;2767.095950631275;-736548.8034214743;-729677.1965785257;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_actual_blob_fragments;5;42337.6;4199.877533928817;37122.76326925578;47552.436730744215;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_mean_outbound_distance;5;-2.8645869628676337;1.5807127935932874;-4.827301130172517;-0.901872795562751;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_occupancy_person_hours;5;-4432407.0;16095.198041652051;-4452391.827952279;-4412422.172047721;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_temporary_returns;5;16650.8;21.67256330017287;16623.88995840138;16677.710041598617;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_homes_minus_13_levy_v2_flood_none;levy_repatriations;5;6538.0;57.253820833198546;6466.909991911809;6609.090008088191;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;pt_fulfillment_rate;5;-0.058979362643716504;0.0;-0.058979362643716504;-0.058979362643716504;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;pt_unmet;5;169736.0;0.0;169736.0;169736.0;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;pt_mean_distance_per_traveler;5;-0.8286810705817231;0.42499332020989555;-1.3563799757634345;-0.30098216540001166;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_fulfillment_rate;5;-0.15112696430867312;0.0007708410120409753;-0.15208408984166336;-0.15016983877568288;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_unmet;5;1032189.4;5198.806045622398;1025734.2296995067;1038644.5703004934;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_population_moved;5;-1032189.4;5198.806045622398;-1038644.5703004934;-1025734.2296995067;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_actual_blob_fragments;5;-20232.6;3246.0468727361285;-24263.099538358365;-16202.100461641632;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_mean_outbound_distance;5;-46.219349228426246;3.8855936752908633;-51.04395100668316;-41.39474745016933;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_occupancy_person_hours;5;-6349547.6;36664.887682904475;-6395073.071034047;-6304022.128965952;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_temporary_returns;5;13150.0;126.23192939981548;12993.26235784045;13306.73764215955;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_minus_13_levy_v2_flood_none;levy_repatriations;5;5601.8;62.07012163674242;5524.729764599529;5678.870235400472;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;pt_fulfillment_rate;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;pt_unmet;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;pt_mean_distance_per_traveler;5;0.07305452627320505;0.365961217840756;-0.3813463426584668;0.5274553952048768;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;pt_rerouted_fulfilled;5;169736.0;0.0;169736.0;169736.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_fulfillment_rate;5;-0.1523836926473709;0.00048498587616339716;-0.15298588214944028;-0.1517815031453015;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_unmet;5;1040773.0;3288.469248753894;1036689.8261246221;1044856.1738753779;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_population_moved;5;-1040773.0;3288.469248753894;-1044856.1738753779;-1036689.8261246221;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_actual_blob_fragments;5;-20083.4;2756.8789055742004;-23506.51728445888;-16660.28271554112;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_mean_outbound_distance;5;-46.681799733077334;2.9522527338381233;-50.34750566628277;-43.016093799871896;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_occupancy_person_hours;5;-6389581.0;28518.83262863331;-6424991.807745772;-6354170.192254228;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_temporary_returns;5;13076.6;173.63121839116374;12861.008367159437;13292.191632840564;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_repatriations;5;5560.8;148.32632942266184;5376.628536770169;5744.971463229831;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;pt_fulfillment_rate;5;-0.05060229290407481;0.0;-0.05060229290407481;-0.05060229290407481;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;pt_unmet;5;1212705.0;0.0;1212705.0;1212705.0;True
