contrast;scenario;legacy_stage;legacy_scenario;comparison_scope;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
levy_v2_minus_legacy;13_levy_v2_flood_all;stage4;13_levy_on_flood_both;combined_model_revision;fulfillment_rate;5;-0.023838944150789687;0.0;-0.023838944150789687;-0.023838944150789687;True
levy_v2_minus_legacy;13_levy_v2_flood_all;stage4;13_levy_on_flood_both;combined_model_revision;unmet;5;86291.0;0.0;86291.0;86291.0;True
levy_v2_minus_legacy;13_levy_v2_flood_all;stage4;13_levy_on_flood_both;combined_model_revision;mean_distance_per_traveler;5;6.065967678666377;0.43527996680617653;5.525496214743818;6.606439142588936;True
levy_v2_minus_legacy;13_levy_v2_flood_all;stage4;13_levy_on_flood_both;combined_model_revision;travelers_per_capita;5;-0.4292054633364373;0.0;-0.4292054633364373;-0.4292054633364373;True
levy_v2_minus_legacy;13_levy_v2_flood_all;stage4;13_levy_on_flood_both;combined_model_revision;occupancy_per_requested_visit;5;-0.023838944150789687;0.0;-0.023838944150789687;-0.023838944150789687;True
levy_v2_minus_legacy;13_levy_v2_flood_all_pt_reroute;stage5;13_levy_on_flood_both_reroute;combined_model_revision;fulfillment_rate;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_all_pt_reroute;stage5;13_levy_on_flood_both_reroute;combined_model_revision;unmet;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_all_pt_reroute;stage5;13_levy_on_flood_both_reroute;combined_model_revision;mean_distance_per_traveler;5;4.929773629017427;0.37281229295314183;4.466866026769717;5.392681231265138;True
levy_v2_minus_legacy;13_levy_v2_flood_all_pt_reroute;stage5;13_levy_on_flood_both_reroute;combined_model_revision;travelers_per_capita;5;-0.00011754518736850628;0.0;-0.00011754518736850628;-0.00011754518736850628;True
levy_v2_minus_legacy;13_levy_v2_flood_all_pt_reroute;stage5;13_levy_on_flood_both_reroute;combined_model_revision;occupancy_per_requested_visit;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_destinations;stage4;13_levy_on_flood_pois;combined_model_revision;fulfillment_rate;5;-0.023838944150789687;0.0;-0.023838944150789687;-0.023838944150789687;True
levy_v2_minus_legacy;13_levy_v2_flood_destinations;stage4;13_levy_on_flood_pois;combined_model_revision;unmet;5;86291.0;0.0;86291.0;86291.0;True
levy_v2_minus_legacy;13_levy_v2_flood_destinations;stage4;13_levy_on_flood_pois;combined_model_revision;mean_distance_per_traveler;5;5.336291489314041;0.012456293103533567;5.32082495861631;5.351758020011772;True
levy_v2_minus_legacy;13_levy_v2_flood_destinations;stage4;13_levy_on_flood_pois;combined_model_revision;travelers_per_capita;5;-0.4292054633364373;0.0;-0.4292054633364373;-0.4292054633364373;True
levy_v2_minus_legacy;13_levy_v2_flood_destinations;stage4;13_levy_on_flood_pois;combined_model_revision;occupancy_per_requested_visit;5;-0.023838944150789687;0.0;-0.023838944150789687;-0.023838944150789687;True
levy_v2_minus_legacy;13_levy_v2_flood_homes;stage4;13_levy_on_flood_homes;combined_model_revision;fulfillment_rate;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_homes;stage4;13_levy_on_flood_homes;combined_model_revision;unmet;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_homes;stage4;13_levy_on_flood_homes;combined_model_revision;mean_distance_per_traveler;5;13.710100544639891;0.2067365887331168;13.453403165298521;13.966797923981261;True
levy_v2_minus_legacy;13_levy_v2_flood_homes;stage4;13_levy_on_flood_homes;combined_model_revision;travelers_per_capita;5;-0.00011754518736850628;0.0;-0.00011754518736850628;-0.00011754518736850628;True
levy_v2_minus_legacy;13_levy_v2_flood_homes;stage4;13_levy_on_flood_homes;combined_model_revision;occupancy_per_requested_visit;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_none;stage4;13_levy_on_flood_none;combined_model_revision;fulfillment_rate;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_none;stage4;13_levy_on_flood_none;combined_model_revision;unmet;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;13_levy_v2_flood_none;stage4;13_levy_on_flood_none;combined_model_revision;mean_distance_per_traveler;5;4.5284681486938325;0.011143236321014651;4.514631993330552;4.542304304057113;True
levy_v2_minus_legacy;13_levy_v2_flood_none;stage4;13_levy_on_flood_none;combined_model_revision;travelers_per_capita;5;-0.00011754518736850628;0.0;-0.00011754518736850628;-0.00011754518736850628;True
levy_v2_minus_legacy;13_levy_v2_flood_none;stage4;13_levy_on_flood_none;combined_model_revision;occupancy_per_requested_visit;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;94_levy_v2_flood_none;stage4;94_levy_on_flood_none;combined_model_revision;fulfillment_rate;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;94_levy_v2_flood_none;stage4;94_levy_on_flood_none;combined_model_revision;unmet;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;94_levy_v2_flood_none;stage4;94_levy_on_flood_none;combined_model_revision;mean_distance_per_traveler;5;6.000839442304269;0.010969183081225325;5.987219402582605;6.0144594820259325;True
levy_v2_minus_legacy;94_levy_v2_flood_none;stage4;94_levy_on_flood_none;combined_model_revision;travelers_per_capita;5;0.0;0.0;0.0;0.0;True
levy_v2_minus_legacy;94_levy_v2_flood_none;stage4;94_levy_on_flood_none;combined_model_revision;occupancy_per_requested_visit;5;0.0;0.0;0.0;0.0;True
