scenario;seed;group;original_population;cycle_attendance_rate;exact_cycle_demand;requested;fulfilled;unmet;fulfillment_rate;packet_count;actual_blob_fragments;departures;population_moved;returns;population_returned;temporary_returns;return_blocked;repatriations;occupancy;outbound_traveler_distance;return_traveler_distance;temporary_home_traveler_distance;repatriation_traveler_distance;destination_reroutes;rerouted_fulfilled;receiving_load;mean_outbound_distance;mean_return_distance
13_levy_v2_flood_none;0;worker;87455;1.0;87455;4897480.0;4897478.0;2.0;0.9999995916267141;580328.0;586820.0;580328.0;4897478.0;576900.0;4873816.0;0.0;0.0;0.0;39133162.0;6990723134.195837;6957109041.787086;0.0;0.0;0.0;0.0;981;1427.4128713178166;1427.4459769895059
13_levy_v2_flood_none;0;student;34510;1.0;34510;1932560.0;1932560.0;0.0;1.0;75880.0;103158.0;75880.0;1932560.0;75880.0;1932560.0;0.0;0.0;0.0;1932560.0;2672218263.9715056;2672218263.9715056;0.0;0.0;0.0;0.0;295;1382.7349546567793;1382.7349546567793
13_levy_v2_flood_none;1;worker;87457;1.0;87457;4897592.0;4897590.0;2.0;0.999999591636053;580272.0;586849.0;580272.0;4897590.0;576844.0;4873928.0;0.0;0.0;0.0;39134024.0;6962615396.970604;6928607178.2746935;0.0;0.0;0.0;0.0;1085;1421.6411330819044;1421.565353093992
13_levy_v2_flood_none;1;student;34505;1.0;34505;1932280.0;1932280.0;0.0;1.0;75768.0;103155.0;75768.0;1932280.0;75768.0;1932280.0;0.0;0.0;0.0;1932280.0;2670241290.369176;2670241290.369176;0.0;0.0;0.0;0.0;273;1381.912192005908;1381.912192005908
13_levy_v2_flood_none;2;worker;87465;1.0;87465;4898040.0;4898037.0;3.0;0.9999993875101061;580216.0;586818.0;580216.0;4898037.0;576789.0;4874375.0;0.0;0.0;0.0;39137615.0;6981543338.0013275;6948404078.361915;0.0;0.0;0.0;0.0;1077;1425.3757858508066;1425.496413050271
13_levy_v2_flood_none;2;student;34494;1.0;34494;1931664.0;1931664.0;0.0;1.0;75768.0;103160.0;75768.0;1931664.0;75768.0;1931664.0;0.0;0.0;0.0;1931664.0;2656794591.1185317;2656794591.1185317;0.0;0.0;0.0;0.0;270;1375.3916784277865;1375.3916784277865
13_levy_v2_flood_none;3;worker;87462;1.0;87462;4897872.0;4897869.0;3.0;0.9999993874890973;580384.0;586951.0;580384.0;4897869.0;576956.0;4874208.0;0.0;0.0;0.0;39136218.0;6971837909.9668;6938907032.113304;0.0;0.0;0.0;0.0;984;1423.4431157645906;1423.5968247791855
13_levy_v2_flood_none;3;student;34493;1.0;34493;1931608.0;1931608.0;0.0;1.0;75880.0;103351.0;75880.0;1931608.0;75880.0;1931608.0;0.0;0.0;0.0;1931608.0;2662686666.2018657;2662686666.2018657;0.0;0.0;0.0;0.0;296;1378.4819001587618;1378.4819001587618
13_levy_v2_flood_none;4;worker;87467;1.0;87467;4898152.0;4898148.0;4.0;0.9999991833654815;580272.0;586813.0;580272.0;4898148.0;576844.0;4874488.0;0.0;0.0;0.0;39138555.0;6967497456.30721;6934007181.410217;0.0;0.0;0.0;0.0;1077;1422.475894217;1422.509847477359
13_levy_v2_flood_none;4;student;34509;1.0;34509;1932504.0;1932504.0;0.0;1.0;75992.0;103271.0;75992.0;1932504.0;75992.0;1932504.0;0.0;0.0;0.0;1932504.0;2654317101.789497;2654317101.789497;0.0;0.0;0.0;0.0;268;1373.5118280684007;1373.5118280684007
13_levy_v2_flood_destinations;0;worker;87455;1.0;87455;4897480.0;4513340.0;384140.0;0.9215637429861888;580328.0;540306.0;535169.0;4513340.0;531813.0;4490200.0;0.0;0.0;0.0;36061238.0;6274060898.691898;6241939387.687362;0.0;0.0;0.0;0.0;1050;1390.114837059007;1390.12502509629
13_levy_v2_flood_destinations;0;student;34510;1.0;34510;1932560.0;1805301.0;127259.0;0.9341500393260752;75880.0;93996.0;70827.0;1805301.0;70827.0;1805301.0;0.0;0.0;0.0;1805301.0;2470551587.9384995;2470551587.9384995;0.0;0.0;0.0;0.0;281;1368.4984320833476;1368.4984320833476
13_levy_v2_flood_destinations;1;worker;87457;1.0;87457;4897592.0;4509272.0;388320.0;0.920712056047135;580272.0;540109.0;534929.0;4509272.0;531571.0;4486016.0;0.0;0.0;0.0;36028250.0;6267890396.9560995;6234858691.885989;0.0;0.0;0.0;0.0;1173;1390.0005138204347;1389.8431686124145
13_levy_v2_flood_destinations;1;student;34505;1.0;34505;1932280.0;1801774.0;130506.0;0.9324600989504627;75768.0;93916.0;70658.0;1801774.0;70658.0;1801774.0;0.0;0.0;0.0;1801774.0;2463374235.2139487;2463374235.2139487;0.0;0.0;0.0;0.0;248;1367.1937963440191;1367.1937963440191
