scenario;environment;levy_model;flood;adaptation;seed;cycles;population;pt_requested;pt_fulfilled;pt_unmet;pt_fulfillment_rate;pt_travelers;pt_travelers_per_capita;pt_traveler_distance;pt_mean_distance_per_traveler;pt_occupancy_person_hours;pt_occupancy_per_requested_visit;pt_rerouted_fulfilled;levy_original_population;levy_exact_cycle_demand;levy_requested;levy_fulfilled;levy_unmet;levy_fulfillment_rate;levy_packet_count;levy_actual_blob_fragments;levy_population_moved;levy_population_returned;levy_temporary_returns;levy_return_blocked;levy_repatriations;levy_outbound_traveler_distance;levy_mean_outbound_distance;levy_return_traveler_distance;levy_temporary_home_traveler_distance;levy_repatriation_traveler_distance;levy_occupancy_person_hours;levy_peak_occupancy;levy_destination_reroutes;levy_rerouted_fulfilled;runtime_seconds;peak_memory_kib;popular_validation_passed;levy_validation_passed;commit_sha
13_levy_v2_flood_none;13;v2;none;suppression;0;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;249010545.56049913;86.52544698073696;2877888.0;1.0;0.0;121965.0;121965.0;6830040.0;6830038.0;2.0;0.9999997071759462;656208.0;689978.0;6830038.0;6806376.0;0.0;0.0;0.0;9662941398.167343;1414.7712499062734;9629327305.75859;0.0;0.0;41065722.0;54582.0;0.0;0.0;834.6219923000026;419120.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_none;13;v2;none;suppression;1;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;248997530.01431432;86.52092437729138;2877888.0;1.0;0.0;121962.0;121962.0;6829872.0;6829870.0;2.0;0.9999997071687434;656040.0;690004.0;6829870.0;6806208.0;0.0;0.0;0.0;9632856687.339779;1410.4011770853294;9598848468.64387;0.0;0.0;41066304.0;54591.0;0.0;0.0;841.1659529000171;416220.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_none;13;v2;none;suppression;2;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;249049334.62885556;86.53892529134406;2877888.0;1.0;0.0;121959.0;121959.0;6829704.0;6829701.0;3.0;0.9999995607423103;655984.0;689978.0;6829701.0;6806039.0;0.0;0.0;0.0;9638337929.11986;1411.2386368187802;9605198669.480446;0.0;0.0;41069279.0;54601.0;0.0;0.0;834.7743567000143;419684.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_none;13;v2;none;suppression;3;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;249014003.51168546;86.52664853937522;2877888.0;1.0;0.0;121955.0;121955.0;6829480.0;6829477.0;3.0;0.9999995607279032;656264.0;690302.0;6829477.0;6805816.0;0.0;0.0;0.0;9634524576.168665;1410.7265572705883;9601593698.31517;0.0;0.0;41067826.0;54579.0;0.0;0.0;849.9344446999894;415968.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_none;13;v2;none;suppression;4;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;248981692.4673835;86.5154211933833;2877888.0;1.0;0.0;121976.0;121976.0;6830656.0;6830652.0;4.0;0.9999994144047073;656264.0;690084.0;6830652.0;6806992.0;0.0;0.0;0.0;9621814558.096706;1408.6231531187223;9588324283.199715;0.0;0.0;41071059.0;54598.0;0.0;0.0;839.237112200004;417196.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_destinations;13;v2;destinations;suppression;0;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;228560027.288083;84.39704539777789;2708152.0;0.9410206373562835;0.0;121965.0;121965.0;6830040.0;6318641.0;511399.0;0.9251250358709466;656208.0;634302.0;6318641.0;6295501.0;0.0;0.0;0.0;8744612486.630398;1383.9388068779976;8712490975.625862;0.0;0.0;37866539.0;54582.0;0.0;0.0;804.0149872000038;412276.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_destinations;13;v2;destinations;suppression;1;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;228501194.44034347;84.37532104562206;2708152.0;0.9410206373562835;0.0;121962.0;121962.0;6829872.0;6311046.0;518826.0;0.924035765238353;656040.0;634025.0;6311046.0;6287790.0;0.0;0.0;0.0;8731264632.170048;1383.4893030679934;8698232927.099937;0.0;0.0;37830024.0;54591.0;0.0;0.0;779.7227437999973;353344.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_destinations;13;v2;destinations;suppression;2;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;228543689.44761774;84.39101256045367;2708152.0;0.9410206373562835;0.0;121959.0;121959.0;6829704.0;6314848.0;514856.0;0.9246151809800249;655984.0;633856.0;6314848.0;6291660.0;0.0;0.0;0.0;8751540360.611486;1385.8671436923717;8719719232.088995;0.0;0.0;37855902.0;54601.0;0.0;0.0;777.4168901999947;353492.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_destinations;13;v2;destinations;suppression;3;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;228500241.256964;84.37496907742401;2708152.0;0.9410206373562835;0.0;121955.0;121955.0;6829480.0;6314983.0;514497.0;0.9246652746621997;656264.0;634080.0;6314983.0;6291784.0;0.0;0.0;0.0;8700794054.641668;1377.8016591084518;8669088494.751522;0.0;0.0;37854196.0;54579.0;0.0;0.0;783.5492226999777;353832.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_destinations;13;v2;destinations;suppression;4;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;228516420.250152;84.38094325951866;2708152.0;0.9410206373562835;0.0;121976.0;121976.0;6830656.0;6319662.0;510994.0;0.9251910797440246;656264.0;634586.0;6319662.0;6296614.0;0.0;0.0;0.0;8735275099.313972;1382.2377050092193;8703282866.624414;0.0;0.0;37892619.0;54598.0;0.0;0.0;775.7824879999971;346348.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
