scenario;seed;group;reason;packets;requested;fulfilled;unmet
13_levy_v2_flood_none;0;student;fulfilled;75880.0;1932560.0;1932560.0;0.0
13_levy_v2_flood_none;0;worker;fulfilled;580326.0;4897468.0;4897468.0;0.0
13_levy_v2_flood_none;0;worker;insufficient_population;2.0;12.0;10.0;2.0
13_levy_v2_flood_none;1;student;fulfilled;75768.0;1932280.0;1932280.0;0.0
13_levy_v2_flood_none;1;worker;fulfilled;580270.0;4897578.0;4897578.0;0.0
13_levy_v2_flood_none;1;worker;insufficient_population;2.0;14.0;12.0;2.0
13_levy_v2_flood_none;2;student;fulfilled;75768.0;1931664.0;1931664.0;0.0
13_levy_v2_flood_none;2;worker;fulfilled;580213.0;4898022.0;4898022.0;0.0
13_levy_v2_flood_none;2;worker;insufficient_population;3.0;18.0;15.0;3.0
13_levy_v2_flood_none;3;student;fulfilled;75880.0;1931608.0;1931608.0;0.0
13_levy_v2_flood_none;3;worker;fulfilled;580381.0;4897847.0;4897847.0;0.0
13_levy_v2_flood_none;3;worker;insufficient_population;3.0;25.0;22.0;3.0
13_levy_v2_flood_none;4;student;fulfilled;75992.0;1932504.0;1932504.0;0.0
13_levy_v2_flood_none;4;worker;fulfilled;580268.0;4898123.0;4898123.0;0.0
13_levy_v2_flood_none;4;worker;insufficient_population;4.0;29.0;25.0;4.0
13_levy_v2_flood_destinations;0;student;anticipated_destination_disable;126.0;3368.0;0.0;3368.0
13_levy_v2_flood_destinations;0;student;destination_disabled;4927.0;123883.0;0.0;123883.0
13_levy_v2_flood_destinations;0;student;fulfilled;70819.0;1805082.0;1805082.0;0.0
13_levy_v2_flood_destinations;0;student;insufficient_population;8.0;227.0;219.0;8.0
13_levy_v2_flood_destinations;0;worker;anticipated_destination_disable;2029.0;21340.0;0.0;21340.0
13_levy_v2_flood_destinations;0;worker;destination_disabled;43130.0;362800.0;0.0;362800.0
13_levy_v2_flood_destinations;0;worker;fulfilled;535169.0;4513340.0;4513340.0;0.0
13_levy_v2_flood_destinations;1;student;anticipated_destination_disable;139.0;3761.0;0.0;3761.0
13_levy_v2_flood_destinations;1;student;destination_disabled;4971.0;126738.0;0.0;126738.0
13_levy_v2_flood_destinations;1;student;fulfilled;70653.0;1801641.0;1801641.0;0.0
13_levy_v2_flood_destinations;1;student;insufficient_population;5.0;140.0;133.0;7.0
13_levy_v2_flood_destinations;1;worker;anticipated_destination_disable;2048.0;21499.0;0.0;21499.0
13_levy_v2_flood_destinations;1;worker;destination_disabled;43295.0;366820.0;0.0;366820.0
13_levy_v2_flood_destinations;1;worker;fulfilled;534928.0;4509264.0;4509264.0;0.0
13_levy_v2_flood_destinations;1;worker;insufficient_population;1.0;9.0;8.0;1.0
13_levy_v2_flood_destinations;2;student;anticipated_destination_disable;113.0;3090.0;0.0;3090.0
13_levy_v2_flood_destinations;2;student;destination_disabled;4995.0;126099.0;0.0;126099.0
13_levy_v2_flood_destinations;2;student;fulfilled;70654.0;1802305.0;1802305.0;0.0
13_levy_v2_flood_destinations;2;student;insufficient_population;6.0;170.0;163.0;7.0
13_levy_v2_flood_destinations;2;worker;anticipated_destination_disable;2019.0;20602.0;0.0;20602.0
13_levy_v2_flood_destinations;2;worker;destination_disabled;43204.0;365056.0;0.0;365056.0
13_levy_v2_flood_destinations;2;worker;fulfilled;534991.0;4512370.0;4512370.0;0.0
13_levy_v2_flood_destinations;2;worker;insufficient_population;2.0;12.0;10.0;2.0
13_levy_v2_flood_destinations;3;student;anticipated_destination_disable;130.0;3512.0;0.0;3512.0
13_levy_v2_flood_destinations;3;student;destination_disabled;4915.0;125235.0;0.0;125235.0
13_levy_v2_flood_destinations;3;student;fulfilled;70831.0;1802750.0;1802750.0;0.0
13_levy_v2_flood_destinations;3;student;insufficient_population;4.0;111.0;107.0;4.0
13_levy_v2_flood_destinations;3;worker;anticipated_destination_disable;1975.0;21085.0;0.0;21085.0
13_levy_v2_flood_destinations;3;worker;destination_disabled;43417.0;364660.0;0.0;364660.0
13_levy_v2_flood_destinations;3;worker;fulfilled;534991.0;4512122.0;4512122.0;0.0
13_levy_v2_flood_destinations;3;worker;insufficient_population;1.0;5.0;4.0;1.0
13_levy_v2_flood_destinations;4;student;anticipated_destination_disable;135.0;3680.0;0.0;3680.0
13_levy_v2_flood_destinations;4;student;destination_disabled;4983.0;126082.0;0.0;126082.0
13_levy_v2_flood_destinations;4;student;fulfilled;70868.0;1802576.0;1802576.0;0.0
13_levy_v2_flood_destinations;4;student;insufficient_population;6.0;166.0;160.0;6.0
13_levy_v2_flood_destinations;4;worker;anticipated_destination_disable;1977.0;20630.0;0.0;20630.0
13_levy_v2_flood_destinations;4;worker;destination_disabled;42825.0;360595.0;0.0;360595.0
13_levy_v2_flood_destinations;4;worker;fulfilled;535469.0;4516922.0;4516922.0;0.0
13_levy_v2_flood_destinations;4;worker;insufficient_population;1.0;5.0;4.0;1.0
13_levy_v2_flood_homes;0;student;fulfilled;65814.0;1691819.0;1691819.0;0.0
13_levy_v2_flood_homes;0;student;insufficient_population;5148.0;122084.0;43223.0;78861.0
13_levy_v2_flood_homes;0;student;origin_disabled;4918.0;118657.0;0.0;118657.0
13_levy_v2_flood_homes;0;worker;fulfilled;514645.0;4341971.0;4341971.0;0.0
13_levy_v2_flood_homes;0;worker;insufficient_population;28688.0;255728.0;22034.0;233694.0
13_levy_v2_flood_homes;0;worker;origin_disabled;36995.0;299781.0;0.0;299781.0
13_levy_v2_flood_homes;1;student;fulfilled;65529.0;1688623.0;1688623.0;0.0
13_levy_v2_flood_homes;1;student;insufficient_population;5321.0;124902.0;44810.0;80092.0
13_levy_v2_flood_homes;1;student;origin_disabled;4918.0;118755.0;0.0;118755.0
13_levy_v2_flood_homes;1;worker;fulfilled;514096.0;4339574.0;4339574.0;0.0
13_levy_v2_flood_homes;1;worker;insufficient_population;29209.0;258130.0;20144.0;237986.0
13_levy_v2_flood_homes;1;worker;origin_disabled;36967.0;299888.0;0.0;299888.0
13_levy_v2_flood_homes;2;student;fulfilled;65749.0;1694471.0;1694471.0;0.0
13_levy_v2_flood_homes;2;student;insufficient_population;5101.0;118765.0;43365.0;75400.0
13_levy_v2_flood_homes;2;student;origin_disabled;4918.0;118428.0;0.0;118428.0
13_levy_v2_flood_homes;2;worker;fulfilled;513630.0;4342226.0;4342226.0;0.0
13_levy_v2_flood_homes;2;worker;insufficient_population;29656.0;255806.0;19174.0;236632.0
13_levy_v2_flood_homes;2;worker;origin_disabled;36930.0;300008.0;0.0;300008.0
13_levy_v2_flood_homes;3;student;fulfilled;65765.0;1689588.0;1689588.0;0.0
13_levy_v2_flood_homes;3;student;insufficient_population;5197.0;123465.0;45389.0;78076.0
13_levy_v2_flood_homes;3;student;origin_disabled;4918.0;118555.0;0.0;118555.0
13_levy_v2_flood_homes;3;worker;fulfilled;513834.0;4336244.0;4336244.0;0.0
13_levy_v2_flood_homes;3;worker;insufficient_population;29583.0;261672.0;22913.0;238759.0
13_levy_v2_flood_homes;3;worker;origin_disabled;36967.0;299956.0;0.0;299956.0
13_levy_v2_flood_homes;4;student;fulfilled;66003.0;1691988.0;1691988.0;0.0
13_levy_v2_flood_homes;4;student;insufficient_population;5071.0;121955.0;44584.0;77371.0
13_levy_v2_flood_homes;4;student;origin_disabled;4918.0;118561.0;0.0;118561.0
13_levy_v2_flood_homes;4;worker;fulfilled;513746.0;4338526.0;4338526.0;0.0
13_levy_v2_flood_homes;4;worker;insufficient_population;29482.0;259735.0;23507.0;236228.0
13_levy_v2_flood_homes;4;worker;origin_disabled;37044.0;299891.0;0.0;299891.0
13_levy_v2_flood_all;0;student;anticipated_destination_disable;118.0;3059.0;0.0;3059.0
13_levy_v2_flood_all;0;student;destination_disabled;3704.0;93297.0;0.0;93297.0
13_levy_v2_flood_all;0;student;fulfilled;63608.0;1637449.0;1637449.0;0.0
13_levy_v2_flood_all;0;student;insufficient_population;3532.0;80098.0;36852.0;43246.0
13_levy_v2_flood_all;0;student;origin_disabled;4918.0;118657.0;0.0;118657.0
13_levy_v2_flood_all;0;worker;anticipated_destination_disable;1833.0;19257.0;0.0;19257.0
13_levy_v2_flood_all;0;worker;destination_disabled;32963.0;278953.0;0.0;278953.0
13_levy_v2_flood_all;0;worker;fulfilled;483540.0;4102246.0;4102246.0;0.0
13_levy_v2_flood_all;0;worker;insufficient_population;24997.0;197243.0;20852.0;176391.0
13_levy_v2_flood_all;0;worker;origin_disabled;36995.0;299781.0;0.0;299781.0
13_levy_v2_flood_all;1;student;anticipated_destination_disable;134.0;3639.0;0.0;3639.0
13_levy_v2_flood_all;1;student;destination_disabled;3570.0;91038.0;0.0;91038.0
13_levy_v2_flood_all;1;student;fulfilled;63100.0;1623966.0;1623966.0;0.0
13_levy_v2_flood_all;1;student;insufficient_population;4046.0;94882.0;40156.0;54726.0
13_levy_v2_flood_all;1;student;origin_disabled;4918.0;118755.0;0.0;118755.0
13_levy_v2_flood_all;1;worker;anticipated_destination_disable;1832.0;20001.0;0.0;20001.0
13_levy_v2_flood_all;1;worker;destination_disabled;33062.0;277682.0;0.0;277682.0
13_levy_v2_flood_all;1;worker;fulfilled;484711.0;4115969.0;4115969.0;0.0
