code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
R01,routine,stage4_13_levy_off_flood_none,popular_times_v2/production/13_levy_off_flood_none,0,complete,all controlled performance artifacts are complete,240.39195349998772,4.292713455356924,218.12109375,1738,48b2e244f7329c368e46d286002bbc4de7bd81a3
R01,routine,stage4_13_levy_off_flood_none,popular_times_v2/production/13_levy_off_flood_none,1,complete,all controlled performance artifacts are complete,232.08425180002814,4.144361639286217,218.125,1738,48b2e244f7329c368e46d286002bbc4de7bd81a3
R01,routine,stage4_13_levy_off_flood_none,popular_times_v2/production/13_levy_off_flood_none,2,complete,all controlled performance artifacts are complete,234.31303569994634,4.1841613517847565,218.203125,1738,48b2e244f7329c368e46d286002bbc4de7bd81a3
R01,routine,stage4_13_levy_off_flood_none,popular_times_v2/production/13_levy_off_flood_none,3,complete,all controlled performance artifacts are complete,234.24961110000731,4.183028769642988,217.15625,1738,48b2e244f7329c368e46d286002bbc4de7bd81a3
R01,routine,stage4_13_levy_off_flood_none,popular_times_v2/production/13_levy_off_flood_none,4,complete,all controlled performance artifacts are complete,232.6399085999583,4.154284082142112,218.3515625,1738,48b2e244f7329c368e46d286002bbc4de7bd81a3
R02,routine,stage4_13_levy_on_flood_none,popular_times_v2/production/13_levy_on_flood_none,0,complete,all controlled performance artifacts are complete,285.45214710000437,5.097359769642935,257.45703125,1833,48b2e244f7329c368e46d286002bbc4de7bd81a3
R02,routine,stage4_13_levy_on_flood_none,popular_times_v2/production/13_levy_on_flood_none,1,complete,all controlled performance artifacts are complete,284.68465720000677,5.083654592857264,257.9765625,1831,48b2e244f7329c368e46d286002bbc4de7bd81a3
R02,routine,stage4_13_levy_on_flood_none,popular_times_v2/production/13_levy_on_flood_none,2,complete,all controlled performance artifacts are complete,287.82060430001,5.139653648214464,255.1015625,1832,48b2e244f7329c368e46d286002bbc4de7bd81a3
R02,routine,stage4_13_levy_on_flood_none,popular_times_v2/production/13_levy_on_flood_none,3,complete,all controlled performance artifacts are complete,286.5419294000021,5.11682016785718,256.72265625,1832,48b2e244f7329c368e46d286002bbc4de7bd81a3
R02,routine,stage4_13_levy_on_flood_none,popular_times_v2/production/13_levy_on_flood_none,4,complete,all controlled performance artifacts are complete,287.36198960000183,5.1314641000000325,257.0234375,1833,48b2e244f7329c368e46d286002bbc4de7bd81a3
R03,routine,stage6_13_levy_v2_flood_none,popular_times_v2/stage6/13_levy_v2_flood_none,0,complete,all controlled performance artifacts are complete,449.90853519999655,8.034080985714224,407.09765625,6962,48b2e244f7329c368e46d286002bbc4de7bd81a3
R03,routine,stage6_13_levy_v2_flood_none,popular_times_v2/stage6/13_levy_v2_flood_none,1,complete,all controlled performance artifacts are complete,455.4963076999993,8.133862637499988,407.2421875,6963,48b2e244f7329c368e46d286002bbc4de7bd81a3
R03,routine,stage6_13_levy_v2_flood_none,popular_times_v2/stage6/13_levy_v2_flood_none,2,complete,all controlled performance artifacts are complete,454.3118416000507,8.112711457143762,406.89453125,6963,48b2e244f7329c368e46d286002bbc4de7bd81a3
R03,routine,stage6_13_levy_v2_flood_none,popular_times_v2/stage6/13_levy_v2_flood_none,3,complete,all controlled performance artifacts are complete,453.85335350001696,8.10452416964316,407.66796875,6962,48b2e244f7329c368e46d286002bbc4de7bd81a3
R03,routine,stage6_13_levy_v2_flood_none,popular_times_v2/stage6/13_levy_v2_flood_none,4,complete,all controlled performance artifacts are complete,456.5317308999947,8.152352337499906,407.06640625,6963,48b2e244f7329c368e46d286002bbc4de7bd81a3
R04,routine,stage4_94_levy_off_flood_none,popular_times_v2/production/94_levy_off_flood_none,0,complete,all controlled performance artifacts are complete,1893.3276651999913,33.80942259285699,623.06640625,10814,48b2e244f7329c368e46d286002bbc4de7bd81a3
R04,routine,stage4_94_levy_off_flood_none,popular_times_v2/production/94_levy_off_flood_none,1,complete,all controlled performance artifacts are complete,1891.744045200001,33.78114366428573,622.8671875,10814,48b2e244f7329c368e46d286002bbc4de7bd81a3
R04,routine,stage4_94_levy_off_flood_none,popular_times_v2/production/94_levy_off_flood_none,2,complete,all controlled performance artifacts are complete,1891.0882553999545,33.76943313214205,623.5234375,10814,48b2e244f7329c368e46d286002bbc4de7bd81a3
R04,routine,stage4_94_levy_off_flood_none,popular_times_v2/production/94_levy_off_flood_none,3,complete,all controlled performance artifacts are complete,1890.6987975999946,33.76247852857133,623.296875,10814,48b2e244f7329c368e46d286002bbc4de7bd81a3
R04,routine,stage4_94_levy_off_flood_none,popular_times_v2/production/94_levy_off_flood_none,4,complete,all controlled performance artifacts are complete,1901.269279,33.951237125,623.4296875,10814,48b2e244f7329c368e46d286002bbc4de7bd81a3
R05,routine,stage4_94_levy_on_flood_none,popular_times_v2/production/94_levy_on_flood_none,0,complete,all controlled performance artifacts are complete,2903.726954700018,51.85226704821461,941.609375,12301,48b2e244f7329c368e46d286002bbc4de7bd81a3
R05,routine,stage4_94_levy_on_flood_none,popular_times_v2/production/94_levy_on_flood_none,1,complete,all controlled performance artifacts are complete,2901.297372000001,51.80888164285716,942.41796875,12323,48b2e244f7329c368e46d286002bbc4de7bd81a3
R05,routine,stage4_94_levy_on_flood_none,popular_times_v2/production/94_levy_on_flood_none,2,complete,all controlled performance artifacts are complete,2902.6146942999912,51.83240525535699,943.8828125,12327,48b2e244f7329c368e46d286002bbc4de7bd81a3
R05,routine,stage4_94_levy_on_flood_none,popular_times_v2/production/94_levy_on_flood_none,3,complete,all controlled performance artifacts are complete,2897.0354068999877,51.73277512321407,942.796875,12303,48b2e244f7329c368e46d286002bbc4de7bd81a3
R05,routine,stage4_94_levy_on_flood_none,popular_times_v2/production/94_levy_on_flood_none,4,complete,all controlled performance artifacts are complete,2975.7656524999766,53.13867236607101,943.65625,12321,48b2e244f7329c368e46d286002bbc4de7bd81a3
R06,routine,stage6_94_levy_v2_flood_none,popular_times_v2/stage6/94_levy_v2_flood_none,0,complete,all controlled performance artifacts are complete,3433.8754620000254,61.319204678571886,1831.546875,44583,48b2e244f7329c368e46d286002bbc4de7bd81a3
R06,routine,stage6_94_levy_v2_flood_none,popular_times_v2/stage6/94_levy_v2_flood_none,1,complete,all controlled performance artifacts are complete,3450.083222299989,61.60862896964266,1814.41796875,44583,48b2e244f7329c368e46d286002bbc4de7bd81a3
R06,routine,stage6_94_levy_v2_flood_none,popular_times_v2/stage6/94_levy_v2_flood_none,2,complete,all controlled performance artifacts are complete,3416.931676599954,61.01663708214203,1830.41796875,44579,48b2e244f7329c368e46d286002bbc4de7bd81a3
R06,routine,stage6_94_levy_v2_flood_none,popular_times_v2/stage6/94_levy_v2_flood_none,3,complete,all controlled performance artifacts are complete,3431.3863136,61.2747556,1829.5234375,44578,48b2e244f7329c368e46d286002bbc4de7bd81a3
R06,routine,stage6_94_levy_v2_flood_none,popular_times_v2/stage6/94_levy_v2_flood_none,4,complete,all controlled performance artifacts are complete,3430.1743699000217,61.25311374821467,1817.3125,44580,48b2e244f7329c368e46d286002bbc4de7bd81a3
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,0,complete,all controlled performance artifacts are complete,279.4462344000349,4.990111328572051,256.08984375,1833,48b2e244f7329c368e46d286002bbc4de7bd81a3
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,1,complete,all controlled performance artifacts are complete,278.792472000001,4.978437000000018,256.359375,1831,48b2e244f7329c368e46d286002bbc4de7bd81a3
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,2,complete,all controlled performance artifacts are complete,276.64858169999206,4.940153244642715,254.24609375,1831,48b2e244f7329c368e46d286002bbc4de7bd81a3
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,3,complete,all controlled performance artifacts are complete,277.25984829996014,4.951068719642145,256.16796875,1832,48b2e244f7329c368e46d286002bbc4de7bd81a3
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,4,complete,all controlled performance artifacts are complete,274.83473689999664,4.907763158928511,257.05078125,1833,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,0,complete,all controlled performance artifacts are complete,297.3985975999967,5.310689242857085,356.94140625,1863,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,1,complete,all controlled performance artifacts are complete,298.43570460000774,5.329209010714424,367.73046875,1871,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,2,complete,all controlled performance artifacts are complete,298.17835729999933,5.324613523214274,365.265625,1872,48b2e244f7329c368e46d286002bbc4de7bd81a3
