code,table_group,scenario,description,experiment,regions,cycles,required_repetitions,completed_repetitions,missing_repetitions,mean_max_blob_count,mean_runtime_seconds,runtime_seconds_per_cycle,mean_peak_working_set_mib,commit_sha
R01,routine,stage4_13_levy_off_flood_none,Popular Times only,popular_times_v2/production/13_levy_off_flood_none,13,56,5,0,"0,1,2,3,4",,,,,
R02,routine,stage4_13_levy_on_flood_none,Popular Times + probabilistic Lévy,popular_times_v2/production/13_levy_on_flood_none,13,56,5,0,"0,1,2,3,4",,,,,
R03,routine,stage6_13_levy_v2_flood_none,Popular Times + attendance Lévy V2,popular_times_v2/stage6/13_levy_v2_flood_none,13,56,5,0,"0,1,2,3,4",,,,,
R04,routine,stage4_94_levy_off_flood_none,Popular Times only,popular_times_v2/production/94_levy_off_flood_none,94,56,5,0,"0,1,2,3,4",,,,,
R05,routine,stage4_94_levy_on_flood_none,Popular Times + probabilistic Lévy,popular_times_v2/production/94_levy_on_flood_none,94,56,5,0,"0,1,2,3,4",,,,,
R06,routine,stage6_94_levy_v2_flood_none,Popular Times + attendance Lévy V2,popular_times_v2/stage6/94_levy_v2_flood_none,94,56,5,0,"0,1,2,3,4",,,,,
A01,adaptation,stage4_13_levy_on_flood_pois,POI flood; demand suppression,popular_times_v2/production/13_levy_on_flood_pois,13,56,5,0,"0,1,2,3,4",,,,,
A02,adaptation,stage4_13_levy_on_flood_homes,Home flood; demand suppression,popular_times_v2/production/13_levy_on_flood_homes,13,56,5,0,"0,1,2,3,4",,,,,
A03,adaptation,stage4_13_levy_on_flood_both,Home + POI flood; demand suppression,popular_times_v2/production/13_levy_on_flood_both,13,56,5,0,"0,1,2,3,4",,,,,
A04,adaptation,stage5_13_levy_off_flood_both_reroute,Home + POI flood; nearest-POI adaptation,popular_times_v2/stage5/13_levy_off_flood_both_reroute,13,56,5,0,"0,1,2,3,4",,,,,
A05,adaptation,stage5_13_levy_on_flood_both_reroute,Home + POI flood; Lévy + nearest-POI adaptation,popular_times_v2/stage5/13_levy_on_flood_both_reroute,13,56,5,0,"0,1,2,3,4",,,,,
A06,adaptation,stage4_94_levy_on_flood_pois,POI flood; demand suppression,popular_times_v2/production/94_levy_on_flood_pois,94,56,5,0,"0,1,2,3,4",,,,,
A07,adaptation,stage4_94_levy_on_flood_homes,Home flood; demand suppression,popular_times_v2/production/94_levy_on_flood_homes,94,56,5,0,"0,1,2,3,4",,,,,
A08,adaptation,stage4_94_levy_on_flood_both,Home + POI flood; demand suppression,popular_times_v2/production/94_levy_on_flood_both,94,56,5,0,"0,1,2,3,4",,,,,
A09,adaptation,stage5_94_levy_off_flood_both_reroute,Home + POI flood; nearest-POI adaptation,popular_times_v2/stage5/94_levy_off_flood_both_reroute,94,56,5,0,"0,1,2,3,4",,,,,
A10,adaptation,stage5_94_levy_on_flood_both_reroute,Home + POI flood; Lévy + nearest-POI adaptation,popular_times_v2/stage5/94_levy_on_flood_both_reroute,94,56,5,0,"0,1,2,3,4",,,,,
F01,disruption,stage6_13_levy_v2_flood_destinations,Flooded activity and commute destinations,popular_times_v2/stage6/13_levy_v2_flood_destinations,13,56,5,0,"0,1,2,3,4",,,,,
F02,disruption,stage6_13_levy_v2_flood_homes,Flooded homes,popular_times_v2/stage6/13_levy_v2_flood_homes,13,56,5,0,"0,1,2,3,4",,,,,
F03,disruption,stage6_13_levy_v2_flood_all,Flooded homes and destinations,popular_times_v2/stage6/13_levy_v2_flood_all,13,56,5,0,"0,1,2,3,4",,,,,
