Simulation Frame;Blob Count
0;133
1;133
2;133
3;133
4;133
5;133
6;133
7;133
8;147
9;149
10;149
11;151
12;149
13;151
14;151
15;151
16;151
17;151
18;151
19;151
20;151
21;151
22;151
23;16
24;133
25;133
26;133
27;133
28;133
29;133
30;133
31;133
32;147
33;149
34;149
35;151
36;149
37;151
38;151
39;151
40;151
41;151
42;151
43;151
44;151
45;151
46;151
47;16
48;133
49;133
50;133
51;133
52;133
53;133
54;133
55;133
56;147
57;149
58;149
59;151
60;149
61;151
62;151
63;151
64;151
65;151
66;151
67;151
68;151
69;151
70;151
71;16
