Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;15;2;15;1;14;1;14;14;14;1;14;14;14
1;15;2;15;1;14;1;14;14;14;1;14;14;14
2;15;2;15;1;14;1;14;14;14;1;14;14;14
3;15;2;15;1;14;1;14;14;14;1;14;14;14
4;15;2;15;1;14;1;14;14;14;1;14;14;14
5;15;2;15;1;14;1;14;14;14;1;14;14;14
6;15;2;15;1;14;1;14;14;14;1;14;14;14
7;15;2;15;1;14;1;14;14;14;1;14;14;14
8;15;1;16;1;16;1;16;16;16;1;16;16;16
9;16;2;16;1;16;1;16;16;16;1;16;16;16
10;17;1;16;1;16;1;16;16;16;1;16;16;16
11;18;2;16;1;16;1;16;16;16;1;16;16;16
12;17;1;16;1;16;1;16;16;16;1;16;16;16
13;18;2;16;1;16;1;16;16;16;1;16;16;16
14;18;2;16;1;16;1;16;16;16;1;16;16;16
15;18;2;16;1;16;1;16;16;16;1;16;16;16
16;18;2;16;1;16;1;16;16;16;1;16;16;16
17;18;2;16;1;16;1;16;16;16;1;16;16;16
18;18;2;16;1;16;1;16;16;16;1;16;16;16
19;18;2;16;1;16;1;16;16;16;1;16;16;16
20;18;2;16;1;16;1;16;16;16;1;16;16;16
21;18;2;16;1;16;1;16;16;16;1;16;16;16
22;18;2;16;1;16;1;16;16;16;1;16;16;16
23;2;2;2;1;1;1;1;1;1;1;1;1;1
24;15;2;15;1;14;1;14;14;14;1;14;14;14
25;15;2;15;1;14;1;14;14;14;1;14;14;14
26;15;2;15;1;14;1;14;14;14;1;14;14;14
27;15;2;15;1;14;1;14;14;14;1;14;14;14
28;15;2;15;1;14;1;14;14;14;1;14;14;14
29;15;2;15;1;14;1;14;14;14;1;14;14;14
30;15;2;15;1;14;1;14;14;14;1;14;14;14
31;15;2;15;1;14;1;14;14;14;1;14;14;14
32;15;1;16;1;16;1;16;16;16;1;16;16;16
33;16;2;16;1;16;1;16;16;16;1;16;16;16
34;17;1;16;1;16;1;16;16;16;1;16;16;16
35;18;2;16;1;16;1;16;16;16;1;16;16;16
36;17;1;16;1;16;1;16;16;16;1;16;16;16
37;18;2;16;1;16;1;16;16;16;1;16;16;16
38;18;2;16;1;16;1;16;16;16;1;16;16;16
39;18;2;16;1;16;1;16;16;16;1;16;16;16
40;18;2;16;1;16;1;16;16;16;1;16;16;16
41;18;2;16;1;16;1;16;16;16;1;16;16;16
42;18;2;16;1;16;1;16;16;16;1;16;16;16
43;18;2;16;1;16;1;16;16;16;1;16;16;16
44;18;2;16;1;16;1;16;16;16;1;16;16;16
45;18;2;16;1;16;1;16;16;16;1;16;16;16
46;18;2;16;1;16;1;16;16;16;1;16;16;16
47;2;2;2;1;1;1;1;1;1;1;1;1;1
48;15;2;15;1;14;1;14;14;14;1;14;14;14
49;15;2;15;1;14;1;14;14;14;1;14;14;14
50;15;2;15;1;14;1;14;14;14;1;14;14;14
51;15;2;15;1;14;1;14;14;14;1;14;14;14
52;15;2;15;1;14;1;14;14;14;1;14;14;14
53;15;2;15;1;14;1;14;14;14;1;14;14;14
54;15;2;15;1;14;1;14;14;14;1;14;14;14
55;15;2;15;1;14;1;14;14;14;1;14;14;14
56;15;1;16;1;16;1;16;16;16;1;16;16;16
57;16;2;16;1;16;1;16;16;16;1;16;16;16
58;17;1;16;1;16;1;16;16;16;1;16;16;16
59;18;2;16;1;16;1;16;16;16;1;16;16;16
60;17;1;16;1;16;1;16;16;16;1;16;16;16
61;18;2;16;1;16;1;16;16;16;1;16;16;16
62;18;2;16;1;16;1;16;16;16;1;16;16;16
63;18;2;16;1;16;1;16;16;16;1;16;16;16
64;18;2;16;1;16;1;16;16;16;1;16;16;16
65;18;2;16;1;16;1;16;16;16;1;16;16;16
66;18;2;16;1;16;1;16;16;16;1;16;16;16
67;18;2;16;1;16;1;16;16;16;1;16;16;16
68;18;2;16;1;16;1;16;16;16;1;16;16;16
69;18;2;16;1;16;1;16;16;16;1;16;16;16
70;18;2;16;1;16;1;16;16;16;1;16;16;16
71;2;2;2;1;1;1;1;1;1;1;1;1;1
