Frame;Hour;Day
0;0;0
1;1;0
2;2;0
3;3;0
4;4;0
5;5;0
6;6;0
7;7;0
8;8;0
9;9;0
10;10;0
11;11;0
12;12;0
13;13;0
14;14;0
15;15;0
16;16;0
17;17;0
18;18;0
19;19;0
20;20;0
21;21;0
22;22;0
23;23;0
24;0;1
25;1;1
26;2;1
27;3;1
28;4;1
29;5;1
30;6;1
31;7;1
32;8;1
33;9;1
34;10;1
35;11;1
36;12;1
37;13;1
38;14;1
39;15;1
40;16;1
41;17;1
42;18;1
43;19;1
44;20;1
45;21;1
46;22;1
47;23;1
48;0;2
49;1;2
50;2;2
51;3;2
52;4;2
53;5;2
54;6;2
55;7;2
56;8;2
57;9;2
58;10;2
59;11;2
60;12;2
61;13;2
62;14;2
63;15;2
64;16;2
65;17;2
66;18;2
67;19;2
68;20;2
69;21;2
70;22;2
71;23;2
