Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13828;13750;78;24;-54;78
0;0;0;Bom Fim;11509;11509;0;-84;-84;0
0;0;0;Centro;39188;39119;69;34;-35;69
0;0;0;Cidade Baixa;15318;15318;0;-61;-61;0
0;0;0;Farroupilha;989;900;89;28;-61;89
0;0;0;Floresta;11541;11541;0;-55;-55;0
0;0;0;Independência;8143;8057;86;31;-55;86
0;0;0;Menino Deus;31681;31606;75;31;-44;75
0;0;0;Moinhos de Vento;11970;11894;76;33;-43;76
0;0;0;Praia de Belas;2235;2235;0;-46;-46;0
0;0;0;Rio Branco;17554;17472;82;23;-59;82
0;0;0;Santa Cecília;5787;5708;79;19;-60;79
0;0;0;Santana;20746;20666;80;23;-57;80
1;1;0;Azenha;13825;13736;89;-3;-14;11
1;1;0;Bom Fim;11493;11493;0;-16;-16;0
1;1;0;Centro;39219;39115;104;31;-4;35
1;1;0;Cidade Baixa;15305;15305;0;-13;-13;0
1;1;0;Farroupilha;977;887;90;-12;-13;1
1;1;0;Floresta;11531;11531;0;-10;-10;0
1;1;0;Independência;8137;8047;90;-6;-10;4
1;1;0;Menino Deus;31709;31599;110;28;-7;35
1;1;0;Moinhos de Vento;11970;11888;82;0;-6;6
1;1;0;Praia de Belas;2225;2225;0;-10;-10;0
1;1;0;Rio Branco;17562;17463;99;8;-9;17
1;1;0;Santa Cecília;5775;5694;81;-12;-14;2
1;1;0;Santana;20761;20657;104;15;-9;24
2;2;0;Azenha;13821;13735;86;-4;-1;-3
2;2;0;Bom Fim;11491;11491;0;-2;-2;0
2;2;0;Centro;39219;39114;105;0;-1;1
2;2;0;Cidade Baixa;15304;15304;0;-1;-1;0
2;2;0;Farroupilha;975;884;91;-2;-3;1
2;2;0;Floresta;11529;11529;0;-2;-2;0
2;2;0;Independência;8138;8046;92;1;-1;2
2;2;0;Menino Deus;31719;31600;119;10;1;9
2;2;0;Moinhos de Vento;11973;11888;85;3;0;3
2;2;0;Praia de Belas;2224;2224;0;-1;-1;0
2;2;0;Rio Branco;17559;17460;99;-3;-3;0
2;2;0;Santa Cecília;5778;5693;85;3;-1;4
2;2;0;Santana;20759;20655;104;-2;-2;0
3;3;0;Azenha;13829;13739;90;8;4;4
3;3;0;Bom Fim;11491;11491;0;0;0;0
3;3;0;Centro;39220;39116;104;1;2;-1
3;3;0;Cidade Baixa;15306;15306;0;2;2;0
3;3;0;Farroupilha;980;889;91;5;5;0
3;3;0;Floresta;11530;11530;0;1;1;0
3;3;0;Independência;8143;8047;96;5;1;4
3;3;0;Menino Deus;31707;31600;107;-12;0;-12
3;3;0;Moinhos de Vento;11971;11887;84;-2;-1;-1
3;3;0;Praia de Belas;2226;2226;0;2;2;0
3;3;0;Rio Branco;17555;17461;94;-4;1;-5
3;3;0;Santa Cecília;5781;5695;86;3;2;1
3;3;0;Santana;20750;20654;96;-9;-1;-8
4;4;0;Azenha;13862;13677;185;33;-62;95
4;4;0;Bom Fim;11393;11393;0;-98;-98;0
4;4;0;Centro;39285;39076;209;65;-40;105
4;4;0;Cidade Baixa;15233;15233;0;-73;-73;0
4;4;0;Farroupilha;996;815;181;16;-74;90
4;4;0;Floresta;11465;11465;0;-65;-65;0
4;4;0;Independência;8170;7982;188;27;-65;92
4;4;0;Menino Deus;31750;31548;202;43;-52;95
4;4;0;Moinhos de Vento;12001;11835;166;30;-52;82
4;4;0;Praia de Belas;2171;2171;0;-55;-55;0
4;4;0;Rio Branco;17587;17392;195;32;-69;101
4;4;0;Santa Cecília;5792;5624;168;11;-71;82
4;4;0;Santana;20784;20587;197;34;-67;101
5;5;0;Azenha;13853;13671;182;-9;-6;-3
5;5;0;Bom Fim;11389;11389;0;-4;-4;0
5;5;0;Centro;39286;39074;212;1;-2;3
5;5;0;Cidade Baixa;15229;15229;0;-4;-4;0
5;5;0;Farroupilha;994;812;182;-2;-3;1
5;5;0;Floresta;11462;11462;0;-3;-3;0
5;5;0;Independência;8169;7979;190;-1;-3;2
5;5;0;Menino Deus;31773;31549;224;23;1;22
5;5;0;Moinhos de Vento;12007;11833;174;6;-2;8
5;5;0;Praia de Belas;2168;2168;0;-3;-3;0
5;5;0;Rio Branco;17583;17390;193;-4;-2;-2
5;5;0;Santa Cecília;5794;5624;170;2;0;2
5;5;0;Santana;20782;20585;197;-2;-2;0
6;6;0;Azenha;13851;13677;174;-2;6;-8
6;6;0;Bom Fim;11395;11395;0;6;6;0
6;6;0;Centro;39272;39077;195;-14;3;-17
6;6;0;Cidade Baixa;15237;15237;0;8;8;0
6;6;0;Farroupilha;1003;821;182;9;9;0
6;6;0;Floresta;11465;11465;0;3;3;0
6;6;0;Independência;8173;7986;187;4;7;-3
6;6;0;Menino Deus;31755;31551;204;-18;2;-20
6;6;0;Moinhos de Vento;12002;11836;166;-5;3;-8
6;6;0;Praia de Belas;2172;2172;0;4;4;0
6;6;0;Rio Branco;17587;17395;192;4;5;-1
6;6;0;Santa Cecília;5797;5627;170;3;3;0
6;6;0;Santana;20780;20589;191;-2;4;-6
7;7;0;Azenha;13859;13670;189;8;-7;15
7;7;0;Bom Fim;11385;11385;0;-10;-10;0
7;7;0;Centro;39290;39073;217;18;-4;22
7;7;0;Cidade Baixa;15227;15227;0;-10;-10;0
7;7;0;Farroupilha;993;810;183;-10;-11;1
7;7;0;Floresta;11457;11457;0;-8;-8;0
7;7;0;Independência;8174;7979;195;1;-7;8
7;7;0;Menino Deus;31762;31544;218;7;-7;14
7;7;0;Moinhos de Vento;12007;11830;177;5;-6;11
7;7;0;Praia de Belas;2165;2165;0;-7;-7;0
7;7;0;Rio Branco;17590;17389;201;3;-6;9
7;7;0;Santa Cecília;5792;5619;173;-5;-8;3
7;7;0;Santana;20788;20581;207;8;-8;16
8;8;0;Azenha;13885;13593;292;26;-77;103
8;8;0;Bom Fim;11226;11226;0;-159;-159;0
8;8;0;Centro;39361;39006;355;71;-67;138
8;8;0;Cidade Baixa;15141;15141;0;-86;-86;0
8;8;0;Farroupilha;1009;726;283;16;-84;100
8;8;0;Floresta;11382;11382;0;-75;-75;0
8;8;0;Independência;8205;7904;301;31;-75;106
8;8;0;Menino Deus;31845;31486;359;83;-58;141
8;8;0;Moinhos de Vento;12057;11772;285;50;-58;108
8;8;0;Praia de Belas;2099;2099;0;-66;-66;0
8;8;0;Rio Branco;17642;17315;327;52;-74;126
8;8;0;Santa Cecília;5813;5537;276;21;-82;103
8;8;0;Santana;20824;20503;321;36;-78;114
9;9;0;Azenha;13882;13591;291;-3;-2;-1
9;9;0;Bom Fim;11225;11225;0;-1;-1;0
9;9;0;Centro;39361;39006;355;0;0;0
9;9;0;Cidade Baixa;15138;15138;0;-3;-3;0
9;9;0;Farroupilha;1007;722;285;-2;-4;2
9;9;0;Floresta;11380;11380;0;-2;-2;0
9;9;0;Independência;8207;7902;305;2;-2;4
9;9;0;Menino Deus;31829;31484;345;-16;-2;-14
9;9;0;Moinhos de Vento;12047;11770;277;-10;-2;-8
9;9;0;Praia de Belas;2097;2097;0;-2;-2;0
9;9;0;Rio Branco;17656;17315;341;14;0;14
9;9;0;Santa Cecília;5811;5532;279;-2;-5;3
9;9;0;Santana;20849;20502;347;25;-1;26
10;10;0;Azenha;13882;13583;299;0;-8;8
10;10;0;Bom Fim;11218;11218;0;-7;-7;0
10;10;0;Centro;39280;38930;350;-81;-76;-5
10;10;0;Cidade Baixa;15134;15134;0;-4;-4;0
10;10;0;Farroupilha;1014;717;297;7;-5;12
10;10;0;Floresta;11377;11377;0;-3;-3;0
10;10;0;Independência;8220;7900;320;13;-2;15
10;10;0;Menino Deus;31857;31483;374;28;-1;29
10;10;0;Moinhos de Vento;12070;11769;301;23;-1;24
10;10;0;Praia de Belas;2092;2092;0;-5;-5;0
10;10;0;Rio Branco;17659;17312;347;3;-3;6
10;10;0;Santa Cecília;5819;5528;291;8;-4;12
10;10;0;Santana;20867;20499;368;18;-3;21
11;11;0;Azenha;13882;13585;297;0;2;-2
11;11;0;Bom Fim;11223;11223;0;5;5;0
11;11;0;Centro;39284;38943;341;4;13;-9
11;11;0;Cidade Baixa;15135;15135;0;1;1;0
11;11;0;Farroupilha;1020;721;299;6;4;2
11;11;0;Floresta;11378;11378;0;1;1;0
11;11;0;Independência;8230;7902;328;10;2;8
11;11;0;Menino Deus;31865;31484;381;8;1;7
11;11;0;Moinhos de Vento;12073;11772;301;3;3;0
11;11;0;Praia de Belas;2092;2092;0;0;0;0
11;11;0;Rio Branco;17652;17312;340;-7;0;-7
11;11;0;Santa Cecília;5823;5534;289;4;6;-2
11;11;0;Santana;20832;20500;332;-35;1;-36
12;12;0;Azenha;13935;13527;408;53;-58;111
12;12;0;Bom Fim;11128;11128;0;-95;-95;0
12;12;0;Centro;39277;38836;441;-7;-107;100
12;12;0;Cidade Baixa;15063;15063;0;-72;-72;0
12;12;0;Farroupilha;1053;653;400;33;-68;101
12;12;0;Floresta;11320;11320;0;-58;-58;0
12;12;0;Independência;8266;7843;423;36;-59;95
12;12;0;Menino Deus;31890;31432;458;25;-52;77
12;12;0;Moinhos de Vento;12105;11724;381;32;-48;80
12;12;0;Praia de Belas;2039;2039;0;-53;-53;0
12;12;0;Rio Branco;17680;17248;432;28;-64;92
12;12;0;Santa Cecília;5848;5468;380;25;-66;91
12;12;0;Santana;20885;20438;447;53;-62;115
13;13;0;Azenha;13927;13516;411;-8;-11;3
13;13;0;Bom Fim;11119;11119;0;-9;-9;0
13;13;0;Centro;39278;38840;438;1;4;-3
13;13;0;Cidade Baixa;15053;15053;0;-10;-10;0
13;13;0;Farroupilha;1046;644;402;-7;-9;2
13;13;0;Floresta;11313;11313;0;-7;-7;0
13;13;0;Independência;8267;7835;432;1;-8;9
13;13;0;Menino Deus;31913;31427;486;23;-5;28
13;13;0;Moinhos de Vento;12104;11717;387;-1;-7;6
13;13;0;Praia de Belas;2032;2032;0;-7;-7;0
13;13;0;Rio Branco;17695;17240;455;15;-8;23
13;13;0;Santa Cecília;5853;5459;394;5;-9;14
13;13;0;Santana;20889;20430;459;4;-8;12
14;14;0;Azenha;13938;13513;425;11;-3;14
14;14;0;Bom Fim;11112;11112;0;-7;-7;0
