Frame;Hour;Day;Node;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha//home;13794;13794;0;-10;-10;0
0;0;0;Azenha//work;0;0;0;0;0;0
0;0;0;Azenha//school;0;0;0;0;0;0
0;0;0;Azenha//marketplace;0;0;0;0;0;0
0;0;0;Azenha//pharmacy;0;0;0;0;0;0
0;0;0;Azenha//gas_station;0;0;0;0;0;0
0;0;0;Azenha//hospital;10;10;0;10;10;0
0;0;0;Azenha//shopping_mall;0;0;0;0;0;0
1;1;0;Azenha//home;13780;13780;0;-14;-14;0
1;1;0;Azenha//work;0;0;0;0;0;0
1;1;0;Azenha//school;0;0;0;0;0;0
1;1;0;Azenha//marketplace;0;0;0;0;0;0
1;1;0;Azenha//pharmacy;0;0;0;0;0;0
1;1;0;Azenha//gas_station;0;0;0;0;0;0
1;1;0;Azenha//hospital;24;24;0;14;14;0
1;1;0;Azenha//shopping_mall;0;0;0;0;0;0
2;2;0;Azenha//home;13784;13784;0;4;4;0
2;2;0;Azenha//work;0;0;0;0;0;0
2;2;0;Azenha//school;0;0;0;0;0;0
2;2;0;Azenha//marketplace;0;0;0;0;0;0
2;2;0;Azenha//pharmacy;0;0;0;0;0;0
2;2;0;Azenha//gas_station;0;0;0;0;0;0
2;2;0;Azenha//hospital;20;20;0;-4;-4;0
2;2;0;Azenha//shopping_mall;0;0;0;0;0;0
3;3;0;Azenha//home;13781;13781;0;-3;-3;0
3;3;0;Azenha//work;0;0;0;0;0;0
3;3;0;Azenha//school;0;0;0;0;0;0
3;3;0;Azenha//marketplace;0;0;0;0;0;0
3;3;0;Azenha//pharmacy;0;0;0;0;0;0
3;3;0;Azenha//gas_station;0;0;0;0;0;0
3;3;0;Azenha//hospital;23;23;0;3;3;0
3;3;0;Azenha//shopping_mall;0;0;0;0;0;0
4;4;0;Azenha//home;13765;13765;0;-16;-16;0
4;4;0;Azenha//work;0;0;0;0;0;0
4;4;0;Azenha//school;0;0;0;0;0;0
4;4;0;Azenha//marketplace;0;0;0;0;0;0
4;4;0;Azenha//pharmacy;0;0;0;0;0;0
4;4;0;Azenha//gas_station;0;0;0;0;0;0
4;4;0;Azenha//hospital;39;39;0;16;16;0
4;4;0;Azenha//shopping_mall;0;0;0;0;0;0
5;5;0;Azenha//home;13768;13768;0;3;3;0
5;5;0;Azenha//work;0;0;0;0;0;0
5;5;0;Azenha//school;0;0;0;0;0;0
5;5;0;Azenha//marketplace;0;0;0;0;0;0
5;5;0;Azenha//pharmacy;0;0;0;0;0;0
5;5;0;Azenha//gas_station;0;0;0;0;0;0
5;5;0;Azenha//hospital;36;36;0;-3;-3;0
5;5;0;Azenha//shopping_mall;0;0;0;0;0;0
6;6;0;Azenha//home;13773;13773;0;5;5;0
6;6;0;Azenha//work;0;0;0;0;0;0
6;6;0;Azenha//school;0;0;0;0;0;0
6;6;0;Azenha//marketplace;0;0;0;0;0;0
6;6;0;Azenha//pharmacy;0;0;0;0;0;0
6;6;0;Azenha//gas_station;0;0;0;0;0;0
6;6;0;Azenha//hospital;31;31;0;-5;-5;0
6;6;0;Azenha//shopping_mall;0;0;0;0;0;0
7;7;0;Azenha//home;13761;13761;0;-12;-12;0
7;7;0;Azenha//work;0;0;0;0;0;0
7;7;0;Azenha//school;0;0;0;0;0;0
7;7;0;Azenha//marketplace;0;0;0;0;0;0
7;7;0;Azenha//pharmacy;0;0;0;0;0;0
7;7;0;Azenha//gas_station;0;0;0;0;0;0
7;7;0;Azenha//hospital;43;43;0;12;12;0
7;7;0;Azenha//shopping_mall;0;0;0;0;0;0
8;8;0;Azenha//home;13739;13739;0;-22;-22;0
8;8;0;Azenha//work;0;0;0;0;0;0
8;8;0;Azenha//school;0;0;0;0;0;0
8;8;0;Azenha//marketplace;0;0;0;0;0;0
8;8;0;Azenha//pharmacy;0;0;0;0;0;0
8;8;0;Azenha//gas_station;0;0;0;0;0;0
8;8;0;Azenha//hospital;65;65;0;22;22;0
8;8;0;Azenha//shopping_mall;0;0;0;0;0;0
9;9;0;Azenha//home;13740;13740;0;1;1;0
9;9;0;Azenha//work;0;0;0;0;0;0
9;9;0;Azenha//school;0;0;0;0;0;0
9;9;0;Azenha//marketplace;0;0;0;0;0;0
9;9;0;Azenha//pharmacy;0;0;0;0;0;0
9;9;0;Azenha//gas_station;0;0;0;0;0;0
9;9;0;Azenha//hospital;64;64;0;-1;-1;0
9;9;0;Azenha//shopping_mall;0;0;0;0;0;0
