Simulation Frame;Azenha;Bom Fim;Centro Histórico;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;7;4;6;6;12;7;8;7;5;6;5;9;9
2;9;9;10;9;12;9;10;10;9;10;7;10;9
3;10;12;12;10;13;11;11;11;10;12;10;11;10
4;10;12;12;12;13;11;13;12;11;12;11;11;11
5;10;12;12;13;14;11;13;13;11;12;11;11;12
6;10;12;12;13;14;11;13;13;12;12;11;11;12
7;10;12;13;13;14;11;13;13;12;12;11;11;12
8;21;24;21;25;23;21;21;17;23;20;19;19;22
9;21;24;21;25;23;21;21;17;23;20;19;19;22
10;21;24;21;25;23;21;21;17;23;20;19;19;22
11;21;24;21;25;23;21;22;17;23;20;19;19;22
12;21;24;21;25;23;21;22;17;23;21;20;20;22
13;24;26;24;25;26;22;25;21;24;25;23;23;22
14;24;26;24;25;26;22;25;21;24;25;23;23;22
15;24;26;24;25;26;22;25;21;24;25;23;23;22
16;24;26;24;25;26;22;25;22;24;25;23;23;22
17;24;26;24;25;26;22;25;22;24;25;23;23;22
18;24;26;24;25;26;22;25;22;24;25;23;23;22
19;25;26;25;25;26;22;25;23;24;25;24;23;23
20;25;26;25;25;26;22;25;23;24;25;24;23;23
21;25;26;25;25;26;22;25;23;24;25;24;23;23
22;14;13;13;13;14;11;14;14;12;13;12;13;12
23;1;1;1;1;1;1;1;1;1;1;1;1;1
