distance;frequency
67.6711913324525;350
100.61268014471489;300
173.50708107965073;500
173.683724978892;600
274.6405321269692;150
372.72770482646195;1000
424.1481790893432;700
425.8360281200292;400
446.66255320241487;200
516.2806873459092;250
519.4544566918498;100
565.4579428017496;150
635.4373133025302;150
661.619179050625;450
692.8857854266543;250
717.7182279413862;450
785.8340054153449;300
820.6654502018204;300
853.9160599949046;650
953.6306250259859;150
962.5667452735514;550
962.8283162899589;100
965.342379329187;50
993.4878681701881;250
1039.4985047322207;150
1081.0853823114958;50
1102.1775379402582;100
1145.808525105978;150
1166.1311775630284;50
1192.504061939152;250
1214.2787351412658;100
1230.3894461406978;250
1265.4091040504322;50
1270.6917530731669;100
1282.2879855941273;100
1331.5158280504743;200
1338.9714177363244;100
1344.748070224628;100
1349.8081240173478;100
1354.3983812515237;50
1367.3095426934224;50
1385.6424345160908;850
1395.6891396643425;100
1399.4286536238583;100
1407.7152133356838;450
1436.529774866092;150
1447.5206667587163;250
1456.0823196299548;200
1480.0546465120426;100
1497.6564967131344;100
1538.7477747222943;50
1548.9542055133948;500
1567.009170736311;50
1575.1213827917977;50
1609.4271798851557;50
1662.5593037539397;200
1689.661797762879;200
1792.6453054906226;150
1829.0952971594972;50
1829.1356868363823;50
1842.9186317480592;50
1847.0141829814572;100
1854.5552328853607;50
1855.9180027863742;50
1863.2440589384996;100
1913.3031667453113;200
1920.0314996872999;100
1956.261231148881;50
1957.7031873350259;350
1984.832000249693;100
2022.8330474360384;50
2073.022494020061;50
2091.065174017553;150
2094.746261219774;50
2137.609374303895;150
2171.2118977620335;150
2182.7615594830354;250
2252.0834768776294;50
2280.967537461592;50
2335.318668701848;150
2336.8938283754915;50
2346.9406768066824;150
2466.467240311395;300
2483.9399498725725;50
2523.625656469705;100
2628.927696775612;50
2630.332299789633;100
2710.1552369496912;100
2731.247624032317;50
2750.3063799109514;250
2782.926830834655;50
2865.5868994032217;50
2904.6667795427234;50
2948.0425630751542;50
2954.3771454175962;200
3044.3841758684666;150
3094.2891276867886;100
3168.5505508621245;50
3282.3039862773376;100
3327.5237326929187;100
3347.322903112035;50
3370.994877234514;50
3398.856355156475;250
3423.15237057213;150
3659.087036893206;50
3743.7193431773917;150
3795.4028175578796;50
3848.486591611186;100
4113.400536877231;100
