;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;0;Azenha;Azenha;4000;500;1418;670;1400;2600
1;0;Azenha;Bom Fim;1150;100;408;180;450;700
2;0;Azenha;Centro Histórico;2700;50;1266;563;400;2300
3;0;Azenha;Cidade Baixa;2600;250;928;418;750;1850
4;0;Azenha;Farroupilha;600;50;268;120;100;500
5;0;Azenha;Floresta;550;0;233;95;150;400
6;0;Azenha;Independência;350;0;154;75;50;300
7;0;Azenha;Menino Deus;3500;500;1280;544;1500;2000
8;0;Azenha;Moinhos de Vento;400;50;150;79;100;300
9;0;Azenha;Praia de Belas;650;100;228;93;300;350
10;0;Azenha;Rio Branco;750;150;245;125;300;450
11;0;Azenha;Santa Cecília;500;150;123;64;250;250
12;0;Azenha;Santana;4050;450;1348;580;1750;2300
13;0;Bom Fim;Azenha;1150;100;408;180;450;700
14;0;Bom Fim;Bom Fim;3000;0;1176;738;400;2600
15;0;Bom Fim;Centro Histórico;2700;250;922;440;950;1750
16;0;Bom Fim;Cidade Baixa;900;200;305;126;400;500
17;0;Bom Fim;Farroupilha;1200;100;405;208;450;750
18;0;Bom Fim;Floresta;1400;150;375;206;650;750
19;0;Bom Fim;Independência;2800;50;1174;672;250;2550
20;0;Bom Fim;Menino Deus;1550;250;522;306;450;1100
21;0;Bom Fim;Moinhos de Vento;1500;200;494;386;400;1100
22;0;Bom Fim;Praia de Belas;550;0;208;112;100;450
23;0;Bom Fim;Rio Branco;4050;350;1689;867;900;3150
24;0;Bom Fim;Santa Cecília;1300;50;614;312;150;1150
25;0;Bom Fim;Santana;2050;550;601;313;950;1100
26;0;Centro Histórico;Azenha;2700;50;1266;563;400;2300
27;0;Centro Histórico;Bom Fim;2700;250;922;440;950;1750
28;0;Centro Histórico;Centro Histórico;10600;1900;1136;446;8800;1800
29;0;Centro Histórico;Cidade Baixa;3650;600;902;342;2200;1450
30;0;Centro Histórico;Farroupilha;1550;150;585;286;400;1150
31;0;Centro Histórico;Floresta;4150;550;1200;563;1800;2350
32;0;Centro Histórico;Independência;2200;150;768;374;650;1550
33;0;Centro Histórico;Menino Deus;2850;350;1182;586;600;2250
34;0;Centro Histórico;Moinhos de Vento;1250;100;458;233;350;900
35;0;Centro Histórico;Praia de Belas;2200;0;1046;462;200;2000
36;0;Centro Histórico;Rio Branco;1750;200;556;242;750;1000
37;0;Centro Histórico;Santa Cecília;1900;150;770;362;400;1500
38;0;Centro Histórico;Santana;1550;200;636;241;550;1000
39;0;Cidade Baixa;Azenha;2600;250;928;418;750;1850
40;0;Cidade Baixa;Bom Fim;900;200;305;126;400;500
41;0;Cidade Baixa;Centro Histórico;3650;600;902;342;2200;1450
42;0;Cidade Baixa;Cidade Baixa;4700;700;1184;478;2600;2100
43;0;Cidade Baixa;Farroupilha;3300;400;824;338;1850;1450
44;0;Cidade Baixa;Floresta;700;350;120;67;450;250
45;0;Cidade Baixa;Independência;2300;50;981;478;500;1800
46;0;Cidade Baixa;Menino Deus;4850;150;2218;1028;900;3950
47;0;Cidade Baixa;Moinhos de Vento;700;50;222;118;250;450
48;0;Cidade Baixa;Praia de Belas;1050;150;260;98;650;400
49;0;Cidade Baixa;Rio Branco;1750;250;698;333;450;1300
50;0;Cidade Baixa;Santa Cecília;700;50;329;173;50;650
51;0;Cidade Baixa;Santana;950;50;425;189;100;850
52;0;Farroupilha;Azenha;600;50;268;120;100;500
53;0;Farroupilha;Bom Fim;1200;100;405;208;450;750
54;0;Farroupilha;Centro Histórico;1550;150;585;286;400;1150
55;0;Farroupilha;Cidade Baixa;3300;400;824;338;1850;1450
56;0;Farroupilha;Farroupilha;100;0;52;36;0;100
57;0;Farroupilha;Floresta;750;150;229;119;300;450
58;0;Farroupilha;Independência;250;0;115;76;0;250
59;0;Farroupilha;Menino Deus;3550;350;1578;865;550;3000
60;0;Farroupilha;Moinhos de Vento;400;100;95;75;200;200
61;0;Farroupilha;Praia de Belas;300;0;101;55;100;200
62;0;Farroupilha;Rio Branco;1450;350;424;171;850;600
63;0;Farroupilha;Santa Cecília;250;100;36;42;150;100
64;0;Farroupilha;Santana;1050;250;179;100;700;350
65;0;Floresta;Azenha;550;0;233;95;150;400
66;0;Floresta;Bom Fim;1400;150;375;206;650;750
67;0;Floresta;Centro Histórico;4150;550;1200;563;1800;2350
68;0;Floresta;Cidade Baixa;700;350;120;67;450;250
69;0;Floresta;Farroupilha;750;150;229;119;300;450
70;0;Floresta;Floresta;4000;500;1640;806;900;3100
71;0;Floresta;Independência;1550;300;507;167;950;600
72;0;Floresta;Menino Deus;650;100;213;125;250;400
73;0;Floresta;Moinhos de Vento;2850;300;1153;697;700;2150
74;0;Floresta;Praia de Belas;450;50;178;81;100;350
75;0;Floresta;Rio Branco;2050;150;606;315;900;1150
76;0;Floresta;Santa Cecília;600;150;155;86;300;300
77;0;Floresta;Santana;1550;350;455;231;700;850
78;0;Independência;Azenha;350;0;154;75;50;300
79;0;Independência;Bom Fim;2800;50;1174;672;250;2550
80;0;Independência;Centro Histórico;2200;150;768;374;650;1550
81;0;Independência;Cidade Baixa;2300;50;981;478;500;1800
82;0;Independência;Farroupilha;250;0;115;76;0;250
83;0;Independência;Floresta;1550;300;507;167;950;600
84;0;Independência;Independência;4300;200;1510;1024;900;3400
85;0;Independência;Menino Deus;750;50;345;185;100;650
86;0;Independência;Moinhos de Vento;950;200;310;246;300;650
87;0;Independência;Praia de Belas;300;50;87;59;100;200
88;0;Independência;Rio Branco;2200;200;992;500;450;1750
89;0;Independência;Santa Cecília;550;50;191;84;250;300
90;0;Independência;Santana;1450;100;608;351;250;1200
91;0;Menino Deus;Azenha;3500;500;1280;544;1500;2000
92;0;Menino Deus;Bom Fim;1550;250;522;306;450;1100
93;0;Menino Deus;Centro Histórico;2850;350;1182;586;600;2250
94;0;Menino Deus;Cidade Baixa;4850;150;2218;1028;900;3950
95;0;Menino Deus;Farroupilha;3550;350;1578;865;550;3000
