Simulation Frame;Azenha;Bom Fim;Centro Histórico;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;6;7;6;5;7;3;9;7;5;8;11;6;6
2;6;12;10;9;10;8;11;9;6;10;11;8;9
3;9;12;11;9;12;8;13;11;10;10;11;10;10
4;9;12;12;9;13;9;13;11;11;10;13;11;11
5;9;12;12;10;13;9;13;11;11;11;13;11;11
6;9;12;12;12;13;9;13;11;11;12;13;11;12
7;9;12;12;12;13;10;13;12;11;12;13;11;12
8;12;13;13;13;13;11;13;12;12;12;13;12;13
9;13;13;13;13;13;11;13;12;12;12;13;12;13
10;13;13;13;13;13;11;13;12;13;12;13;12;13
11;13;13;13;13;13;11;13;12;13;12;13;12;13
12;13;13;13;14;13;12;13;13;13;13;14;12;13
13;13;13;13;14;13;12;13;13;13;13;14;12;13
14;13;13;13;14;13;12;13;13;13;13;14;12;13
15;13;13;13;14;13;12;13;14;13;13;14;12;13
16;13;13;13;14;13;12;13;14;13;13;14;12;13
17;13;13;13;14;13;12;13;14;13;13;14;12;13
18;13;13;13;14;13;12;13;14;13;13;14;12;13
19;13;13;13;14;13;12;13;14;13;13;14;12;13
20;13;13;13;14;13;12;13;14;13;13;14;12;13
21;13;13;13;14;13;12;13;14;13;13;14;12;13
22;13;13;13;14;13;12;13;14;13;13;14;12;13
23;1;1;1;1;1;1;1;1;1;1;1;1;1
