Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro Histórico;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Cel. Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itú;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;Mont'Serrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo D'Areia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;São José
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;9;9;3;6;6;13;11;6;10;8;8;13;12;10;10;5;12;9;17;9;12;15;12;12;8;8;9;5;10;7;13;9;10;11;10;12;9;11;8;11;8;8;7;11;10;8;10;8;9;7;6;8;9;15;12;10;11;11;14;7;15;8;12;9;9;7;9;9;8;13;10;10;14;7;16;13;8;9;4;10;10;7;7;7;9;13;7;9;9;16;12;13;13;12
2;16;13;4;9;18;17;16;9;15;18;13;16;19;13;16;11;15;12;22;11;17;24;17;17;13;13;11;9;15;15;22;12;14;14;15;15;18;20;16;17;14;21;13;17;13;13;19;11;12;12;9;11;11;17;14;18;14;16;21;16;18;18;18;10;14;12;13;14;17;20;15;18;20;12;23;16;17;13;11;14;16;12;11;10;17;19;8;14;14;22;17;19;18;18
3;21;16;6;13;23;21;22;16;18;21;17;18;23;19;17;15;18;14;27;13;20;28;20;21;15;18;15;12;18;18;26;16;16;18;16;19;19;21;23;22;17;24;17;17;16;18;20;18;15;14;14;12;16;21;15;23;18;18;23;17;27;22;21;15;20;17;14;15;18;23;19;21;23;14;24;18;24;17;17;21;22;14;14;12;23;22;13;15;16;25;21;23;25;18
4;21;19;13;16;26;24;24;19;23;27;19;21;28;21;24;18;20;15;31;18;24;30;22;22;17;20;16;14;22;23;31;16;21;20;20;23;20;24;23;25;19;27;21;19;22;22;24;20;19;15;16;19;18;29;17;26;25;23;27;18;29;31;22;18;24;18;15;16;22;23;20;25;27;16;27;22;31;18;22;22;24;15;15;15;26;26;14;16;21;28;24;23;27;21
5;22;20;14;19;26;27;28;23;26;30;23;23;32;23;26;21;24;20;31;19;26;31;25;28;21;21;20;15;29;27;34;17;26;24;22;27;24;28;24;28;23;30;24;21;24;25;24;24;21;17;16;22;23;35;21;27;28;23;28;18;32;34;25;20;26;21;20;18;24;27;22;25;33;18;32;25;33;21;22;26;25;17;16;19;32;32;16;19;24;32;25;28;29;23
6;25;22;16;21;29;30;32;25;29;32;25;27;33;24;27;27;26;22;35;21;26;34;26;34;21;25;24;17;30;30;34;18;27;25;24;31;24;30;25;29;25;30;25;21;28;27;26;28;23;19;20;22;28;37;25;29;29;23;30;19;34;36;27;21;30;25;21;19;25;30;23;30;34;20;35;27;35;22;23;28;27;20;19;21;33;34;17;23;25;32;26;30;30;23
7;27;22;17;25;30;32;35;27;29;35;27;28;33;28;27;27;29;23;36;23;28;36;27;35;22;26;25;18;31;31;34;19;29;29;25;33;25;31;33;29;28;31;28;22;31;30;28;29;25;23;22;24;29;38;28;32;30;25;33;20;35;39;28;22;32;26;26;23;26;31;26;32;34;25;37;30;36;23;25;31;28;22;20;23;35;38;18;24;26;33;28;32;32;26
8;45;49;38;39;58;62;65;49;57;57;49;54;57;50;46;50;51;41;57;43;51;55;50;59;50;47;42;33;59;57;58;41;49;47;39;55;40;59;55;48;48;51;53;41;55;58;61;56;45;39;46;45;53;57;59;57;57;45;57;40;63;66;47;40;57;43;43;54;39;57;51;55;64;47;72;59;56;43;45;57;48;44;39;46;67;59;34;39;44;57;48;55;56;51
9;45;50;40;39;60;65;65;51;59;59;51;55;59;50;47;52;53;43;58;46;51;60;51;60;52;48;43;34;60;58;59;41;50;49;40;55;41;61;57;48;48;53;53;43;56;60;63;57;45;41;48;46;53;58;63;59;57;47;58;41;64;67;47;40;57;44;43;54;41;58;52;57;65;49;74;59;58;44;46;59;51;45;42;48;68;60;37;39;45;58;49;57;56;53
10;45;51;44;40;63;66;67;53;61;59;54;55;59;51;49;53;54;46;58;49;51;61;51;61;52;50;43;34;62;60;60;41;52;50;42;57;41;62;58;50;49;53;54;46;56;60;64;58;45;42;52;47;55;59;63;61;58;47;58;42;65;68;47;42;57;46;46;56;41;59;53;60;66;49;75;61;58;44;46;60;52;46;43;48;69;60;37;39;45;59;52;59;59;53
11;45;52;44;40;63;66;67;54;61;62;55;57;61;51;51;53;58;46;59;50;53;62;52;61;53;52;43;34;64;60;61;41;53;51;43;59;42;65;60;52;50;55;54;47;57;60;66;59;46;43;53;50;56;60;63;62;58;47;58;43;66;69;47;42;58;46;47;57;43;59;55;62;68;50;76;63;58;45;46;63;54;46;43;49;70;61;38;42;45;63;55;61;61;54
12;49;52;47;44;66;68;69;56;63;65;57;61;62;54;51;56;62;46;61;52;55;63;56;62;54;55;46;37;66;60;63;44;54;53;43;61;45;67;62;53;50;56;54;49;57;64;69;61;48;45;54;51;61;62;65;62;60;49;59;47;67;69;49;44;60;48;49;59;44;61;57;65;69;51;78;68;61;49;46;66;54;50;47;50;71;63;40;43;45;67;58;64;64;55
13;59;64;56;54;77;79;81;64;71;75;70;76;69;66;65;64;68;54;77;63;61;71;63;75;66;63;55;42;80;69;83;52;69;64;48;76;52;78;73;63;58;78;68;58;63;74;78;73;57;56;63;62;68;75;75;73;65;61;71;58;81;80;55;52;77;55;66;73;60;72;66;77;78;62;88;81;71;59;58;81;60;63;59;56;79;83;48;52;52;77;75;73;73;69
14;60;64;57;54;79;79;82;64;72;75;70;77;69;66;66;66;68;56;77;63;61;73;64;76;67;64;55;45;80;69;85;54;70;64;48;78;52;81;74;66;58;78;68;59;64;74;78;75;57;58;64;62;68;75;78;74;66;64;74;58;81;80;56;52;78;55;66;73;60;72;66;79;79;63;89;83;71;59;59;81;61;65;60;56;82;83;48;53;53;78;76;73;73;69
15;63;66;58;55;80;79;82;64;74;75;70;77;69;66;66;66;68;56;78;63;62;74;64;76;67;64;57;47;81;69;85;54;70;65;48;78;52;81;75;68;59;80;68;60;65;76;78;75;61;59;64;62;70;77;79;75;69;64;74;58;81;81;56;55;81;55;67;73;62;73;68;81;79;63;90;84;72;61;60;81;62;66;61;57;83;83;48;53;53;79;76;74;73;69
16;66;67;58;57;83;81;86;67;76;78;70;78;70;67;68;67;68;56;81;66;63;75;65;77;70;65;57;49;81;70;85;57;71;68;50;80;53;81;76;69;61;83;70;60;67;77;80;79;64;62;64;63;74;77;79;75;70;65;75;58;83;82;59;56;82;55;69;75;64;74;70;82;79;65;91;85;74;63;60;83;65;69;62;58;84;85;49;54;53;79;76;74;74;69
17;66;68;58;57;85;81;86;67;76;79;70;78;71;68;70;69;70;57;81;66;64;76;65;78;70;67;57;50;83;72;86;58;71;70;52;80;53;82;77;69;61;84;71;60;68;77;80;80;66;62;64;64;74;78;82;75;70;67;76;58;83;82;59;56;82;56;71;76;65;75;70;82;81;65;92;85;74;63;61;84;65;70;63;58;88;87;51;55;53;80;77;74;75;69
18;66;70;59;58;86;82;87;69;76;80;71;78;71;69;71;70;71;59;82;66;65;76;65;78;71;68;58;51;83;73;86;60;71;71;53;81;55;82;78;69;62;84;72;60;68;81;80;81;67;63;65;66;76;80;83;76;70;67;77;59;84;83;60;56;84;56;72;78;65;76;70;82;82;66;94;85;75;63;61;84;65;72;63;59;88;87;51;55;54;80;78;75;75;70
19;69;75;65;64;89;85;93;73;79;84;73;78;78;72;75;73;76;66;83;69;70;78;70;83;73;70;65;56;87;78;90;62;75;74;57;85;56;85;80;73;64;89;73;61;71;84;86;84;71;69;67;68;81;83;86;80;73;69;78;62;87;88;61;59;90;59;76;80;67;82;74;88;86;68;96;89;80;66;65;88;70;73;67;64;88;95;54;58;58;85;82;80;82;73
20;70;76;66;65;92;85;97;75;80;84;73;80;79;73;75;74;77;67;84;69;71;79;71;84;75;70;65;58;88;80;90;65;76;76;57;86;56;86;81;74;66;92;76;61;73;84;86;85;72;69;68;68;82;84;87;80;74;70;79;63;89;88;62;62;91;59;77;81;68;85;74;88;87;70;97;92;81;68;66;89;70;74;70;66;90;97;56;59;58;85;84;82;85;74
21;70;76;67;65;92;85;98;75;80;84;74;81;79;73;75;74;77;67;86;70;71;79;71;84;75;73;65;58;88;80;90;65;76;76;58;86;57;87;82;74;66;92;76;61;73;85;87;85;72;69;69;68;82;84;87;80;74;70;79;64;90;88;62;63;91;59;78;81;69;86;75;89;87;71;97;92;81;68;66;89;71;74;70;67;90;97;56;59;59;85;84;82;85;75
22;41;38;34;39;50;46;56;49;46;56;44;46;45;41;43;42;50;37;52;42;44;51;39;47;40;47;39;34;51;47;46;38;43;47;37;50;37;49;52;43;39;57;43;38;46;49;47;48;43;39;38;41;48;49;50;44;45;40;48;38;53;50;38;39;49;36;49;41;42;48;43;54;48;41;55;50;47;36;36;52;46;41;42;41;57;51;36;35;36;55;46;54;49;40
23;1;2;2;1;2;1;2;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;2;2;1;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;3;1;2;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;2;1;3;1;1
