distance;frequency
54.38444977016625;1200
78.17948771640611;200
118.76968968051581;7100
155.57856093160635;4400
164.77502092610814;300
226.29738967318727;800
236.78098182743886;3000
242.80968349538472;8600
259.68113294454025;1500
264.6372626882736;2000
274.10993288050344;200
285.86782904377156;3100
286.0373895896952;12700
286.3972317200989;2600
297.10795071559056;2700
307.0665645662336;3600
317.0650092675266;10000
320.5582298766957;2900
333.2966409562368;1500
342.5665074640956;1500
356.52843582604424;3100
357.24013083207495;1700
358.68820607875296;4100
360.1502854199132;1500
367.88922342652154;500
383.58902923441417;2100
387.2570869551532;200
387.9505710125113;2400
392.66527278834116;8400
394.2682916829174;1500
408.2924255753875;1000
414.01179866799094;2800
414.5560361211717;1700
435.83928628924934;700
447.35057715468054;6700
473.616145701286;3500
477.6389299597963;1200
481.64358932627607;4600
490.7771528455276;2100
494.4284729133704;6000
496.3383005972912;6400
498.0491627841928;200
510.3384966038188;2500
521.7077744444127;3700
534.0516985703906;1600
535.8431299981296;1200
537.3724781438957;3700
539.2952646488975;1300
540.7903425914983;1600
547.8570806514699;5900
548.8722118231051;800
553.2860795653775;1400
560.508542286025;7400
565.317650934867;2000
565.719730811165;8100
566.5707034972751;1100
573.4382189550472;5600
576.8156637049826;2200
580.056317836532;9400
586.9069951823255;2100
590.6076702538161;1100
594.6777355436724;300
597.6720365884369;2100
600.6261788815568;1200
613.4133333489757;3200
617.0027599377388;1300
631.1481632201825;2500
645.1554882592332;5400
655.485109064238;4700
664.1094519501844;200
676.9832457998143;300
685.8786576597472;200
686.02483611632;3800
691.1535265898922;2300
700.4773058815118;2700
709.3471119276358;6200
717.4216033822665;1600
727.5968450792659;900
727.9496631008311;500
734.5686478984763;1700
748.2157927249881;600
756.7703781106056;3100
757.2835284781054;2100
777.252590669379;5000
780.3049346758851;4600
783.8250246515368;1500
801.6939206136202;500
805.3077896363426;400
838.7095894961005;500
839.0742950944151;3800
841.3390196029674;8900
845.3288665669049;1000
854.0422972283627;2100
854.6515163581628;3800
876.3591208711124;1900
877.6089419763101;17000
880.1648148215157;4500
885.3596195200489;2300
886.9101751748909;2200
894.634884380218;4200
919.1125589870928;2100
919.4353015458465;1200
931.2299420238927;1500
935.8422879501527;3900
936.2379483620731;3400
937.5606122640584;4100
939.1380114010651;2700
942.8175649909793;3800
942.9032048210036;1500
948.7157683795443;200
964.3536362336916;1000
968.1872455483287;6200
971.6322760513949;100
974.7192725573012;1600
985.754446400542;100
992.550693583471;2900
996.4284368966516;900
997.2079288187208;400
999.5818009174878;7700
1002.1552305448788;800
1003.3259751844001;500
1006.7949579531717;2000
1009.763179385489;400
1011.2719534300422;100
1021.7296390149786;1000
1025.0500281577092;300
1025.2171969094857;700
1027.6402132343746;10100
1035.493255670216;1100
1035.7973689969292;800
1036.4874808047648;9100
1038.4879497472753;100
1040.4446514647552;1100
1042.273590271282;2700
1043.0855714473946;2200
1046.6288694827683;800
1048.9857128477822;300
1052.915573068624;2600
1058.8343494821956;900
1059.5725594797814;1700
1073.6603347711955;1200
1073.7386454030259;300
1076.8734011227784;1700
1078.103258460607;1600
1080.9025864983423;2400
1083.8029910769012;1300
1085.2994954956982;900
1090.171744768749;100
1090.8659297318468;1100
1092.8281003758773;100
1096.613702507772;200
1098.8388908207319;1200
1098.861470726608;100
1105.9649889613033;2800
1106.9929784874166;900
1109.257864657833;800
1110.4942878476359;900
1111.125352381068;1900
1113.5664120888039;900
1115.3802146008377;500
1121.2220425056214;1400
1124.3583128906655;100
1131.3605366512404;500
1131.436997551772;100
1132.0607822742672;3800
1146.3825927017083;3200
1149.2657449295714;1800
1153.5027364645562;500
1158.2409721437791;1200
1160.8614694850917;600
1161.2202843529858;800
1167.2376575268443;400
1167.935589362736;1000
1175.02560036969;1500
1175.189481897498;800
1184.0412464970468;1200
1184.9707931255034;200
1185.2342249454312;900
1187.4605788190427;800
1187.6234167519842;100
1188.0910787834662;600
1198.8695261303792;600
1199.1339987135932;1000
1199.4760553977824;400
1205.9839911408942;500
1206.4177404841585;200
1207.0914684066781;200
1208.4440825131455;100
1209.3291938007658;1300
1211.7029007274461;200
1215.1999197376417;4700
1219.7103106043562;200
1222.9712489040776;1000
1225.4763416536032;500
1225.598950982153;500
1240.5729222734892;1100
1240.9838748654438;2200
1244.945699217032;1100
1245.4250699382062;300
1253.5832044845852;700
1255.1928416641636;1000
1256.6966092755033;500
1258.7115954582596;5400
1262.8124382324486;100
1273.803023393686;100
1277.4090337541127;1700
1284.5437915821888;200
1288.0659042792297;3300
1289.2564463325712;400
1293.0461691820328;1000
1295.0423918361637;400
1295.483920979287;1200
1302.9339586307547;400
1319.5571358558918;200
1321.3519528435968;300
1326.3708495718538;3500
1327.6188582065997;200
1328.7510631213945;300
1328.8414631678886;3800
1338.299200410484;1000
1341.4676760954355;9000
1345.098742232193;1100
1347.1111838428697;400
1347.540086759944;3700
1354.3934744077023;4300
1354.62744080085;1200
1357.7214132649274;300
1358.0549426117407;700
1366.5439531325942;300
1370.994832713303;1200
1372.9953829895146;300
1374.0428287784187;1000
1379.459901269569;2100
1381.8447692690404;400
1387.4543642477495;1700
1391.3323360974541;1500
1392.9176267433068;100
1393.7853047781762;1200
1395.7954799996755;1200
1403.5619138960917;1100
1403.9382493353623;1500
1409.940961129536;500
1411.5420298085905;600
1415.181899853842;2800
1415.88172971363;100
1417.149373296612;14500
1424.2650528676952;3200
1428.453492515538;700
1436.012883395151;1800
1439.1738295482087;600
1439.3547034807684;3300
1447.027099325165;1000
1451.9017870635575;500
1462.1126207867292;200
1467.2226282562792;800
1468.582767293852;3200
1475.2281765399725;100
1476.7696463307411;400
1487.8427020319682;600
1488.470129900266;600
1489.807328271223;200
1490.5404701683015;600
1499.0206743918948;1400
1499.328295196902;2000
1503.6995968732901;100
1505.3088585453477;4700
1506.7064620994477;200
1507.5388961884044;500
1509.8791110156365;300
1513.3210983520376;900
1513.4572710022605;300
1515.1600783846422;2100
1518.2931205417678;500
1518.57876697047;400
1527.99042539314;1700
1531.4316151531357;100
1533.5600648055663;700
1543.5395268388922;1100
1547.1064288387574;600
1548.0991278842048;500
1551.5211341817972;200
1556.4064243187956;4300
1559.3473410961794;500
1559.4994995042382;600
1559.7444871106657;900
1562.9210245244747;1800
1567.2076990624698;500
1569.7548307905627;300
1573.1703169047414;1200
1577.492845869955;400
1578.174722389558;400
1578.6396922280146;300
1580.0259500078732;1800
1580.656367506081;300
1581.8946733918444;400
1583.386709697445;100
1585.0965905066043;3300
1593.8847760060844;300
1594.1823827398744;200
1596.3497754946009;3400
1598.229916980275;200
1602.1062200840893;200
1605.3700585647587;300
1605.8170817312248;200
1606.0071732269087;500
1611.4964936584506;100
1611.8746330702502;400
1613.426672904868;2600
1620.3185315737685;4400
1627.1794376250425;100
1630.2072912948818;4100
1632.8137273572288;700
1639.13333999092;200
1646.385242679365;2500
1649.6851635684056;100
1656.2781019213992;500
1658.347445829654;100
1660.4743163483051;1300
1662.266109523545;700
1664.359359898658;700
1667.7490651122368;600
1667.786938138988;300
1668.1230908594157;200
1669.473037946796;500
1672.3964069676613;900
1673.1227276260759;200
1674.4393279058604;600
1674.7116102361085;900
1676.2260182249827;1100
1677.0108046720877;800
1677.8295250098954;200
1678.076856789761;600
1681.6007529664867;400
1688.645116843923;100
1689.838627048371;1200
1691.8509234711707;600
1692.996881828868;300
1693.5275317614442;500
1695.1143860937818;200
1696.7159884708058;1300
1697.5220442179032;700
1712.5177293932834;100
1714.0286915506938;500
1714.358741506554;200
1714.7125754716187;1400
1719.03377656151;500
1719.2258860875634;200
1727.0334966944797;900
1727.7912205791629;700
1732.7438264849459;600
1737.031217678265;400
1738.0534258548191;800
1738.8017015456244;800
1740.066999670844;300
1741.7639152682716;400
1751.8089287889718;200
1752.3330855832664;400
1755.4487432125204;400
1758.7739564676556;500
1761.6054999483179;700
1763.3741624722452;700
1764.393310643259;300
1769.730195594789;500
1769.870234764282;200
1770.3509341250087;600
1773.3222666221204;700
1774.9373418506095;500
1778.4511736118598;800
1781.5450560876375;200
1782.4535568250733;100
1784.8682619752885;300
1787.1184025577843;1200
1787.6812850888305;400
1789.0364445515481;400
1789.0455010656353;1400
1792.573940366201;300
1801.0179302891895;200
1803.6372330256288;4500
1804.435324292362;400
1809.6179965571664;300
1809.724393852803;1200
1811.4955109137848;300
1821.009235460765;1400
1825.5553075558628;300
1829.825946476677;300
1841.1933238924023;500
1843.4385266001343;300
1844.5299419006099;200
1849.6854345565423;500
1849.9821481956728;700
1852.5455044539738;800
1854.2214042281246;4200
1856.9045760738973;500
1862.7449294534474;500
1864.9673704882455;400
1874.3005561753262;800
1882.2586632940279;500
1890.7312117916788;100
1891.6869661365677;700
1898.1045282356804;2800
1901.27037515593;200
1903.4397474719551;2500
1903.732656028972;100
1904.2161383135374;500
1908.243111504528;2300
1910.0421780043907;200
1913.6024211853173;400
1920.2456255930313;600
1921.7050184562745;1100
1925.2335354383447;1000
1930.444788263838;200
1930.7910172081663;11900
1931.4554011540397;100
1937.00886630127;4300
1941.0560299402757;100
1942.7898815570245;200
1944.6828741256988;100
1944.8197015116846;700
1950.4512324232123;500
1953.3425939454585;600
1953.3651868267875;100
1954.006313947336;800
1958.996740223298;1400
1959.3795019622714;400
1960.9724712582322;400
1962.788426903554;100
1968.9553349010343;300
1969.440691196347;4000
1972.2889475118536;200
1972.4170465891675;400
1979.1618467946998;200
1983.9345855046458;400
1989.895567434022;400
1990.295867036838;3200
1998.1399270930444;600
1998.7758095618624;200
2002.5962475211809;2400
2003.9207986703536;1900
2005.0046470697755;1200
2005.4748815141093;500
2005.7628753169233;500
2006.876931350584;200
2009.83954464827;100
2016.7616920378523;1400
2018.0044595236368;500
2018.326330116567;200
2018.5952891343018;200
2020.2064668806618;100
2021.022763480782;100
2025.194710570161;200
2029.0404180917353;300
2030.6239964423019;300
2031.398558168061;800
2031.645120737291;600
2033.2404615843832;200
2033.5258184660709;600
2033.5288550080152;1700
2034.2536177548147;300
2037.484805374774;300
2038.9678721156076;1000
2039.2606196491452;1200
2043.4194090810017;100
2044.2935564219647;300
2050.962268136054;300
2052.4458022303693;300
2052.761498612648;200
2053.0984010517295;400
2054.542914286013;700
2056.8885120275963;200
2057.575979788405;300
2059.1615874268746;200
2059.2569758225986;700
2060.491608360175;4900
2060.570844502286;100
2064.0880272640097;300
2069.2222359564157;100
2073.41720250579;400
2079.3479232607115;700
2079.678586398236;1200
2082.821156048009;200
2087.960380955207;100
2098.124741360396;1000
2106.551256771006;500
2108.779556775803;1000
2110.081091628361;500
2111.573080344779;1300
2114.124495265902;100
2115.641988753309;300
2118.2964914491777;700
2119.027545031615;1700
2130.424880250975;300
2131.5109909928055;500
2137.777206315819;2400
2143.7228032731928;1000
2143.8774782974;100
2144.356098505247;200
2147.353895496104;100
2147.522943204451;100
2151.2068719552294;1300
2152.689208599512;900
2156.7027246785938;1700
2157.527641208074;600
2158.030794882379;1700
2160.390242611847;200
2161.865015698023;1400
2166.158948462481;600
2168.2313222079492;1300
2169.4013882877434;400
2174.953995833082;100
