;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;Aberta dos Morros;Aberta dos Morros;1300;0;734;222;0;1300
1;Aberta dos Morros;Agronomia;150;0;85;28;0;150
2;Aberta dos Morros;Anchieta;50;0;31;3;0;50
3;Aberta dos Morros;Arquipélago;50;0;28;9;0;50
4;Aberta dos Morros;Auxiliadora;50;0;19;11;0;50
5;Aberta dos Morros;Azenha;150;0;74;33;0;150
6;Aberta dos Morros;Bela Vista;50;0;29;11;0;50
7;Aberta dos Morros;Belém Novo;400;0;232;78;0;400
8;Aberta dos Morros;Belém Velho;400;0;227;50;0;400
9;Aberta dos Morros;Boa Vista;0;0;0;0;0;0
10;Aberta dos Morros;Boa Vista do Sul;50;0;31;8;0;50
11;Aberta dos Morros;Bom Fim;50;0;24;14;0;50
12;Aberta dos Morros;Bom Jesus;0;0;0;0;0;0
13;Aberta dos Morros;Camaquã;100;0;59;18;0;100
14;Aberta dos Morros;Campo Novo;500;0;279;92;0;500
15;Aberta dos Morros;Cascata;50;0;32;7;0;50
16;Aberta dos Morros;Cavalhada;350;0;190;70;0;350
17;Aberta dos Morros;Cel. Aparício Borges;100;0;46;23;0;100
18;Aberta dos Morros;Centro Histórico;0;0;0;0;0;0
19;Aberta dos Morros;Chapéu do Sol;50;0;28;7;0;50
20;Aberta dos Morros;Chácara das Pedras;0;0;0;0;0;0
21;Aberta dos Morros;Cidade Baixa;0;0;0;0;0;0
22;Aberta dos Morros;Costa e Silva;0;0;0;0;0;0
23;Aberta dos Morros;Cristal;150;0;85;22;0;150
24;Aberta dos Morros;Cristo Redentor;0;0;0;0;0;0
25;Aberta dos Morros;Espírito Santo;250;0;142;48;0;250
26;Aberta dos Morros;Extrema;0;0;0;0;0;0
27;Aberta dos Morros;Farrapos;50;0;28;7;0;50
28;Aberta dos Morros;Farroupilha;0;0;0;0;0;0
29;Aberta dos Morros;Floresta;0;0;0;0;0;0
30;Aberta dos Morros;Glória;50;0;28;13;0;50
31;Aberta dos Morros;Guarujá;250;0;148;37;0;250
