;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;0;Aberta dos Morros;Aberta dos Morros;2600;0;1480;420;0;2600
1;0;Aberta dos Morros;Agronomia;0;0;0;0;0;0
2;0;Aberta dos Morros;Anchieta;0;0;0;0;0;0
3;0;Aberta dos Morros;Arquipélago;0;0;0;0;0;0
4;0;Aberta dos Morros;Auxiliadora;100;0;64;17;0;100
5;0;Aberta dos Morros;Azenha;100;0;57;23;0;100
6;0;Aberta dos Morros;Bela Vista;0;0;0;0;0;0
7;0;Aberta dos Morros;Belém Novo;150;0;95;15;0;150
8;0;Aberta dos Morros;Belém Velho;450;0;249;72;0;450
9;0;Aberta dos Morros;Boa Vista;0;0;0;0;0;0
10;0;Aberta dos Morros;Boa Vista do Sul;0;0;0;0;0;0
11;0;Aberta dos Morros;Bom Fim;50;0;33;5;0;50
12;0;Aberta dos Morros;Bom Jesus;50;0;23;10;0;50
13;0;Aberta dos Morros;Camaquã;100;0;52;23;0;100
14;0;Aberta dos Morros;Campo Novo;1850;0;1078;296;0;1850
15;0;Aberta dos Morros;Cascata;0;0;0;0;0;0
16;0;Aberta dos Morros;Cavalhada;400;0;225;73;0;400
17;0;Aberta dos Morros;Cel. Aparício Borges;50;0;36;4;0;50
18;0;Aberta dos Morros;Centro Histórico;50;0;19;14;0;50
19;0;Aberta dos Morros;Chapéu do Sol;150;0;90;20;0;150
20;0;Aberta dos Morros;Chácara das Pedras;50;0;22;15;0;50
21;0;Aberta dos Morros;Cidade Baixa;0;0;0;0;0;0
22;0;Aberta dos Morros;Costa e Silva;50;0;29;9;0;50
23;0;Aberta dos Morros;Cristal;50;0;31;8;0;50
24;0;Aberta dos Morros;Cristo Redentor;50;0;26;10;0;50
25;0;Aberta dos Morros;Espírito Santo;250;0;140;52;0;250
26;0;Aberta dos Morros;Extrema;0;0;0;0;0;0
27;0;Aberta dos Morros;Farrapos;0;0;0;0;0;0
28;0;Aberta dos Morros;Farroupilha;50;0;26;13;0;50
29;0;Aberta dos Morros;Floresta;0;0;0;0;0;0
30;0;Aberta dos Morros;Glória;0;0;0;0;0;0
31;0;Aberta dos Morros;Guarujá;350;0;197;60;0;350
32;0;Aberta dos Morros;Higienópolis;50;0;35;4;0;50
33;0;Aberta dos Morros;Humaitá;100;0;58;16;0;100
34;0;Aberta dos Morros;Hípica;850;0;519;127;0;850
35;0;Aberta dos Morros;Independência;0;0;0;0;0;0
36;0;Aberta dos Morros;Ipanema;400;0;223;69;0;400
37;0;Aberta dos Morros;Jardim Botânico;50;0;32;8;0;50
38;0;Aberta dos Morros;Jardim Carvalho;0;0;0;0;0;0
39;0;Aberta dos Morros;Jardim Europa;0;0;0;0;0;0
40;0;Aberta dos Morros;Jardim Floresta;0;0;0;0;0;0
41;0;Aberta dos Morros;Jardim Isabel;50;0;30;12;0;50
42;0;Aberta dos Morros;Jardim Itú;0;0;0;0;0;0
43;0;Aberta dos Morros;Jardim Leopoldina;50;0;31;7;0;50
44;0;Aberta dos Morros;Jardim Lindóia;0;0;0;0;0;0
45;0;Aberta dos Morros;Jardim Sabará;0;0;0;0;0;0
46;0;Aberta dos Morros;Jardim São Pedro;50;0;35;5;0;50
47;0;Aberta dos Morros;Jardim do Salso;50;0;30;5;0;50
48;0;Aberta dos Morros;Lageado;0;0;0;0;0;0
49;0;Aberta dos Morros;Lami;0;0;0;0;0;0
50;0;Aberta dos Morros;Lomba do Pinheiro;50;0;29;7;0;50
51;0;Aberta dos Morros;Medianeira;0;0;0;0;0;0
52;0;Aberta dos Morros;Menino Deus;100;0;53;23;0;100
53;0;Aberta dos Morros;Moinhos de Vento;0;0;0;0;0;0
54;0;Aberta dos Morros;Mont'Serrat;100;0;58;17;0;100
55;0;Aberta dos Morros;Morro Santana;100;0;42;26;0;100
56;0;Aberta dos Morros;Mário Quintana;50;0;28;3;0;50
57;0;Aberta dos Morros;Navegantes;0;0;0;0;0;0
58;0;Aberta dos Morros;Nonoai;0;0;0;0;0;0
59;0;Aberta dos Morros;Parque Santa Fé;0;0;0;0;0;0
60;0;Aberta dos Morros;Partenon;100;0;44;24;0;100
61;0;Aberta dos Morros;Passo D'Areia;50;0;19;18;0;50
62;0;Aberta dos Morros;Passo das Pedras;0;0;0;0;0;0
63;0;Aberta dos Morros;Pedra Redonda;100;0;63;10;0;100
64;0;Aberta dos Morros;Petrópolis;50;0;25;14;0;50
65;0;Aberta dos Morros;Pitinga;0;0;0;0;0;0
66;0;Aberta dos Morros;Ponta Grossa;400;0;238;74;0;400
67;0;Aberta dos Morros;Praia de Belas;0;0;0;0;0;0
68;0;Aberta dos Morros;Restinga;1150;0;645;158;0;1150
69;0;Aberta dos Morros;Rio Branco;0;0;0;0;0;0
70;0;Aberta dos Morros;Rubem Berta;50;0;23;22;0;50
71;0;Aberta dos Morros;Santa Cecília;100;0;57;19;0;100
72;0;Aberta dos Morros;Santa Maria Goretti;50;0;28;1;0;50
73;0;Aberta dos Morros;Santa Rosa de Lima;200;0;116;35;0;200
74;0;Aberta dos Morros;Santa Tereza;50;0;29;8;0;50
75;0;Aberta dos Morros;Santana;0;0;0;0;0;0
76;0;Aberta dos Morros;Santo Antônio;50;0;24;14;0;50
