Frame;Hour;Day;Node;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Centro Histórico//home_17;39154;39154;0;0;0;0
0;0;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
0;0;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
0;0;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
0;0;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
0;0;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
1;1;0;Centro Histórico//home_17;39154;39154;0;0;0;0
1;1;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
1;1;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
1;1;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
1;1;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
1;1;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
2;2;0;Centro Histórico//home_17;39154;39154;0;0;0;0
2;2;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
2;2;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
2;2;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
2;2;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
2;2;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
3;3;0;Centro Histórico//home_17;39154;39154;0;0;0;0
3;3;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
3;3;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
3;3;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
3;3;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
3;3;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
4;4;0;Centro Histórico//home_17;39154;39154;0;0;0;0
4;4;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
4;4;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
4;4;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
4;4;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
4;4;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
5;5;0;Centro Histórico//home_17;39154;39154;0;0;0;0
5;5;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
5;5;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
5;5;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
5;5;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
5;5;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
6;6;0;Centro Histórico//home_17;39154;39154;0;0;0;0
6;6;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
6;6;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
6;6;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
6;6;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
6;6;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
7;7;0;Centro Histórico//home_17;39154;39154;0;0;0;0
7;7;0;Centro Histórico//marketplace_17;0;0;0;0;0;0
7;7;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
7;7;0;Cidade Baixa//home_20;15379;15379;0;0;0;0
7;7;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
7;7;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
8;8;0;Centro Histórico//home_17;39154;39154;0;0;0;0
8;8;0;Centro Histórico//marketplace_17;36;36;0;36;36;0
8;8;0;Centro Histórico//pharmacy_17;0;0;0;0;0;0
8;8;0;Cidade Baixa//home_20;15343;15343;0;-36;-36;0
8;8;0;Cidade Baixa//marketplace_20;0;0;0;0;0;0
8;8;0;Cidade Baixa//pharmacy_20;0;0;0;0;0;0
9;9;0;Centro Histórico//home_17;39092;39092;0;-62;-62;0
9;9;0;Centro Histórico//marketplace_17;0;0;0;-36;-36;0
9;9;0;Centro Histórico//pharmacy_17;62;62;0;62;62;0
