Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Centro Histórico;3009;3009;0;0;0;0
0;0;0;Cidade Baixa;1824;1824;0;0;0;0
1;1;0;Centro Histórico;3009;3009;0;0;0;0
1;1;0;Cidade Baixa;1824;1824;0;0;0;0
2;2;0;Centro Histórico;3009;3009;0;0;0;0
2;2;0;Cidade Baixa;1824;1824;0;0;0;0
3;3;0;Centro Histórico;3009;3009;0;0;0;0
3;3;0;Cidade Baixa;1824;1824;0;0;0;0
4;4;0;Centro Histórico;3009;3009;0;0;0;0
4;4;0;Cidade Baixa;1824;1824;0;0;0;0
5;5;0;Centro Histórico;3009;3009;0;0;0;0
5;5;0;Cidade Baixa;1824;1824;0;0;0;0
6;6;0;Centro Histórico;3009;3009;0;0;0;0
6;6;0;Cidade Baixa;1824;1824;0;0;0;0
7;7;0;Centro Histórico;3009;3009;0;0;0;0
7;7;0;Cidade Baixa;1824;1824;0;0;0;0
8;8;0;Centro Histórico;3259;3259;0;250;250;0
8;8;0;Cidade Baixa;1574;1574;0;-250;-250;0
9;9;0;Centro Histórico;3259;3259;0;0;0;0
9;9;0;Cidade Baixa;1574;1574;0;0;0;0
10;10;0;Centro Histórico;3259;3259;0;0;0;0
10;10;0;Cidade Baixa;1574;1574;0;0;0;0
11;11;0;Centro Histórico;3259;3259;0;0;0;0
11;11;0;Cidade Baixa;1574;1574;0;0;0;0
12;12;0;Centro Histórico;3259;3259;0;0;0;0
12;12;0;Cidade Baixa;1574;1574;0;0;0;0
13;13;0;Centro Histórico;3259;3259;0;0;0;0
13;13;0;Cidade Baixa;1574;1574;0;0;0;0
14;14;0;Centro Histórico;3259;3259;0;0;0;0
14;14;0;Cidade Baixa;1574;1574;0;0;0;0
15;15;0;Centro Histórico;3259;3259;0;0;0;0
15;15;0;Cidade Baixa;1574;1574;0;0;0;0
16;16;0;Centro Histórico;3259;3259;0;0;0;0
16;16;0;Cidade Baixa;1574;1574;0;0;0;0
17;17;0;Centro Histórico;3259;3259;0;0;0;0
17;17;0;Cidade Baixa;1574;1574;0;0;0;0
18;18;0;Centro Histórico;3259;3259;0;0;0;0
18;18;0;Cidade Baixa;1574;1574;0;0;0;0
19;19;0;Centro Histórico;3259;3259;0;0;0;0
19;19;0;Cidade Baixa;1574;1574;0;0;0;0
20;20;0;Centro Histórico;3259;3259;0;0;0;0
20;20;0;Cidade Baixa;1574;1574;0;0;0;0
21;21;0;Centro Histórico;3259;3259;0;0;0;0
21;21;0;Cidade Baixa;1574;1574;0;0;0;0
22;22;0;Centro Histórico;3259;3259;0;0;0;0
22;22;0;Cidade Baixa;1574;1574;0;0;0;0
23;23;0;Centro Histórico;3259;3259;0;0;0;0
23;23;0;Cidade Baixa;1574;1574;0;0;0;0
