Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;3;5;3;4;5;3;4;3;4;3;4;4;4
1;4;5;14;4;5;3;4;7;4;3;4;4;5
2;4;5;14;4;5;3;4;10;4;3;7;4;7
3;4;5;14;4;5;3;4;10;4;3;7;4;7
4;6;5;14;4;5;3;4;12;5;3;7;4;7
5;6;5;14;8;5;5;4;12;5;3;8;4;9
6;6;5;14;8;5;5;4;12;5;3;8;4;9
7;8;5;14;10;5;5;4;12;6;3;9;4;9
8;12;11;14;13;5;10;7;14;8;3;12;4;14
9;12;11;14;13;5;10;8;14;11;3;13;4;14
10;12;11;14;14;5;10;8;14;12;3;14;4;14
11;12;11;14;14;5;10;8;14;12;3;14;4;14
12;12;12;14;14;5;10;8;14;12;3;14;4;14
13;14;12;14;14;5;10;10;14;12;3;14;6;14
14;14;12;14;14;5;13;10;14;12;3;14;6;14
15;14;14;14;14;5;14;12;14;14;3;14;8;14
16;14;14;14;14;5;14;14;14;14;3;14;11;14
17;14;14;14;14;5;14;14;14;14;3;14;11;14
18;14;14;14;14;5;14;14;14;14;3;14;11;14
19;14;14;14;14;5;14;14;14;14;3;14;11;14
20;14;14;14;14;5;14;14;14;14;3;14;11;14
21;14;14;14;14;5;14;14;14;14;3;14;11;14
22;14;14;14;14;5;14;14;14;14;3;14;11;14
23;1;1;1;1;1;1;1;1;1;1;1;1;1
