Frame;Hour;Date;NHnode;NHLat;NHLong;InnerNHnode;InnerLat;InnerLong;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;Total;Locals;Outsiders;
0;0;0;Aberta dos Morros;-51.1975768802765;-30.1564777842068;home;-51.20222358550465;-30.15796954077843;7146;0;0;0;7146;0;0;0;7146;7146;0;
0;0;0;Aberta dos Morros;-51.1975768802765;-30.1564777842068;work;-51.20227775801747;-30.155977143759088;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Aberta dos Morros;-51.1975768802765;-30.1564777842068;school;-51.1948275105212;-30.156877456830955;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Aberta dos Morros;-51.1975768802765;-30.1564777842068;marketplace;-51.20048364217278;-30.156708716370648;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Aberta dos Morros;-51.1975768802765;-30.1564777842068;pharmacy;-51.202799102179114;-30.157506765058987;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Aberta dos Morros;-51.1975768802765;-30.1564777842068;gas_station;-51.202856351684964;-30.15540670122667;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Agronomia;-51.1251443431221;-30.0765791683866;home;-51.124787445993434;-30.074601760030117;2331;0;0;0;2331;0;0;0;2331;2331;0;
0;0;0;Agronomia;-51.1251443431221;-30.0765791683866;work;-51.12676502473737;-30.080302796001146;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Agronomia;-51.1251443431221;-30.0765791683866;school;-51.12700935180052;-30.07828799998065;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Agronomia;-51.1251443431221;-30.0765791683866;marketplace;-51.12876523414268;-30.07694803793387;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Agronomia;-51.1251443431221;-30.0765791683866;pharmacy;-51.1273929104679;-30.074433823390912;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Agronomia;-51.1251443431221;-30.0765791683866;gas_station;-51.12587532072965;-30.071794347731043;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Anchieta;-51.1710672994942;-29.9876687647294;home;-51.178095259579294;-29.98699519325029;2024;0;0;0;2024;0;0;0;2024;2024;0;
0;0;0;Anchieta;-51.1710672994942;-29.9876687647294;work;-51.166346813872856;-29.989720674925717;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Anchieta;-51.1710672994942;-29.9876687647294;school;-51.16773226644416;-29.99067558737208;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Anchieta;-51.1710672994942;-29.9876687647294;marketplace;-51.16645864381792;-29.984979719450436;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Anchieta;-51.1710672994942;-29.9876687647294;pharmacy;-51.168422092148504;-29.989977439373835;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Anchieta;-51.1710672994942;-29.9876687647294;gas_station;-51.16736941757923;-29.98658352606333;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Arquipélago;-51.2150073288261;-29.9953102852364;home;-51.21283369643124;-29.99947842290888;8330;0;0;0;8330;0;0;0;8330;8330;0;
0;0;0;Arquipélago;-51.2150073288261;-29.9953102852364;work;-51.21747499389349;-29.995295186899153;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Arquipélago;-51.2150073288261;-29.9953102852364;school;-51.216629447367495;-30.000522433253526;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Arquipélago;-51.2150073288261;-29.9953102852364;marketplace;-51.21448840535659;-29.99131739504798;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Arquipélago;-51.2150073288261;-29.9953102852364;pharmacy;-51.218877035196535;-29.99445658349772;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Arquipélago;-51.2150073288261;-29.9953102852364;gas_station;-51.21294941771428;-29.991476798374467;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Auxiliadora;-51.1914387184847;-30.0217230293811;home;-51.190131115426986;-30.017791437554184;9683;0;0;0;9683;0;0;0;9683;9683;0;
0;0;0;Auxiliadora;-51.1914387184847;-30.0217230293811;work;-51.18872364332995;-30.021120890181116;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Auxiliadora;-51.1914387184847;-30.0217230293811;school;-51.18935820254955;-30.02399766247984;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Auxiliadora;-51.1914387184847;-30.0217230293811;marketplace;-51.190169717653305;-30.026962145176356;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Auxiliadora;-51.1914387184847;-30.0217230293811;pharmacy;-51.19103120966624;-30.024166733978664;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Auxiliadora;-51.1914387184847;-30.0217230293811;gas_station;-51.1898239927864;-30.023549781374122;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;home;-51.21651502392012;-30.049979704285192;13804;0;0;0;13804;0;0;0;13804;13804;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;work;-51.2133288165572;-30.055422465151622;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;school;-51.21620480125839;-30.053431959898088;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;marketplace;-51.21261452884055;-30.054205347317385;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;pharmacy;-51.2126864763065;-30.04854545775394;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;gas_station;-51.216600777692584;-30.051522587861516;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;hospital;-51.21312417609721;-30.048424806417824;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Azenha;-51.2147436812232;-30.0510199525848;shopping_mall;-51.21173770850749;-30.048639612343162;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Bela Vista;-51.1908984265664;-30.0337919612383;home;-51.18775219050527;-30.02971108002397;11787;0;0;0;11787;0;0;0;11787;11787;0;
0;0;0;Bela Vista;-51.1908984265664;-30.0337919612383;work;-51.1901422430566;-30.036070795850677;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Bela Vista;-51.1908984265664;-30.0337919612383;school;-51.19373808539656;-30.030892569270033;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Bela Vista;-51.1908984265664;-30.0337919612383;marketplace;-51.18411709032347;-30.032932287822597;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Bela Vista;-51.1908984265664;-30.0337919612383;pharmacy;-51.186088203722214;-30.03595075673709;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Bela Vista;-51.1908984265664;-30.0337919612383;gas_station;-51.187808117265995;-30.03516837313669;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Belém Novo;-51.1761378741623;-30.2086566357334;home;-51.17352131953222;-30.206171006759902;10100;0;0;0;10100;0;0;0;10100;10100;0;
0;0;0;Belém Novo;-51.1761378741623;-30.2086566357334;work;-51.17885207561989;-30.212822792955404;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Belém Novo;-51.1761378741623;-30.2086566357334;school;-51.17585834321412;-30.203027722158186;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;Belém Novo;-51.1761378741623;-30.2086566357334;marketplace;-51.16957391771716;-30.208944507041537;0;0;0;0;0;0;0;0;0;0;0;
