Frame;Hour;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;
0;0;1409350;1;0;0;1409350;1;0;0;
1;1;1409350;1;0;0;0;0;0;0;
2;2;1409350;1;0;0;0;0;0;0;
3;3;1409350;1;0;0;0;0;0;0;
4;4;1409350;1;0;0;0;0;0;0;
5;5;1409350;1;0;0;0;0;0;0;
6;6;1409350;1;0;0;0;0;0;0;
7;7;1409350;1;0;0;0;0;0;0;
8;8;1409350;1;0;0;0;0;0;0;
9;9;1409350;1;0;0;0;0;0;0;
10;10;1409350;1;0;0;0;0;0;0;
11;11;1409350;1;0;0;0;0;0;0;
12;12;1409350;1;0;0;0;0;0;0;
13;13;1409350;1;0;0;0;0;0;0;
14;14;1409350;1;0;0;0;0;0;0;
15;15;1409350;1;0;0;0;0;0;0;
16;16;1409350;1;0;0;0;0;0;0;
17;17;1409350;1;0;0;0;0;0;0;
18;18;1409350;1;0;0;0;0;0;0;
19;19;1409350;1;0;0;0;0;0;0;
20;20;1409350;1;0;0;0;0;0;0;
21;21;1409350;1;0;0;0;0;0;0;
22;22;1409350;1;0;0;0;0;0;0;
23;23;1409350;1;0;0;0;0;0;0;
24;0;1409021;1;0;329;-329;0;0;329;
25;1;1409021;1;0;329;0;0;0;0;
26;2;1409021;1;0;329;0;0;0;0;
27;3;1409021;1;0;329;0;0;0;0;
28;4;1409021;1;0;329;0;0;0;0;
29;5;1409021;1;0;329;0;0;0;0;
30;6;1409021;1;0;329;0;0;0;0;
31;7;1409021;1;0;329;0;0;0;0;
32;8;1409021;1;0;329;0;0;0;0;
33;9;1409021;1;0;329;0;0;0;0;
34;10;1409021;1;0;329;0;0;0;0;
35;11;1409021;1;0;329;0;0;0;0;
36;12;1409021;1;0;329;0;0;0;0;
37;13;1409021;1;0;329;0;0;0;0;
38;14;1409021;1;0;329;0;0;0;0;
39;15;1409021;1;0;329;0;0;0;0;
40;16;1409021;1;0;329;0;0;0;0;
41;17;1409021;1;0;329;0;0;0;0;
42;18;1409021;1;0;329;0;0;0;0;
43;19;1409021;1;0;329;0;0;0;0;
44;20;1409021;1;0;329;0;0;0;0;
45;21;1409021;1;0;329;0;0;0;0;
46;22;1409021;1;0;329;0;0;0;0;
47;23;1409021;1;0;329;0;0;0;0;
48;0;1403355;1;0;5995;-5666;0;0;5666;
49;1;1403355;1;0;5995;0;0;0;0;
50;2;1403355;1;0;5995;0;0;0;0;
51;3;1403355;1;0;5995;0;0;0;0;
52;4;1403355;1;0;5995;0;0;0;0;
53;5;1403355;1;0;5995;0;0;0;0;
54;6;1403355;1;0;5995;0;0;0;0;
55;7;1403355;1;0;5995;0;0;0;0;
56;8;1403355;1;0;5995;0;0;0;0;
57;9;1403355;1;0;5995;0;0;0;0;
58;10;1403355;1;0;5995;0;0;0;0;
59;11;1403355;1;0;5995;0;0;0;0;
60;12;1403355;1;0;5995;0;0;0;0;
61;13;1403355;1;0;5995;0;0;0;0;
62;14;1403355;1;0;5995;0;0;0;0;
63;15;1403355;1;0;5995;0;0;0;0;
64;16;1403355;1;0;5995;0;0;0;0;
65;17;1403355;1;0;5995;0;0;0;0;
66;18;1403355;1;0;5995;0;0;0;0;
67;19;1403355;1;0;5995;0;0;0;0;
68;20;1403355;1;0;5995;0;0;0;0;
69;21;1403355;1;0;5995;0;0;0;0;
70;22;1403355;1;0;5995;0;0;0;0;
71;23;1403355;1;0;5995;0;0;0;0;
72;0;1396301;1;0;13049;-7054;0;0;7054;
73;1;1396301;1;0;13049;0;0;0;0;
74;2;1396301;1;0;13049;0;0;0;0;
75;3;1396301;1;0;13049;0;0;0;0;
76;4;1396301;1;0;13049;0;0;0;0;
77;5;1396301;1;0;13049;0;0;0;0;
78;6;1396301;1;0;13049;0;0;0;0;
79;7;1396301;1;0;13049;0;0;0;0;
80;8;1396301;1;0;13049;0;0;0;0;
81;9;1396301;1;0;13049;0;0;0;0;
82;10;1396301;1;0;13049;0;0;0;0;
83;11;1396301;1;0;13049;0;0;0;0;
84;12;1396301;1;0;13049;0;0;0;0;
85;13;1396301;1;0;13049;0;0;0;0;
86;14;1396301;1;0;13049;0;0;0;0;
87;15;1396301;1;0;13049;0;0;0;0;
88;16;1396301;1;0;13049;0;0;0;0;
89;17;1396301;1;0;13049;0;0;0;0;
90;18;1396301;1;0;13049;0;0;0;0;
91;19;1396301;1;0;13049;0;0;0;0;
92;20;1396301;1;0;13049;0;0;0;0;
93;21;1396301;1;0;13049;0;0;0;0;
94;22;1396301;1;0;13049;0;0;0;0;
95;23;1396301;1;0;13049;0;0;0;0;
96;0;1390418;1;0;18932;-5883;0;0;5883;
97;1;1390418;1;0;18932;0;0;0;0;
98;2;1390418;1;0;18932;0;0;0;0;
99;3;1390418;1;0;18932;0;0;0;0;
100;4;1390418;1;0;18932;0;0;0;0;
101;5;1390418;1;0;18932;0;0;0;0;
102;6;1390418;1;0;18932;0;0;0;0;
103;7;1390418;1;0;18932;0;0;0;0;
104;8;1390418;1;0;18932;0;0;0;0;
105;9;1390418;1;0;18932;0;0;0;0;
106;10;1390418;1;0;18932;0;0;0;0;
107;11;1390418;1;0;18932;0;0;0;0;
108;12;1390418;1;0;18932;0;0;0;0;
109;13;1390418;1;0;18932;0;0;0;0;
110;14;1390418;1;0;18932;0;0;0;0;
111;15;1390418;1;0;18932;0;0;0;0;
112;16;1390418;1;0;18932;0;0;0;0;
113;17;1390418;1;0;18932;0;0;0;0;
114;18;1390418;1;0;18932;0;0;0;0;
115;19;1390418;1;0;18932;0;0;0;0;
116;20;1390418;1;0;18932;0;0;0;0;
117;21;1390418;1;0;18932;0;0;0;0;
118;22;1390418;1;0;18932;0;0;0;0;
119;23;1390418;1;0;18932;0;0;0;0;
120;0;1389087;1;0;20263;-1331;0;0;1331;
121;1;1389087;1;0;20263;0;0;0;0;
122;2;1389087;1;0;20263;0;0;0;0;
123;3;1389087;1;0;20263;0;0;0;0;
124;4;1389087;1;0;20263;0;0;0;0;
125;5;1389087;1;0;20263;0;0;0;0;
126;6;1389087;1;0;20263;0;0;0;0;
127;7;1389087;1;0;20263;0;0;0;0;
128;8;1389087;1;0;20263;0;0;0;0;
129;9;1389087;1;0;20263;0;0;0;0;
130;10;1389087;1;0;20263;0;0;0;0;
131;11;1389087;1;0;20263;0;0;0;0;
132;12;1389087;1;0;20263;0;0;0;0;
133;13;1389087;1;0;20263;0;0;0;0;
134;14;1389087;1;0;20263;0;0;0;0;
135;15;1389087;1;0;20263;0;0;0;0;
136;16;1389087;1;0;20263;0;0;0;0;
137;17;1389087;1;0;20263;0;0;0;0;
138;18;1389087;1;0;20263;0;0;0;0;
139;19;1389087;1;0;20263;0;0;0;0;
140;20;1389087;1;0;20263;0;0;0;0;
141;21;1389087;1;0;20263;0;0;0;0;
142;22;1389087;1;0;20263;0;0;0;0;
143;23;1389087;1;0;20263;0;0;0;0;
144;0;1388780;1;0;20570;-307;0;0;307;
145;1;1388780;1;0;20570;0;0;0;0;
146;2;1388780;1;0;20570;0;0;0;0;
147;3;1388780;1;0;20570;0;0;0;0;
148;4;1388780;1;0;20570;0;0;0;0;
149;5;1388780;1;0;20570;0;0;0;0;
150;6;1388780;1;0;20570;0;0;0;0;
151;7;1388780;1;0;20570;0;0;0;0;
152;8;1388780;1;0;20570;0;0;0;0;
153;9;1388780;1;0;20570;0;0;0;0;
154;10;1388780;1;0;20570;0;0;0;0;
155;11;1388780;1;0;20570;0;0;0;0;
156;12;1388780;1;0;20570;0;0;0;0;
157;13;1388780;1;0;20570;0;0;0;0;
158;14;1388780;1;0;20570;0;0;0;0;
159;15;1388780;1;0;20570;0;0;0;0;
160;16;1388780;1;0;20570;0;0;0;0;
161;17;1388780;1;0;20570;0;0;0;0;
162;18;1388780;1;0;20570;0;0;0;0;
163;19;1388780;1;0;20570;0;0;0;0;
164;20;1388780;1;0;20570;0;0;0;0;
165;21;1388780;1;0;20570;0;0;0;0;
166;22;1388780;1;0;20570;0;0;0;0;
167;23;1388780;1;0;20570;0;0;0;0;
168;0;1384670;1;0;24680;-4110;0;0;4110;
169;1;1384670;1;0;24680;0;0;0;0;
170;2;1384670;1;0;24680;0;0;0;0;
171;3;1384670;1;0;24680;0;0;0;0;
172;4;1384670;1;0;24680;0;0;0;0;
173;5;1384670;1;0;24680;0;0;0;0;
174;6;1384670;1;0;24680;0;0;0;0;
175;7;1384670;1;0;24680;0;0;0;0;
176;8;1384670;1;0;24680;0;0;0;0;
177;9;1384670;1;0;24680;0;0;0;0;
178;10;1384670;1;0;24680;0;0;0;0;
179;11;1384670;1;0;24680;0;0;0;0;
180;12;1384670;1;0;24680;0;0;0;0;
181;13;1384670;1;0;24680;0;0;0;0;
182;14;1384670;1;0;24680;0;0;0;0;
183;15;1384670;1;0;24680;0;0;0;0;
184;16;1384670;1;0;24680;0;0;0;0;
185;17;1384670;1;0;24680;0;0;0;0;
186;18;1384670;1;0;24680;0;0;0;0;
187;19;1384670;1;0;24680;0;0;0;0;
188;20;1384670;1;0;24680;0;0;0;0;
189;21;1384670;1;0;24680;0;0;0;0;
190;22;1384670;1;0;24680;0;0;0;0;
191;23;1384670;1;0;24680;0;0;0;0;
192;0;1380905;1;0;28445;-3765;0;0;3765;
193;1;1380905;1;0;28445;0;0;0;0;
194;2;1380905;1;0;28445;0;0;0;0;
195;3;1380905;1;0;28445;0;0;0;0;
196;4;1380905;1;0;28445;0;0;0;0;
197;5;1380905;1;0;28445;0;0;0;0;
198;6;1380905;1;0;28445;0;0;0;0;
199;7;1380905;1;0;28445;0;0;0;0;
