Simulation Frame;Azenha;Bom Fim;Centro Histórico;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;5;6;5;6;4;5;11;8;6;8;9;6;8
2;7;8;7;9;7;7;12;11;8;10;9;7;9
3;7;10;10;11;10;8;12;11;8;10;12;8;10
4;10;11;10;12;11;9;13;12;8;10;13;8;10
5;11;11;10;13;11;9;14;12;10;10;13;9;11
6;13;12;11;13;11;10;14;12;10;10;13;9;11
7;13;12;11;13;11;10;14;12;10;11;13;10;11
8;20;21;19;22;23;20;25;22;20;21;23;17;21
9;20;21;19;22;23;20;25;22;20;21;23;18;21
10;20;21;20;22;23;20;25;22;20;21;23;18;21
11;20;22;20;22;23;20;25;22;20;21;23;19;21
12;20;23;20;22;23;20;25;22;20;22;23;19;21
13;21;24;22;24;26;22;25;25;23;25;23;22;23
14;21;24;22;24;26;22;25;25;23;25;23;22;23
15;21;24;22;24;26;22;25;25;23;25;23;23;23
16;21;24;22;24;26;22;25;25;23;25;23;23;23
17;21;24;22;24;26;22;25;25;23;25;24;23;23
18;21;24;22;24;26;22;25;25;23;25;24;23;23
19;21;24;23;25;26;22;24;25;23;37;24;23;24
20;22;24;23;25;27;22;24;25;24;37;24;23;24
21;22;24;23;25;27;22;24;25;24;37;24;23;24
22;14;14;13;14;14;12;14;13;12;26;14;14;12
23;1;1;1;1;1;1;1;1;1;1;1;1;1
