distance;frequency
67.6711913324525;1443
100.61268014471489;2168
173.50708107965073;4591
173.683724978892;2889
274.6405321269692;2435
355.2642527445878;953
372.72770482646195;6623
377.1896440917378;3124
396.5549151110888;800
406.9791368393455;2600
419.36696702760497;8800
424.1481790893432;8433
425.83602812073553;3238
446.66255320241487;1395
456.93747891373334;764
486.78870790898765;200
513.3286535444169;100
515.6482963926376;200
516.2806873459092;1819
519.4544566918498;75
528.4456351361207;1400
560.3722830663488;295
565.4579428017496;2382
598.3788296710916;900
600.7666931598975;1200
611.5101469771598;465
621.6521379858038;77
635.4373133025302;1508
657.7787780268958;1200
659.2560954951851;1800
661.619179050625;5449
661.6480554028883;1652
678.1221504215108;388
683.1891826415969;869
685.0795479590973;131
690.4884460706776;100
692.8857854266543;1646
699.2650739435607;5300
717.59167594751;300
717.7182279413862;2563
720.2226004552429;891
764.1339331464108;581
770.2658548357507;284
780.7417340009075;467
785.8340054153449;2510
820.6654502018204;1858
843.4955572588403;3557
849.6164599342743;1081
853.9160599949046;2796
872.4654121050971;800
874.6505606550274;400
878.7671182630932;581
898.2072106843104;300
905.9611271150218;685
935.0934863328833;1718
941.9840659408541;1072
953.6306250259859;1290
962.5667452735514;2262
962.8283162899589;532
965.342379329187;63
980.40006296469;1352
993.4878681701881;2037
1019.708910804026;383
1031.5379170653869;152
1038.4383169179562;4200
1039.4985047322207;1952
1049.1808596734738;99
1054.5090701666813;500
1067.2597869729238;100
1081.0853823114958;1274
1081.1286825466598;300
1083.1267747808176;313
1084.9521289930165;416
1099.1481919575954;800
1102.1775379402582;560
1106.6290120487422;1100
1139.4291211947027;359
1145.808525105978;1728
1166.1311775630284;154
1189.7499318210687;638
1192.504061939152;1108
1214.2787351412658;297
1230.3894461406978;1068
1249.966605477721;397
1252.8871527279716;970
1260.2085351006801;98
1265.4091040504322;42
1270.6917530731669;463
1282.2879855941273;500
1286.2873338501493;300
1318.1514517879841;100
1331.5158280504743;1217
1338.9714177363244;1746
1341.932955685849;1800
1344.748070224628;1117
1349.8081240173478;794
1354.3983812511694;1329
1367.3095426934224;2735
1385.6424345160908;6172
1395.6891396643425;52
1399.4286536238583;702
1399.4928556501004;561
1407.7152133356838;1667
1411.1004948487227;677
1414.890716499775;98
1424.4375558675852;300
1426.0421357971843;323
1436.529774866092;1466
1444.6453679114934;1617
1447.5206667587163;2038
1449.585320128919;600
1452.1657246198365;1400
1456.0823196299548;1499
1471.3588707750516;700
1480.0546465120426;1840
1482.6430767305199;200
1483.1898323800967;1343
1484.1904642420884;100
1497.6564967124268;1591
1498.5596907098054;1200
1504.7558890508176;349
1538.7477747215892;553
1546.1413524101185;667
1548.9542055133948;4410
1561.0831801351917;200
1567.009170736311;263
1571.0427822318572;76
1575.1213827917977;910
1586.1938817349378;400
1596.311328857758;176
1609.4271798851557;901
1615.7274415655604;800
1630.971689275128;227
1631.3295351930797;94
1647.9747455575387;800
1662.1959118792167;1600
1662.5593037539397;508
1664.127069030297;271
1668.0082913808621;446
1672.6680834033848;100
1684.624304444985;1800
1689.661797762879;2730
1727.3405182670376;292
1739.3350185388251;100
1787.0276150252519;3100
1792.6453054906226;726
1811.1769228466615;189
1813.4088298757904;222
1824.097170646212;388
1827.7260345045297;99
1829.0952971594972;514
1829.1356868363823;1038
1842.9186317480592;293
1845.693910834948;200
1847.0141829814572;313
1854.5552328853607;331
1855.9180027863742;645
1861.3405599122539;596
1863.244058938147;1061
1879.5111306843287;149
1885.2761223954935;100
1887.2388587087369;488
1895.69727221479;200
1897.2787458728358;98
1901.2581693100046;1071
1913.3031667453113;356
1916.144700244758;3390
1920.0314996872999;810
1926.7856119034175;987
1936.496243522505;197
1942.332170784479;1000
1956.261231148881;453
1957.7031873350259;3437
1961.0248401431586;600
1965.367892469059;189
1984.832000249693;1240
1985.7367346407386;500
1997.5856054222156;33386
2022.8330474356853;533
2032.9007355895253;198
2035.2244980973871;874
2060.6098976475987;100
2063.311289186458;298
2073.022494020061;835
2084.472832064869;768
2086.0303854691656;754
2091.065174017553;1232
2094.746261219774;397
2112.3481415868196;400
2125.358957565422;199
2137.609374303895;1002
2139.158040082713;859
2147.3005520877477;700
2159.649048164916;188
2166.647472343553;54
2169.9438223696698;300
2171.2118977620335;640
2182.7615594830354;2862
2214.5019969943;380
2221.403378427501;679
2252.0834768776294;324
2261.3992530287305;632
2264.9241303338;848
2270.922807194654;600
2276.6863491305758;500
2280.951706494217;435
2280.967537461592;473
2282.7022119023363;20068
2287.7401540781752;667
2305.3135704620886;127
2335.318668701848;876
2335.5850197956092;200
2336.4329760001315;213
2336.8938283754915;1511
2346.940676806683;654
2360.814509596245;7814
2381.0558527883727;200
2383.664926164282;400
2387.4993397127573;800
2390.00576462748;297
2391.5837728462457;800
2398.4406279759987;200
2415.042632588074;386
2421.291031871244;400
2451.895998822953;150
2466.467240311395;1469
2474.067039294247;67
2482.587500677403;99
2483.9399498725725;2051
2508.5449777896088;98
2523.625656469705;1032
2544.5074672446776;199
2557.880995372241;524
2574.452081901556;299
2578.5986792278513;1867
2597.496407445547;500
2628.927696775612;159
2630.332299789633;653
2635.949324179472;948
2658.598801600172;390
2678.939647651738;5817
2684.2195947955693;300
2689.0924122805436;100
2710.1552369496912;2770
2729.0524596983814;189
2731.247624032317;324
2746.656674870175;248
2750.3063799109514;1447
2750.8649793479526;800
