Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13804;13804;0;0;0;0
0;0;0;Bom Fim;11593;11593;0;0;0;0
0;0;0;Centro Histórico;39154;39154;0;0;0;0
0;0;0;Cidade Baixa;15379;15379;0;0;0;0
0;0;0;Farroupilha;961;961;0;0;0;0
0;0;0;Floresta;11596;11596;0;0;0;0
0;0;0;Independência;8112;8112;0;0;0;0
0;0;0;Menino Deus;31650;31650;0;0;0;0
0;0;0;Moinhos de Vento;11937;11937;0;0;0;0
0;0;0;Praia de Belas;2281;2281;0;0;0;0
0;0;0;Rio Branco;17531;17531;0;0;0;0
0;0;0;Santa Cecília;5768;5768;0;0;0;0
0;0;0;Santana;20723;20723;0;0;0;0
1;1;0;Azenha;13904;13454;450;100;-350;450
1;1;0;Bom Fim;11743;11243;500;150;-350;500
1;1;0;Centro Histórico;38654;38454;200;-500;-700;200
1;1;0;Cidade Baixa;15379;14879;500;0;-500;500
1;1;0;Farroupilha;1311;911;400;350;-50;400
1;1;0;Floresta;11496;11296;200;-100;-300;200
1;1;0;Independência;8712;8012;700;600;-100;700
1;1;0;Menino Deus;30600;30150;450;-1050;-1500;450
1;1;0;Moinhos de Vento;12087;11787;300;150;-150;300
1;1;0;Praia de Belas;2831;2131;700;550;-150;700
1;1;0;Rio Branco;17231;16681;550;-300;-850;550
1;1;0;Santa Cecília;5768;5468;300;0;-300;300
1;1;0;Santana;20773;20423;350;50;-300;350
2;2;0;Azenha;14554;13304;1250;650;-150;800
2;2;0;Bom Fim;11893;10893;1000;150;-350;500
2;2;0;Centro Histórico;38254;37654;600;-400;-800;400
2;2;0;Cidade Baixa;15179;14129;1050;-200;-750;550
2;2;0;Farroupilha;2011;911;1100;700;0;700
2;2;0;Floresta;11496;11096;400;0;-200;200
2;2;0;Independência;8912;7562;1350;200;-450;650
2;2;0;Menino Deus;29700;28750;950;-900;-1400;500
2;2;0;Moinhos de Vento;12037;11437;600;-50;-350;300
2;2;0;Praia de Belas;3181;2081;1100;350;-50;400
2;2;0;Rio Branco;16881;16081;800;-350;-600;250
2;2;0;Santa Cecília;5968;5268;700;200;-200;400
2;2;0;Santana;20423;19873;550;-350;-550;200
3;3;0;Azenha;15004;13204;1800;450;-100;550
3;3;0;Bom Fim;11993;10493;1500;100;-400;500
3;3;0;Centro Histórico;37454;36604;850;-800;-1050;250
3;3;0;Cidade Baixa;14779;13429;1350;-400;-700;300
3;3;0;Farroupilha;2661;911;1750;650;0;650
3;3;0;Floresta;11496;10646;850;0;-450;450
3;3;0;Independência;9462;7312;2150;550;-250;800
3;3;0;Menino Deus;28900;27750;1150;-800;-1000;200
3;3;0;Moinhos de Vento;11987;11137;850;-50;-300;250
3;3;0;Praia de Belas;3481;1981;1500;300;-100;400
3;3;0;Rio Branco;16681;15631;1050;-200;-450;250
3;3;0;Santa Cecília;6268;5068;1200;300;-200;500
3;3;0;Santana;20323;19523;800;-100;-350;250
4;4;0;Azenha;15454;13004;2450;450;-200;650
4;4;0;Bom Fim;12393;10193;2200;400;-300;700
