Simulation Frame;Azenha;Bom Fim;Centro Histórico;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;6;7;6;5;7;3;9;7;5;8;11;6;6
2;6;12;10;9;10;8;11;9;6;10;11;8;9
3;9;12;11;9;12;8;13;11;10;10;11;10;10
4;9;12;12;9;13;9;13;11;11;10;13;11;11
5;9;12;12;10;13;9;13;11;11;11;13;11;11
6;9;12;12;12;13;9;13;11;11;12;13;11;12
7;9;12;12;12;13;10;13;12;11;12;13;11;12
8;19;19;18;19;22;21;24;22;21;17;23;20;19
9;19;19;18;19;22;21;24;22;22;17;23;20;19
10;19;19;18;19;22;21;24;23;22;17;23;21;19
11;19;19;18;20;22;21;24;23;22;17;23;21;19
12;20;19;18;20;22;21;24;23;23;17;23;21;20
13;20;25;21;22;25;25;24;23;25;21;24;22;24
14;20;25;21;22;25;25;24;23;25;21;24;22;24
15;20;25;21;22;25;26;24;23;25;21;24;22;24
16;20;25;21;22;25;26;24;23;25;22;24;22;24
17;20;25;21;23;25;26;24;23;25;22;24;22;24
18;20;25;21;23;25;26;24;23;25;22;24;23;24
19;20;24;22;23;24;26;24;22;25;35;23;22;24
20;22;24;22;23;24;26;24;22;25;35;24;23;24
21;22;24;22;23;24;26;24;22;25;35;24;23;24
22;13;13;13;14;14;13;13;13;13;26;14;14;13
23;1;1;1;1;1;1;1;1;1;1;1;1;1
