;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;Aberta dos Morros;Aberta dos Morros;2794;0;1666;468;100;2694
1;Aberta dos Morros;Agronomia;50;50;0;0;50;0
2;Aberta dos Morros;Anchieta;52;0;35;5;0;52
3;Aberta dos Morros;Arquipélago;0;0;0;0;0;0
4;Aberta dos Morros;Auxiliadora;3;0;2;1;0;3
5;Aberta dos Morros;Azenha;0;0;0;0;0;0
6;Aberta dos Morros;Bela Vista;4;0;1;3;0;4
7;Aberta dos Morros;Belém Novo;175;100;17;4;150;25
8;Aberta dos Morros;Belém Velho;276;150;17;5;250;26
9;Aberta dos Morros;Boa Vista;50;0;0;0;50;0
10;Aberta dos Morros;Boa Vista do Sul;75;0;17;5;50;25
11;Aberta dos Morros;Bom Fim;0;0;0;0;0;0
12;Aberta dos Morros;Bom Jesus;3;0;1;1;0;3
13;Aberta dos Morros;Camaquã;97;0;75;11;50;47
14;Aberta dos Morros;Campo Novo;1299;200;554;169;350;949
15;Aberta dos Morros;Cascata;50;0;0;0;50;0
16;Aberta dos Morros;Cavalhada;325;0;133;52;100;225
17;Aberta dos Morros;Cel. Aparício Borges;153;0;113;17;50;103
18;Aberta dos Morros;Centro Histórico;41;0;23;9;0;41
19;Aberta dos Morros;Chapéu do Sol;50;0;28;11;0;50
20;Aberta dos Morros;Chácara das Pedras;100;50;0;0;100;0
21;Aberta dos Morros;Cidade Baixa;54;0;32;8;0;54
22;Aberta dos Morros;Costa e Silva;105;0;34;5;50;55
23;Aberta dos Morros;Cristal;129;50;34;22;50;79
24;Aberta dos Morros;Cristo Redentor;5;0;3;1;0;5
25;Aberta dos Morros;Espírito Santo;1892;750;250;47;1642;250
26;Aberta dos Morros;Extrema;100;0;0;0;100;0
27;Aberta dos Morros;Farrapos;5345;0;3236;992;0;5345
28;Aberta dos Morros;Farroupilha;69;0;40;19;0;69
29;Aberta dos Morros;Floresta;52;0;1;0;50;2
30;Aberta dos Morros;Glória;50;50;0;0;50;0
31;Aberta dos Morros;Guarujá;214;50;91;29;76;138
32;Aberta dos Morros;Higienópolis;0;0;0;0;0;0
33;Aberta dos Morros;Humaitá;100;0;66;20;0;100
34;Aberta dos Morros;Hípica;1101;300;201;49;800;301
35;Aberta dos Morros;Independência;0;0;0;0;0;0
36;Aberta dos Morros;Ipanema;287;0;139;50;50;237
37;Aberta dos Morros;Jardim Botânico;6;0;1;3;0;6
38;Aberta dos Morros;Jardim Carvalho;0;0;0;0;0;0
39;Aberta dos Morros;Jardim Europa;0;0;0;0;0;0
40;Aberta dos Morros;Jardim Floresta;50;0;0;0;50;0
41;Aberta dos Morros;Jardim Isabel;100;50;24;10;50;50
42;Aberta dos Morros;Jardim Itú;0;0;0;0;0;0
43;Aberta dos Morros;Jardim Leopoldina;54;0;31;7;0;54
44;Aberta dos Morros;Jardim Lindóia;50;0;32;9;0;50
45;Aberta dos Morros;Jardim Sabará;19;0;9;7;0;19
46;Aberta dos Morros;Jardim São Pedro;0;0;0;0;0;0
47;Aberta dos Morros;Jardim do Salso;0;0;0;0;0;0
48;Aberta dos Morros;Lageado;162;0;82;9;50;112
49;Aberta dos Morros;Lami;0;0;0;0;0;0
50;Aberta dos Morros;Lomba do Pinheiro;29;0;12;1;0;29
51;Aberta dos Morros;Medianeira;119;100;10;6;100;19
52;Aberta dos Morros;Menino Deus;104;0;32;7;50;54
53;Aberta dos Morros;Moinhos de Vento;19;0;13;5;0;19
54;Aberta dos Morros;Mont'Serrat;13;0;11;1;0;13
55;Aberta dos Morros;Morro Santana;6;0;2;2;0;6
56;Aberta dos Morros;Mário Quintana;4;0;2;0;0;4
57;Aberta dos Morros;Navegantes;50;0;0;0;50;0
58;Aberta dos Morros;Nonoai;104;0;60;16;0;104
59;Aberta dos Morros;Parque Santa Fé;0;0;0;0;0;0
60;Aberta dos Morros;Partenon;32;0;20;5;0;32
61;Aberta dos Morros;Passo D'Areia;53;50;2;0;50;3
62;Aberta dos Morros;Passo das Pedras;4;0;1;2;0;4
63;Aberta dos Morros;Pedra Redonda;0;0;0;0;0;0
64;Aberta dos Morros;Petrópolis;305;50;107;29;200;105
65;Aberta dos Morros;Pitinga;0;0;0;0;0;0
66;Aberta dos Morros;Ponta Grossa;319;50;167;42;50;269
67;Aberta dos Morros;Praia de Belas;0;0;0;0;0;0
68;Aberta dos Morros;Restinga;1615;450;363;99;950;665
69;Aberta dos Morros;Rio Branco;30;0;15;10;0;30
70;Aberta dos Morros;Rubem Berta;3;0;2;1;0;3
71;Aberta dos Morros;Santa Cecília;12;0;8;3;0;12
72;Aberta dos Morros;Santa Maria Goretti;25;0;17;0;0;25
73;Aberta dos Morros;Santa Rosa de Lima;0;0;0;0;0;0
74;Aberta dos Morros;Santa Tereza;55;0;25;12;0;55
75;Aberta dos Morros;Santana;123;100;13;6;100;23
76;Aberta dos Morros;Santo Antônio;101;0;67;17;0;101
77;Aberta dos Morros;Sarandi;180;0;48;15;100;80
