;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;0;Aberta dos Morros;Aberta dos Morros;409;0;229;79;0;409
1;0;Aberta dos Morros;Agronomia;0;0;0;0;0;0
2;0;Aberta dos Morros;Anchieta;0;0;0;0;0;0
3;0;Aberta dos Morros;Arquipélago;0;0;0;0;0;0
4;0;Aberta dos Morros;Auxiliadora;0;0;0;0;0;0
5;0;Aberta dos Morros;Azenha;500;0;316;79;0;500
6;0;Aberta dos Morros;Bela Vista;0;0;0;0;0;0
7;0;Aberta dos Morros;Belém Novo;442;0;257;98;0;442
8;0;Aberta dos Morros;Belém Velho;204;0;122;25;0;204
9;0;Aberta dos Morros;Boa Vista;0;0;0;0;0;0
10;0;Aberta dos Morros;Boa Vista do Sul;0;0;0;0;0;0
11;0;Aberta dos Morros;Bom Fim;0;0;0;0;0;0
12;0;Aberta dos Morros;Bom Jesus;0;0;0;0;0;0
13;0;Aberta dos Morros;Camaquã;0;0;0;0;0;0
14;0;Aberta dos Morros;Campo Novo;816;0;338;89;250;566
15;0;Aberta dos Morros;Cascata;178;0;128;25;0;178
16;0;Aberta dos Morros;Cavalhada;442;0;108;57;250;192
17;0;Aberta dos Morros;Cel. Aparício Borges;204;0;114;36;0;204
18;0;Aberta dos Morros;Centro Histórico;211;0;0;0;211;0
19;0;Aberta dos Morros;Chapéu do Sol;250;0;160;49;0;250
20;0;Aberta dos Morros;Chácara das Pedras;0;0;0;0;0;0
21;0;Aberta dos Morros;Cidade Baixa;0;0;0;0;0;0
22;0;Aberta dos Morros;Costa e Silva;0;0;0;0;0;0
23;0;Aberta dos Morros;Cristal;500;250;0;0;500;0
24;0;Aberta dos Morros;Cristo Redentor;0;0;0;0;0;0
25;0;Aberta dos Morros;Espírito Santo;962;500;0;0;962;0
26;0;Aberta dos Morros;Extrema;0;0;0;0;0;0
27;0;Aberta dos Morros;Farrapos;2698;555;1184;345;487;1698
28;0;Aberta dos Morros;Farroupilha;0;0;0;0;0;0
29;0;Aberta dos Morros;Floresta;0;0;0;0;0;0
30;0;Aberta dos Morros;Glória;250;0;136;42;0;250
31;0;Aberta dos Morros;Guarujá;712;0;325;100;212;500
32;0;Aberta dos Morros;Higienópolis;0;0;0;0;0;0
33;0;Aberta dos Morros;Humaitá;0;0;0;0;0;0
34;0;Aberta dos Morros;Hípica;2342;743;985;250;743;1599
35;0;Aberta dos Morros;Independência;0;0;0;0;0;0
36;0;Aberta dos Morros;Ipanema;621;0;234;68;212;409
37;0;Aberta dos Morros;Jardim Botânico;0;0;0;0;0;0
38;0;Aberta dos Morros;Jardim Carvalho;0;0;0;0;0;0
39;0;Aberta dos Morros;Jardim Europa;0;0;0;0;0;0
40;0;Aberta dos Morros;Jardim Floresta;0;0;0;0;0;0
41;0;Aberta dos Morros;Jardim Isabel;0;0;0;0;0;0
42;0;Aberta dos Morros;Jardim Itú;250;0;0;0;250;0
43;0;Aberta dos Morros;Jardim Leopoldina;0;0;0;0;0;0
44;0;Aberta dos Morros;Jardim Lindóia;0;0;0;0;0;0
45;0;Aberta dos Morros;Jardim Sabará;0;0;0;0;0;0
46;0;Aberta dos Morros;Jardim São Pedro;0;0;0;0;0;0
47;0;Aberta dos Morros;Jardim do Salso;0;0;0;0;0;0
48;0;Aberta dos Morros;Lageado;0;0;0;0;0;0
49;0;Aberta dos Morros;Lami;0;0;0;0;0;0
50;0;Aberta dos Morros;Lomba do Pinheiro;0;0;0;0;0;0
51;0;Aberta dos Morros;Medianeira;0;0;0;0;0;0
52;0;Aberta dos Morros;Menino Deus;500;250;135;91;250;250
53;0;Aberta dos Morros;Moinhos de Vento;0;0;0;0;0;0
54;0;Aberta dos Morros;Mont'Serrat;0;0;0;0;0;0
55;0;Aberta dos Morros;Morro Santana;0;0;0;0;0;0
56;0;Aberta dos Morros;Mário Quintana;204;0;123;23;0;204
57;0;Aberta dos Morros;Navegantes;0;0;0;0;0;0
58;0;Aberta dos Morros;Nonoai;0;0;0;0;0;0
59;0;Aberta dos Morros;Parque Santa Fé;0;0;0;0;0;0
60;0;Aberta dos Morros;Partenon;0;0;0;0;0;0
61;0;Aberta dos Morros;Passo D'Areia;245;245;0;0;245;0
62;0;Aberta dos Morros;Passo das Pedras;0;0;0;0;0;0
63;0;Aberta dos Morros;Pedra Redonda;250;250;0;0;250;0
64;0;Aberta dos Morros;Petrópolis;0;0;0;0;0;0
65;0;Aberta dos Morros;Pitinga;0;0;0;0;0;0
66;0;Aberta dos Morros;Ponta Grossa;250;250;0;0;250;0
67;0;Aberta dos Morros;Praia de Belas;0;0;0;0;0;0
68;0;Aberta dos Morros;Restinga;952;499;122;27;748;204
69;0;Aberta dos Morros;Rio Branco;0;0;0;0;0;0
70;0;Aberta dos Morros;Rubem Berta;250;250;0;0;250;0
71;0;Aberta dos Morros;Santa Cecília;250;0;141;55;0;250
72;0;Aberta dos Morros;Santa Maria Goretti;0;0;0;0;0;0
73;0;Aberta dos Morros;Santa Rosa de Lima;0;0;0;0;0;0
74;0;Aberta dos Morros;Santa Tereza;204;0;101;49;0;204
75;0;Aberta dos Morros;Santana;0;0;0;0;0;0
76;0;Aberta dos Morros;Santo Antônio;0;0;0;0;0;0
77;0;Aberta dos Morros;Sarandi;0;0;0;0;0;0
78;0;Aberta dos Morros;Serraria;192;0;120;33;0;192
79;0;Aberta dos Morros;São Caetano;0;0;0;0;0;0
80;0;Aberta dos Morros;São Geraldo;0;0;0;0;0;0
81;0;Aberta dos Morros;São José;0;0;0;0;0;0
82;0;Aberta dos Morros;São João;0;0;0;0;0;0
83;0;Aberta dos Morros;São Sebastião;0;0;0;0;0;0
84;0;Aberta dos Morros;Sétimo Céu;250;0;140;41;0;250
85;0;Aberta dos Morros;Teresópolis;0;0;0;0;0;0
86;0;Aberta dos Morros;Tristeza;454;0;101;63;250;204
87;0;Aberta dos Morros;Três Figueiras;0;0;0;0;0;0
88;0;Aberta dos Morros;Vila Assunção;0;0;0;0;0;0
89;0;Aberta dos Morros;Vila Conceição;0;0;0;0;0;0
90;0;Aberta dos Morros;Vila Ipiranga;245;0;0;0;245;0
91;0;Aberta dos Morros;Vila Jardim;0;0;0;0;0;0
92;0;Aberta dos Morros;Vila João Pessoa;0;0;0;0;0;0
93;0;Aberta dos Morros;Vila Nova;1022;0;644;155;250;772
94;0;Agronomia;Aberta dos Morros;0;0;0;0;0;0
95;0;Agronomia;Agronomia;0;0;0;0;0;0
96;0;Agronomia;Anchieta;0;0;0;0;0;0
97;0;Agronomia;Arquipélago;0;0;0;0;0;0
98;0;Agronomia;Auxiliadora;0;0;0;0;0;0
99;0;Agronomia;Azenha;0;0;0;0;0;0
100;0;Agronomia;Bela Vista;0;0;0;0;0;0
101;0;Agronomia;Belém Novo;0;0;0;0;0;0
102;0;Agronomia;Belém Velho;0;0;0;0;0;0
103;0;Agronomia;Boa Vista;250;250;0;0;250;0
104;0;Agronomia;Boa Vista do Sul;0;0;0;0;0;0
105;0;Agronomia;Bom Fim;206;0;88;43;0;206
106;0;Agronomia;Bom Jesus;414;0;236;69;0;414
107;0;Agronomia;Camaquã;0;0;0;0;0;0
108;0;Agronomia;Campo Novo;0;0;0;0;0;0
109;0;Agronomia;Cascata;206;0;117;29;0;206
110;0;Agronomia;Cavalhada;456;0;249;98;0;456
111;0;Agronomia;Cel. Aparício Borges;195;0;114;39;0;195
112;0;Agronomia;Centro Histórico;0;0;0;0;0;0
113;0;Agronomia;Chapéu do Sol;0;0;0;0;0;0
114;0;Agronomia;Chácara das Pedras;0;0;0;0;0;0
115;0;Agronomia;Cidade Baixa;0;0;0;0;0;0
116;0;Agronomia;Costa e Silva;0;0;0;0;0;0
117;0;Agronomia;Cristal;0;0;0;0;0;0
118;0;Agronomia;Cristo Redentor;0;0;0;0;0;0
119;0;Agronomia;Espírito Santo;0;0;0;0;0;0
120;0;Agronomia;Extrema;0;0;0;0;0;0
121;0;Agronomia;Farrapos;3439;653;1586;514;520;2367
122;0;Agronomia;Farroupilha;0;0;0;0;0;0
123;0;Agronomia;Floresta;0;0;0;0;0;0
124;0;Agronomia;Glória;0;0;0;0;0;0
125;0;Agronomia;Guarujá;164;0;118;33;0;164
126;0;Agronomia;Higienópolis;0;0;0;0;0;0
127;0;Agronomia;Humaitá;0;0;0;0;0;0
128;0;Agronomia;Hípica;0;0;0;0;0;0
129;0;Agronomia;Independência;0;0;0;0;0;0
130;0;Agronomia;Ipanema;0;0;0;0;0;0
131;0;Agronomia;Jardim Botânico;250;0;143;30;0;250
132;0;Agronomia;Jardim Carvalho;2332;978;375;116;1626;706
133;0;Agronomia;Jardim Europa;0;0;0;0;0;0
134;0;Agronomia;Jardim Floresta;0;0;0;0;0;0
135;0;Agronomia;Jardim Isabel;0;0;0;0;0;0
136;0;Agronomia;Jardim Itú;241;0;0;0;241;0
137;0;Agronomia;Jardim Leopoldina;0;0;0;0;0;0
138;0;Agronomia;Jardim Lindóia;0;0;0;0;0;0
139;0;Agronomia;Jardim Sabará;739;0;126;75;489;250
140;0;Agronomia;Jardim São Pedro;0;0;0;0;0;0
141;0;Agronomia;Jardim do Salso;0;0;0;0;0;0
142;0;Agronomia;Lageado;0;0;0;0;0;0
143;0;Agronomia;Lami;0;0;0;0;0;0
144;0;Agronomia;Lomba do Pinheiro;2206;249;953;199;617;1589
145;0;Agronomia;Medianeira;0;0;0;0;0;0
146;0;Agronomia;Menino Deus;0;0;0;0;0;0
147;0;Agronomia;Moinhos de Vento;195;0;108;63;0;195
148;0;Agronomia;Mont'Serrat;0;0;0;0;0;0
149;0;Agronomia;Morro Santana;0;0;0;0;0;0
150;0;Agronomia;Mário Quintana;491;0;143;32;241;250
151;0;Agronomia;Navegantes;0;0;0;0;0;0
152;0;Agronomia;Nonoai;0;0;0;0;0;0
153;0;Agronomia;Parque Santa Fé;0;0;0;0;0;0
154;0;Agronomia;Partenon;0;0;0;0;0;0
155;0;Agronomia;Passo D'Areia;0;0;0;0;0;0
156;0;Agronomia;Passo das Pedras;241;241;0;0;241;0
157;0;Agronomia;Pedra Redonda;0;0;0;0;0;0
158;0;Agronomia;Petrópolis;195;0;131;47;0;195
159;0;Agronomia;Pitinga;0;0;0;0;0;0
160;0;Agronomia;Ponta Grossa;0;0;0;0;0;0
161;0;Agronomia;Praia de Belas;0;0;0;0;0;0
162;0;Agronomia;Restinga;592;0;346;97;0;592
163;0;Agronomia;Rio Branco;206;0;103;55;0;206
164;0;Agronomia;Rubem Berta;206;0;94;73;0;206
165;0;Agronomia;Santa Cecília;0;0;0;0;0;0
166;0;Agronomia;Santa Maria Goretti;0;0;0;0;0;0
167;0;Agronomia;Santa Rosa de Lima;0;0;0;0;0;0
168;0;Agronomia;Santa Tereza;241;241;0;0;241;0
169;0;Agronomia;Santana;0;0;0;0;0;0
170;0;Agronomia;Santo Antônio;185;0;0;0;185;0
171;0;Agronomia;Sarandi;455;0;102;54;249;206
172;0;Agronomia;Serraria;0;0;0;0;0;0
173;0;Agronomia;São Caetano;0;0;0;0;0;0
174;0;Agronomia;São Geraldo;0;0;0;0;0;0
175;0;Agronomia;São José;1625;250;735;199;491;1134
176;0;Agronomia;São João;206;0;111;58;0;206
177;0;Agronomia;São Sebastião;0;0;0;0;0;0
178;0;Agronomia;Sétimo Céu;0;0;0;0;0;0
179;0;Agronomia;Teresópolis;0;0;0;0;0;0
180;0;Agronomia;Tristeza;249;0;0;0;249;0
181;0;Agronomia;Três Figueiras;0;0;0;0;0;0
182;0;Agronomia;Vila Assunção;0;0;0;0;0;0
183;0;Agronomia;Vila Conceição;0;0;0;0;0;0
184;0;Agronomia;Vila Ipiranga;181;0;109;54;0;181
185;0;Agronomia;Vila Jardim;249;0;0;0;249;0
186;0;Agronomia;Vila João Pessoa;181;0;106;40;0;181
187;0;Agronomia;Vila Nova;0;0;0;0;0;0
188;0;Anchieta;Aberta dos Morros;0;0;0;0;0;0
189;0;Anchieta;Agronomia;0;0;0;0;0;0
190;0;Anchieta;Anchieta;0;0;0;0;0;0
191;0;Anchieta;Arquipélago;0;0;0;0;0;0
192;0;Anchieta;Auxiliadora;242;0;0;0;242;0
193;0;Anchieta;Azenha;0;0;0;0;0;0
194;0;Anchieta;Bela Vista;90;0;56;29;0;90
195;0;Anchieta;Belém Novo;0;0;0;0;0;0
196;0;Anchieta;Belém Velho;0;0;0;0;0;0
197;0;Anchieta;Boa Vista;0;0;0;0;0;0
198;0;Anchieta;Boa Vista do Sul;0;0;0;0;0;0
199;0;Anchieta;Bom Fim;0;0;0;0;0;0
200;0;Anchieta;Bom Jesus;0;0;0;0;0;0
201;0;Anchieta;Camaquã;0;0;0;0;0;0
202;0;Anchieta;Campo Novo;0;0;0;0;0;0
203;0;Anchieta;Cascata;0;0;0;0;0;0
204;0;Anchieta;Cavalhada;0;0;0;0;0;0
205;0;Anchieta;Cel. Aparício Borges;0;0;0;0;0;0
206;0;Anchieta;Centro Histórico;249;0;0;0;249;0
207;0;Anchieta;Chapéu do Sol;0;0;0;0;0;0
208;0;Anchieta;Chácara das Pedras;0;0;0;0;0;0
209;0;Anchieta;Cidade Baixa;0;0;0;0;0;0
210;0;Anchieta;Costa e Silva;0;0;0;0;0;0
211;0;Anchieta;Cristal;242;242;0;0;242;0
212;0;Anchieta;Cristo Redentor;249;0;0;0;249;0
213;0;Anchieta;Espírito Santo;0;0;0;0;0;0
214;0;Anchieta;Extrema;0;0;0;0;0;0
215;0;Anchieta;Farrapos;3251;826;941;310;1221;1550
216;0;Anchieta;Farroupilha;0;0;0;0;0;0
217;0;Anchieta;Floresta;0;0;0;0;0;0
218;0;Anchieta;Glória;90;0;47;26;0;90
219;0;Anchieta;Guarujá;0;0;0;0;0;0
220;0;Anchieta;Higienópolis;0;0;0;0;0;0
221;0;Anchieta;Humaitá;196;0;0;0;196;0
222;0;Anchieta;Hípica;0;0;0;0;0;0
223;0;Anchieta;Independência;0;0;0;0;0;0
224;0;Anchieta;Ipanema;0;0;0;0;0;0
225;0;Anchieta;Jardim Botânico;0;0;0;0;0;0
226;0;Anchieta;Jardim Carvalho;445;0;0;0;445;0
227;0;Anchieta;Jardim Europa;250;0;141;34;0;250
228;0;Anchieta;Jardim Floresta;0;0;0;0;0;0
229;0;Anchieta;Jardim Isabel;0;0;0;0;0;0
230;0;Anchieta;Jardim Itú;0;0;0;0;0;0
231;0;Anchieta;Jardim Leopoldina;0;0;0;0;0;0
232;0;Anchieta;Jardim Lindóia;242;242;0;0;242;0
233;0;Anchieta;Jardim Sabará;0;0;0;0;0;0
234;0;Anchieta;Jardim São Pedro;500;0;266;68;0;500
235;0;Anchieta;Jardim do Salso;0;0;0;0;0;0
236;0;Anchieta;Lageado;0;0;0;0;0;0
237;0;Anchieta;Lami;0;0;0;0;0;0
238;0;Anchieta;Lomba do Pinheiro;938;0;318;74;438;500
239;0;Anchieta;Medianeira;250;250;0;0;250;0
240;0;Anchieta;Menino Deus;0;0;0;0;0;0
241;0;Anchieta;Moinhos de Vento;0;0;0;0;0;0
242;0;Anchieta;Mont'Serrat;0;0;0;0;0;0
243;0;Anchieta;Morro Santana;0;0;0;0;0;0
244;0;Anchieta;Mário Quintana;50;0;32;8;0;50
245;0;Anchieta;Navegantes;0;0;0;0;0;0
246;0;Anchieta;Nonoai;0;0;0;0;0;0
247;0;Anchieta;Parque Santa Fé;0;0;0;0;0;0
248;0;Anchieta;Partenon;0;0;0;0;0;0
249;0;Anchieta;Passo D'Areia;242;0;0;0;242;0
250;0;Anchieta;Passo das Pedras;242;242;0;0;242;0
251;0;Anchieta;Pedra Redonda;0;0;0;0;0;0
252;0;Anchieta;Petrópolis;196;0;0;0;196;0
253;0;Anchieta;Pitinga;0;0;0;0;0;0
254;0;Anchieta;Ponta Grossa;0;0;0;0;0;0
255;0;Anchieta;Praia de Belas;0;0;0;0;0;0
256;0;Anchieta;Restinga;0;0;0;0;0;0
257;0;Anchieta;Rio Branco;0;0;0;0;0;0
258;0;Anchieta;Rubem Berta;0;0;0;0;0;0
259;0;Anchieta;Santa Cecília;0;0;0;0;0;0
260;0;Anchieta;Santa Maria Goretti;447;0;139;24;197;250
261;0;Anchieta;Santa Rosa de Lima;0;0;0;0;0;0
262;0;Anchieta;Santa Tereza;0;0;0;0;0;0
263;0;Anchieta;Santana;0;0;0;0;0;0
264;0;Anchieta;Santo Antônio;0;0;0;0;0;0
265;0;Anchieta;Sarandi;1209;0;259;135;747;462
266;0;Anchieta;Serraria;0;0;0;0;0;0
267;0;Anchieta;São Caetano;0;0;0;0;0;0
268;0;Anchieta;São Geraldo;250;0;138;30;0;250
269;0;Anchieta;São José;0;0;0;0;0;0
270;0;Anchieta;São João;0;0;0;0;0;0
271;0;Anchieta;São Sebastião;0;0;0;0;0;0
272;0;Anchieta;Sétimo Céu;0;0;0;0;0;0
273;0;Anchieta;Teresópolis;0;0;0;0;0;0
274;0;Anchieta;Tristeza;0;0;0;0;0;0
275;0;Anchieta;Três Figueiras;0;0;0;0;0;0
276;0;Anchieta;Vila Assunção;0;0;0;0;0;0
277;0;Anchieta;Vila Conceição;0;0;0;0;0;0
278;0;Anchieta;Vila Ipiranga;0;0;0;0;0;0
279;0;Anchieta;Vila Jardim;0;0;0;0;0;0
280;0;Anchieta;Vila João Pessoa;0;0;0;0;0;0
281;0;Anchieta;Vila Nova;0;0;0;0;0;0
282;0;Arquipélago;Aberta dos Morros;0;0;0;0;0;0
283;0;Arquipélago;Agronomia;0;0;0;0;0;0
284;0;Arquipélago;Anchieta;0;0;0;0;0;0
285;0;Arquipélago;Arquipélago;0;0;0;0;0;0
286;0;Arquipélago;Auxiliadora;250;0;144;44;0;250
287;0;Arquipélago;Azenha;0;0;0;0;0;0
288;0;Arquipélago;Bela Vista;0;0;0;0;0;0
289;0;Arquipélago;Belém Novo;500;0;132;35;250;250
290;0;Arquipélago;Belém Velho;0;0;0;0;0;0
291;0;Arquipélago;Boa Vista;0;0;0;0;0;0
292;0;Arquipélago;Boa Vista do Sul;0;0;0;0;0;0
293;0;Arquipélago;Bom Fim;0;0;0;0;0;0
294;0;Arquipélago;Bom Jesus;0;0;0;0;0;0
295;0;Arquipélago;Camaquã;131;0;79;39;0;131
296;0;Arquipélago;Campo Novo;0;0;0;0;0;0
297;0;Arquipélago;Cascata;131;0;84;17;0;131
298;0;Arquipélago;Cavalhada;0;0;0;0;0;0
299;0;Arquipélago;Cel. Aparício Borges;0;0;0;0;0;0
300;0;Arquipélago;Centro Histórico;681;0;0;0;681;0
301;0;Arquipélago;Chapéu do Sol;0;0;0;0;0;0
302;0;Arquipélago;Chácara das Pedras;0;0;0;0;0;0
303;0;Arquipélago;Cidade Baixa;250;0;0;0;250;0
304;0;Arquipélago;Costa e Silva;0;0;0;0;0;0
305;0;Arquipélago;Cristal;0;0;0;0;0;0
306;0;Arquipélago;Cristo Redentor;0;0;0;0;0;0
307;0;Arquipélago;Espírito Santo;0;0;0;0;0;0
308;0;Arquipélago;Extrema;250;0;134;33;0;250
309;0;Arquipélago;Farrapos;3369;1386;1106;359;754;1727
310;0;Arquipélago;Farroupilha;0;0;0;0;0;0
311;0;Arquipélago;Floresta;0;0;0;0;0;0
312;0;Arquipélago;Glória;0;0;0;0;0;0
313;0;Arquipélago;Guarujá;216;0;126;43;0;216
314;0;Arquipélago;Higienópolis;0;0;0;0;0;0
315;0;Arquipélago;Humaitá;0;0;0;0;0;0
316;0;Arquipélago;Hípica;0;0;0;0;0;0
317;0;Arquipélago;Independência;0;0;0;0;0;0
318;0;Arquipélago;Ipanema;0;0;0;0;0;0
319;0;Arquipélago;Jardim Botânico;0;0;0;0;0;0
320;0;Arquipélago;Jardim Carvalho;0;0;0;0;0;0
321;0;Arquipélago;Jardim Europa;0;0;0;0;0;0
322;0;Arquipélago;Jardim Floresta;0;0;0;0;0;0
323;0;Arquipélago;Jardim Isabel;0;0;0;0;0;0
324;0;Arquipélago;Jardim Itú;0;0;0;0;0;0
325;0;Arquipélago;Jardim Leopoldina;0;0;0;0;0;0
326;0;Arquipélago;Jardim Lindóia;0;0;0;0;0;0
327;0;Arquipélago;Jardim Sabará;0;0;0;0;0;0
328;0;Arquipélago;Jardim São Pedro;0;0;0;0;0;0
329;0;Arquipélago;Jardim do Salso;0;0;0;0;0;0
330;0;Arquipélago;Lageado;0;0;0;0;0;0
331;0;Arquipélago;Lami;0;0;0;0;0;0
332;0;Arquipélago;Lomba do Pinheiro;249;249;0;0;249;0
333;0;Arquipélago;Medianeira;250;0;171;44;0;250
334;0;Arquipélago;Menino Deus;500;250;144;43;250;250
335;0;Arquipélago;Moinhos de Vento;0;0;0;0;0;0
336;0;Arquipélago;Mont'Serrat;0;0;0;0;0;0
337;0;Arquipélago;Morro Santana;0;0;0;0;0;0
338;0;Arquipélago;Mário Quintana;0;0;0;0;0;0
339;0;Arquipélago;Navegantes;0;0;0;0;0;0
340;0;Arquipélago;Nonoai;0;0;0;0;0;0
341;0;Arquipélago;Parque Santa Fé;0;0;0;0;0;0
