Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro Histórico;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Cel. Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itú;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;Mont'Serrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo D'Areia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;São José
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;7;8;9;3;11;15;16;7;9;14;7;11;11;13;11;2;10;9;14;11;10;7;13;9;5;11;5;7;12;9;10;7;7;8;8;15;6;16;13;8;10;14;7;8;5;12;15;10;5;5;8;4;13;9;8;15;11;9;12;9;14;11;13;10;8;5;10;8;5;12;7;8;11;6;11;11;8;7;9;12;5;8;9;6;9;9;7;7;4;9;15;14;19;10
2;16;12;13;9;16;21;27;9;13;18;10;12;15;16;16;9;13;11;22;16;15;16;14;16;12;19;8;7;16;15;16;12;11;16;9;20;9;18;18;13;14;21;15;11;10;18;22;18;9;11;10;8;19;14;13;20;18;14;17;11;16;15;19;15;19;11;18;15;11;21;13;15;14;12;18;14;17;9;15;22;13;12;14;8;11;19;11;9;10;16;19;20;23;15
3;18;15;17;12;20;23;29;10;18;24;12;18;18;18;20;13;17;15;27;18;19;20;15;19;16;24;9;11;19;17;19;16;14;20;12;27;14;26;22;15;19;24;20;16;16;20;25;18;13;13;13;14;24;17;21;24;23;17;21;15;22;17;22;20;21;13;22;20;13;27;16;23;20;12;21;22;20;11;20;24;19;16;18;9;19;26;17;11;13;21;23;26;32;22
4;20;18;18;13;24;27;36;12;19;31;13;22;23;24;21;19;19;22;29;20;22;25;18;22;17;27;15;16;21;19;22;19;21;22;15;29;20;30;24;15;24;27;22;21;19;25;28;19;18;14;14;17;29;19;24;29;27;22;26;16;24;19;25;26;22;15;25;22;17;31;17;27;24;14;32;27;26;12;25;25;22;18;24;15;23;28;20;14;15;24;27;28;35;23
5;23;18;21;16;27;29;38;15;20;37;18;22;28;27;21;23;25;24;29;20;25;25;20;24;18;30;16;17;22;20;26;19;29;24;17;34;24;35;27;20;28;29;24;23;20;27;30;26;19;15;17;21;32;23;25;31;29;22;32;18;29;26;28;28;25;18;26;25;19;33;17;28;28;17;37;28;28;12;29;27;26;20;27;19;25;31;21;16;16;25;29;31;37;30
6;26;20;24;19;29;36;40;19;23;37;21;26;30;29;23;23;26;27;32;22;27;26;20;25;21;31;24;21;25;20;29;21;31;26;17;35;25;38;30;23;29;29;28;23;23;29;30;27;21;17;20;23;33;26;27;34;32;25;34;24;30;28;31;29;28;22;29;27;21;33;17;30;30;20;37;31;31;14;30;28;30;20;28;22;26;33;23;19;22;29;33;33;38;30
7;31;24;28;22;31;37;42;21;25;37;23;28;32;31;25;23;30;27;33;24;31;27;20;25;22;34;24;22;27;24;31;21;32;27;18;35;27;40;34;27;31;31;30;24;23;33;32;28;23;19;21;25;33;29;31;35;34;26;35;25;31;31;31;31;30;24;31;30;26;34;19;33;33;22;40;31;31;16;30;34;34;23;32;22;28;38;25;21;27;30;35;35;38;32
8;51;48;45;38;58;60;71;40;53;60;41;54;59;47;46;53;51;56;59;44;53;47;44;46;43;55;43;42;50;47;62;43;63;44;35;53;41;69;53;47;58;50;57;40;49;49;63;55;40;33;43;43;58;53;57;67;59;46;61;55;52;62;55;52;57;45;48;53;48;56;41;65;65;47;69;61;58;33;53;59;62;43;50;49;55;65;39;37;50;65;58;63;60;54
9;52;49;48;39;60;61;71;40;55;60;43;56;60;50;47;54;55;57;62;45;55;48;45;47;45;57;45;44;54;49;64;43;63;44;36;56;43;71;53;49;59;52;57;41;49;49;63;55;42;34;43;43;60;54;58;67;60;47;63;56;55;63;56;54;58;47;48;54;49;56;41;66;66;50;71;62;58;34;56;60;63;45;52;51;57;66;39;41;51;67;58;64;62;56
