Simulation Frame;Blob Count
0;286
1;315
2;250
3;232
4;391
5;434
6;347
7;636
8;680
9;704
10;688
11;716
12;628
13;711
14;664
15;718
16;671
17;605
18;504
19;694
20;409
21;370
22;362
23;13
24;285
25;318
26;250
27;232
28;401
29;444
30;350
31;627
32;672
33;710
34;690
35;712
36;638
37;715
38;665
39;723
40;667
41;602
42;510
43;678
44;398
45;377
46;354
47;13
48;286
49;318
50;250
51;235
52;398
53;439
54;349
55;624
56;668
57;711
58;686
59;716
60;631
61;711
62;662
63;717
64;666
65;603
66;509
67;673
68;404
69;378
70;366
71;13
72;286
73;320
74;252
75;233
76;397
77;437
78;360
79;630
80;672
81;708
82;693
83;711
84;633
85;718
86;676
87;723
88;676
89;606
90;500
91;669
92;395
93;378
94;363
95;13
96;287
97;316
98;250
99;235
100;389
101;438
102;357
103;630
104;681
105;713
106;688
107;711
108;633
109;721
110;669
111;719
112;680
113;603
114;500
115;668
116;404
117;373
118;369
119;13
