Simulation Frame;Azenha//home;Azenha//work;Azenha//school;Azenha//marketplace;Azenha//pharmacy;Azenha//gas_station;Azenha//hospital;Azenha//shopping_mall;Bom Fim//home;Bom Fim//work;Bom Fim//school;Bom Fim//marketplace;Bom Fim//pharmacy;Bom Fim//gas_station;Centro//home;Centro//work;Centro//school;Centro//marketplace;Centro//pharmacy;Centro//gas_station;Centro//hospital;Centro//shopping_mall;Cidade Baixa//home;Cidade Baixa//work;Cidade Baixa//school;Cidade Baixa//marketplace;Cidade Baixa//pharmacy;Cidade Baixa//gas_station;Farroupilha//home;Farroupilha//work;Farroupilha//school;Farroupilha//marketplace;Farroupilha//pharmacy;Farroupilha//gas_station;Farroupilha//hospital;Floresta//home;Floresta//work;Floresta//school;Floresta//marketplace;Floresta//pharmacy;Floresta//gas_station;Independência//home;Independência//work;Independência//school;Independência//marketplace;Independência//pharmacy;Independência//gas_station;Independência//hospital;Independência//shopping_mall;Menino Deus//home;Menino Deus//work;Menino Deus//school;Menino Deus//marketplace;Menino Deus//pharmacy;Menino Deus//gas_station;Menino Deus//hospital;Moinhos de Vento//home;Moinhos de Vento//work;Moinhos de Vento//school;Moinhos de Vento//marketplace;Moinhos de Vento//pharmacy;Moinhos de Vento//gas_station;Moinhos de Vento//hospital;Moinhos de Vento//shopping_mall;Praia de Belas//home;Praia de Belas//work;Praia de Belas//school;Praia de Belas//marketplace;Praia de Belas//pharmacy;Praia de Belas//gas_station;Praia de Belas//stadium;Praia de Belas//shopping_mall;Rio Branco//home;Rio Branco//work;Rio Branco//school;Rio Branco//marketplace;Rio Branco//pharmacy;Rio Branco//gas_station;Rio Branco//hospital;Santa Cecília//home;Santa Cecília//work;Santa Cecília//school;Santa Cecília//marketplace;Santa Cecília//pharmacy;Santa Cecília//gas_station;Santa Cecília//hospital;Santana//home;Santana//work;Santana//school;Santana//marketplace;Santana//pharmacy;Santana//gas_station;Santana//hospital
0;1;0;0;0;0;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;1;0;0;0;13;0;1;0;0;0;13;0;13;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;0;1;0;0;0;13;4;0;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;1;0;0;0;13;0;13
1;1;0;0;0;0;5;13;0;1;0;0;0;13;8;1;0;0;0;0;13;13;0;1;0;0;0;13;7;1;0;0;0;1;0;13;1;0;0;0;13;5;1;0;0;0;10;5;13;0;1;0;0;0;0;10;13;1;0;0;0;5;7;13;0;1;0;0;0;13;4;0;0;1;0;0;0;9;8;13;1;0;0;0;13;3;13;1;0;0;0;10;10;13
2;1;0;0;0;0;2;13;0;1;0;0;0;8;9;1;0;0;0;0;9;13;0;1;0;0;0;13;8;1;0;0;0;0;0;13;1;0;0;0;13;6;1;0;0;0;0;6;13;0;1;0;0;0;0;7;13;1;0;0;0;0;4;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;8;13;1;0;0;0;2;4;13;1;0;0;0;0;5;13
3;1;0;0;0;0;3;13;0;1;0;0;0;0;9;1;0;0;0;0;13;13;0;1;0;0;0;7;12;1;0;0;0;0;0;13;1;0;0;0;13;8;1;0;0;0;0;2;13;0;1;0;0;0;0;9;13;1;0;0;0;0;4;13;0;1;0;0;0;13;2;0;0;1;0;0;0;0;3;13;1;0;0;0;0;0;13;1;0;0;0;0;4;13
4;1;13;0;0;1;0;6;0;1;13;0;0;0;0;1;13;0;0;2;5;13;0;1;13;0;0;2;3;1;0;0;0;0;0;1;1;13;0;2;1;2;1;13;0;0;1;0;5;0;1;13;0;13;1;4;11;1;13;0;12;2;1;12;0;1;12;0;13;10;2;0;0;1;13;0;13;4;3;13;1;13;0;13;0;0;12;1;13;0;13;12;2;13
5;1;13;0;0;0;5;8;0;1;13;0;0;0;8;1;13;0;0;0;10;13;0;1;13;0;0;4;5;1;0;0;0;0;0;1;1;13;0;0;1;5;1;13;0;0;0;5;4;0;1;13;0;0;7;12;13;1;13;0;12;0;6;12;0;1;12;0;13;10;3;0;0;1;13;0;13;4;6;13;1;13;0;13;0;3;12;1;13;0;13;12;7;13
6;1;13;0;0;2;2;3;0;1;13;0;0;2;2;1;13;0;0;5;8;9;0;1;13;0;0;3;4;1;6;0;0;1;1;1;1;13;0;0;3;1;1;13;0;0;2;3;2;0;1;13;12;0;4;4;6;1;13;12;0;2;1;2;0;1;12;12;0;1;1;0;0;1;13;12;0;4;4;4;1;13;12;0;2;2;2;1;13;12;0;3;3;2
7;1;13;13;6;0;0;3;13;1;13;13;8;3;3;1;13;13;13;10;11;13;13;1;13;13;8;5;6;1;0;12;0;0;0;0;1;13;12;5;4;2;1;13;12;4;1;1;4;12;1;13;12;13;10;9;9;1;13;12;7;4;4;3;12;1;12;12;2;3;3;0;12;1;13;12;8;7;5;7;1;13;12;6;2;2;3;1;13;12;10;6;5;8
8;1;13;13;11;3;0;6;0;1;13;13;9;2;3;1;13;13;13;13;12;13;0;1;13;13;13;5;4;1;0;12;0;0;0;0;1;13;12;9;4;4;1;13;12;7;5;0;5;0;1;13;12;13;11;11;13;1;13;12;12;6;3;8;0;1;11;12;13;7;3;0;0;1;13;12;13;9;7;13;1;13;12;12;1;3;11;1;13;12;13;10;7;13
9;1;13;13;12;4;4;6;0;1;13;13;9;7;7;1;13;13;13;13;13;13;0;1;13;13;13;11;10;1;0;12;0;0;0;0;1;13;12;8;5;5;1;13;12;8;5;5;6;0;1;13;12;13;12;13;13;1;13;12;7;6;3;6;0;1;0;12;13;5;6;0;0;1;13;12;10;9;9;9;1;13;12;12;3;4;11;1;13;12;13;11;10;13
10;1;13;13;10;0;0;2;13;1;13;13;11;1;0;1;13;13;13;13;13;13;13;1;13;13;13;9;5;1;0;0;0;0;0;0;1;13;12;7;5;5;1;13;12;7;0;0;3;13;1;13;12;13;12;11;13;1;13;12;7;6;0;8;13;1;13;12;0;0;0;0;13;1;13;12;12;9;8;12;1;13;13;7;3;3;4;1;13;12;13;10;11;13
11;1;13;13;12;0;0;6;13;1;13;13;12;0;7;1;13;13;13;12;13;13;13;1;13;13;13;9;11;1;0;0;0;0;0;0;1;13;12;10;6;6;1;13;12;2;0;0;3;13;1;13;12;13;13;13;13;1;13;12;12;0;4;6;13;1;13;12;0;1;0;0;13;1;13;12;12;9;11;12;1;13;13;11;3;7;4;1;13;12;13;9;7;12
12;1;13;13;0;0;0;0;13;1;13;13;5;0;0;1;13;13;13;13;10;13;13;1;13;13;13;0;2;1;0;12;0;0;0;0;1;13;12;9;0;0;1;13;12;0;0;0;0;12;1;13;12;13;8;11;13;1;13;12;2;0;0;6;12;1;4;12;13;0;0;0;13;1;13;12;13;7;9;8;1;13;12;8;0;0;9;1;13;12;13;11;10;13
13;1;13;13;0;0;0;3;13;1;13;13;9;2;0;1;13;13;13;13;13;13;13;1;13;13;13;12;11;1;0;5;0;0;0;0;1;13;12;13;7;7;1;13;12;0;0;0;1;13;1;13;12;13;13;12;13;1;13;12;7;0;0;12;13;1;0;12;13;0;0;0;13;1;13;12;13;13;9;13;1;13;12;8;5;5;8;1;13;12;13;13;11;13
14;1;13;13;5;0;0;0;13;1;13;13;10;0;0;1;13;13;13;13;13;13;13;1;13;13;13;5;3;1;0;0;0;0;0;0;1;13;12;13;0;0;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;12;12;0;0;4;13;1;11;12;0;0;0;0;13;1;13;12;13;12;9;13;1;13;12;6;3;0;6;1;13;12;13;13;13;13
15;1;13;13;13;0;0;9;0;1;13;13;13;0;4;1;13;13;13;13;13;13;13;1;13;13;13;13;12;1;0;0;0;0;0;0;1;13;12;13;7;10;1;13;12;0;0;0;0;12;1;13;13;13;13;13;13;1;13;12;13;0;7;10;12;1;0;0;0;0;0;0;13;1;13;12;13;12;13;13;1;13;12;12;5;9;5;1;13;12;13;13;13;13
16;1;13;13;0;0;0;0;3;1;13;13;13;0;0;1;13;13;13;13;13;13;13;1;13;13;13;13;10;1;0;0;0;0;0;0;1;13;12;13;5;10;1;13;12;0;0;0;3;0;1;13;12;13;13;13;13;1;13;12;8;0;0;11;0;1;0;0;13;0;0;0;13;1;13;12;13;13;13;13;1;13;12;13;3;2;12;1;13;12;13;13;13;13
17;1;13;0;0;0;0;0;0;1;13;0;11;0;3;1;13;0;13;13;13;13;8;1;13;0;13;13;13;1;0;0;0;0;0;0;1;13;0;13;13;11;1;13;0;2;0;0;8;12;1;13;0;13;13;13;13;1;13;0;13;0;11;12;12;1;0;0;0;0;0;0;12;1;13;0;13;13;13;13;1;13;0;13;12;11;13;1;13;12;13;13;13;13
18;1;13;0;0;0;0;0;0;1;13;0;0;0;0;1;13;13;13;11;6;13;0;1;13;13;9;0;0;1;0;0;0;0;0;0;1;13;13;0;0;0;1;13;10;0;0;0;0;0;1;13;13;13;13;13;13;1;13;13;0;0;0;0;0;1;8;13;0;0;0;0;5;1;13;13;13;12;12;13;1;13;13;0;0;0;2;1;13;13;13;13;13;13
19;1;13;0;12;0;0;10;3;1;13;0;12;3;2;1;13;13;13;13;13;13;0;1;13;12;13;11;12;1;0;0;0;0;0;0;1;13;4;13;12;11;1;13;0;10;0;0;11;11;1;13;13;13;13;12;13;1;13;5;11;10;10;13;11;1;0;3;0;0;0;0;9;1;13;13;13;12;12;13;1;13;13;11;7;8;8;1;13;13;13;13;13;13
20;1;0;0;0;0;0;0;0;1;0;0;12;0;0;1;0;0;13;6;0;13;0;1;0;0;13;0;0;1;0;1;13;0;0;13;1;0;0;13;0;0;1;0;0;13;0;0;13;0;1;0;13;13;8;13;13;1;0;0;13;0;0;13;0;1;0;10;13;13;0;0;0;1;0;12;13;5;10;11;1;0;1;13;8;0;13;1;0;13;13;13;13;13
21;1;0;0;3;0;0;0;0;1;0;0;8;0;0;1;0;0;13;11;12;13;0;1;0;0;12;6;8;1;0;0;13;0;0;13;1;0;0;11;6;8;1;0;0;2;0;0;0;0;1;0;0;13;13;13;13;1;0;0;12;0;0;8;0;1;0;0;13;0;0;0;2;1;0;0;13;10;10;11;1;0;0;13;3;6;13;1;0;0;13;13;13;13
22;1;0;13;0;0;0;6;0;1;0;13;0;1;0;1;0;13;0;11;12;13;0;1;0;13;0;8;5;1;0;13;6;0;0;0;1;0;13;0;5;4;1;0;13;0;3;3;4;0;1;0;13;0;8;7;12;1;0;13;0;6;5;4;0;1;0;13;12;2;2;0;0;1;0;13;0;6;3;7;1;0;13;0;1;1;4;1;0;13;0;6;5;8
23;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
24;1;0;0;0;0;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;1;0;0;0;13;0;1;0;0;0;13;0;13;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;0;1;0;0;0;13;3;0;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;1;0;0;0;13;0;13
25;1;0;0;0;0;6;13;0;1;0;0;0;13;9;1;0;0;0;0;13;13;0;1;0;0;0;13;8;1;0;0;0;2;0;13;1;0;0;0;13;5;1;0;0;0;10;5;13;0;1;0;0;0;0;11;13;1;0;0;0;5;7;13;0;1;0;0;0;13;3;0;0;1;0;0;0;9;8;13;1;0;0;0;13;4;13;1;0;0;0;11;7;13
26;1;0;0;0;0;2;13;0;1;0;0;0;8;10;1;0;0;0;0;9;13;0;1;0;0;0;13;8;1;0;0;0;0;0;13;1;0;0;0;13;8;1;0;0;0;0;6;13;0;1;0;0;0;0;6;13;1;0;0;0;0;3;13;0;1;0;0;0;13;2;0;0;1;0;0;0;0;8;13;1;0;0;0;2;4;13;1;0;0;0;0;5;13
27;1;0;0;0;0;3;13;0;1;0;0;0;0;9;1;0;0;0;0;13;13;0;1;0;0;0;5;11;1;0;0;0;0;0;13;1;0;0;0;13;8;1;0;0;0;0;2;13;0;1;0;0;0;0;10;13;1;0;0;0;0;4;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;3;13;1;0;0;0;0;1;13;1;0;0;0;0;4;13
28;1;13;0;0;0;0;7;0;1;13;0;0;1;0;1;13;0;0;5;7;13;0;1;13;0;0;2;2;1;0;0;0;0;0;1;1;13;0;2;2;2;1;13;0;0;1;0;5;0;1;13;0;12;2;4;13;1;13;0;12;2;1;12;0;1;12;0;13;10;2;0;0;1;13;0;13;4;4;13;1;13;0;13;0;0;13;1;13;0;13;12;2;13
29;1;13;0;0;0;5;9;0;1;13;0;0;0;7;1;13;0;0;0;12;13;0;1;13;0;0;3;5;1;0;0;0;0;0;2;1;13;0;0;1;4;1;13;0;0;0;6;4;0;1;13;0;1;8;12;13;1;13;0;12;0;6;12;0;1;12;0;13;10;5;0;0;1;13;0;13;5;7;13;1;13;0;13;0;4;13;1;13;0;13;12;7;13
