Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;14;14;25;14;25;14;27;27;27;18;27;27;27
1;19;22;27;21;15;19;29;24;26;18;31;30;34
2;16;18;23;22;14;20;20;21;18;17;22;20;19
3;17;10;27;20;14;22;16;23;18;16;17;14;18
4;21;14;34;19;2;19;20;43;41;38;47;39;54
5;27;22;37;23;2;20;23;46;44;39;50;42;59
6;21;18;36;21;10;18;21;40;31;27;38;32;34
7;49;41;87;46;13;37;48;67;56;45;53;39;55
8;47;41;78;49;13;43;43;74;55;47;68;53;69
9;53;50;79;61;13;44;50;77;48;37;63;56;73
10;52;39;92;54;1;43;49;75;60;39;67;44;73
11;58;46;91;60;1;48;44;78;61;40;70;52;67
12;40;32;89;42;13;35;38;71;46;43;63;43;73
13;43;38;92;63;6;53;40;77;58;39;74;52;76
14;45;37;92;48;1;39;39;79;55;37;73;41;78
15;49;44;92;65;1;56;38;79;68;14;77;57;78
16;30;40;92;63;1;54;29;78;45;27;78;56;78
17;14;28;74;53;1;51;36;66;62;13;66;63;78
18;14;14;70;36;1;27;24;79;27;27;77;29;79
19;39;31;79;62;1;54;46;78;74;13;77;61;79
20;1;13;33;14;28;14;27;61;27;37;52;36;66
21;4;9;50;27;27;26;3;53;21;16;45;36;53
22;20;15;50;27;20;23;24;41;29;30;30;20;33
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;14;14;25;14;25;14;27;27;27;17;27;27;27
25;20;23;27;22;16;19;29;25;26;17;31;31;32
26;16;19;23;22;14;22;20;20;17;16;22;20;19
27;17;10;27;17;14;22;16;24;18;17;17;15;18
28;21;15;39;18;2;20;20;45;41;38;48;40;54
29;28;21;39;22;3;19;24;48;44;41;52;44;59
30;21;17;36;21;13;18;21;42;33;26;37;31;34
31;47;37;88;44;13;39;48;67;55;43;54;38;54
32;45;45;79;50;13;41;40;72;54;47;63;53;70
33;54;50;79;58;13;48;50;77;49;38;68;56;70
34;52;39;92;56;1;43;49;77;56;39;70;44;72
35;57;44;91;60;1;48;44;77;62;39;72;48;69
36;35;34;90;43;13;36;38;74;48;43;67;42;75
37;43;39;92;64;4;54;41;78;60;39;76;48;77
38;45;35;91;52;1;40;39;79;55;39;76;38;75
39;50;45;92;66;1;57;39;79;71;14;77;54;78
40;31;40;92;64;1;52;28;78;40;27;77;58;79
41;14;28;75;53;1;49;37;66;57;14;66;63;79
42;14;14;71;37;1;27;24;79;28;28;79;29;79
