Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13768;13683;85;-36;-121;85
0;0;0;Bom Fim;11477;11438;39;-116;-155;39
0;0;0;Centro;39167;39075;92;13;-79;92
0;0;0;Cidade Baixa;15317;15260;57;-62;-119;57
0;0;0;Farroupilha;960;836;124;-1;-125;124
0;0;0;Floresta;11538;11486;52;-58;-110;52
0;0;0;Independência;8143;8004;139;31;-108;139
0;0;0;Menino Deus;31683;31573;110;33;-77;110
0;0;0;Moinhos de Vento;11978;11863;115;41;-74;115
0;0;0;Praia de Belas;2266;2209;57;-15;-72;57
0;0;0;Rio Branco;17574;17441;133;43;-90;133
0;0;0;Santa Cecília;5827;5682;145;59;-86;145
0;0;0;Santana;20791;20650;141;68;-73;141
1;1;0;Azenha;13773;13666;107;5;-17;22
1;1;0;Bom Fim;11468;11422;46;-9;-16;7
1;1;0;Centro;39233;39079;154;66;4;62
1;1;0;Cidade Baixa;15312;15247;65;-5;-13;8
1;1;0;Farroupilha;923;813;110;-37;-23;-14
1;1;0;Floresta;11535;11476;59;-3;-10;7
1;1;0;Independência;8130;7989;141;-13;-15;2
1;1;0;Menino Deus;31705;31563;142;22;-10;32
1;1;0;Moinhos de Vento;11972;11858;114;-6;-5;-1
1;1;0;Praia de Belas;2248;2189;59;-18;-20;2
1;1;0;Rio Branco;17590;17437;153;16;-4;20
1;1;0;Santa Cecília;5812;5671;141;-15;-11;-4
1;1;0;Santana;20788;20636;152;-3;-14;11
2;2;0;Azenha;13787;13692;95;14;26;-12
2;2;0;Bom Fim;11460;11435;25;-8;13;-21
2;2;0;Centro;39229;39094;135;-4;15;-19
2;2;0;Cidade Baixa;15306;15258;48;-6;11;-17
2;2;0;Farroupilha;947;838;109;24;25;-1
2;2;0;Floresta;11538;11491;47;3;15;-12
2;2;0;Independência;8131;8003;128;1;14;-13
2;2;0;Menino Deus;31710;31575;135;5;12;-7
2;2;0;Moinhos de Vento;11973;11867;106;1;9;-8
2;2;0;Praia de Belas;2248;2193;55;0;4;-4
2;2;0;Rio Branco;17582;17448;134;-8;11;-19
2;2;0;Santa Cecília;5802;5678;124;-10;7;-17
2;2;0;Santana;20776;20639;137;-12;3;-15
3;3;0;Azenha;13796;13705;91;9;13;-4
3;3;0;Bom Fim;11460;11449;11;0;14;-14
3;3;0;Centro;39235;39102;133;6;8;-2
3;3;0;Cidade Baixa;15290;15265;25;-16;7;-23
3;3;0;Farroupilha;964;854;110;17;16;1
3;3;0;Floresta;11525;11494;31;-13;3;-16
3;3;0;Independência;8143;8024;119;12;21;-9
3;3;0;Menino Deus;31701;31577;124;-9;2;-11
3;3;0;Moinhos de Vento;11980;11875;105;7;8;-1
3;3;0;Praia de Belas;2257;2209;48;9;16;-7
3;3;0;Rio Branco;17580;17453;127;-2;5;-7
3;3;0;Santa Cecília;5791;5673;118;-11;-5;-6
3;3;0;Santana;20767;20642;125;-9;3;-12
4;4;0;Azenha;13577;12904;673;-219;-801;582
4;4;0;Bom Fim;11218;10627;591;-242;-822;580
4;4;0;Centro;40134;38509;1625;899;-593;1492
4;4;0;Cidade Baixa;15281;14494;787;-9;-771;762
4;4;0;Farroupilha;464;464;0;-500;-390;-110
4;4;0;Floresta;11387;10837;550;-138;-657;519
4;4;0;Independência;7600;7176;424;-543;-848;305
4;4;0;Menino Deus;32426;30979;1447;725;-598;1323
4;4;0;Moinhos de Vento;11891;11232;659;-89;-643;554
4;4;0;Praia de Belas;1831;1609;222;-426;-600;174
4;4;0;Rio Branco;17865;16812;1053;285;-641;926
4;4;0;Santa Cecília;5362;4954;408;-429;-719;290
4;4;0;Santana;21453;20158;1295;686;-484;1170
5;5;0;Azenha;13588;12893;695;11;-11;22
5;5;0;Bom Fim;11226;10632;594;8;5;3
5;5;0;Centro;40179;38508;1671;45;-1;46
5;5;0;Cidade Baixa;15288;14486;802;7;-8;15
5;5;0;Farroupilha;464;464;0;0;0;0
5;5;0;Floresta;11397;10841;556;10;4;6
5;5;0;Independência;7600;7184;416;0;8;-8
5;5;0;Menino Deus;32430;30965;1465;4;-14;18
5;5;0;Moinhos de Vento;11870;11230;640;-21;-2;-19
5;5;0;Praia de Belas;1813;1607;206;-18;-2;-16
5;5;0;Rio Branco;17839;16815;1024;-26;3;-29
5;5;0;Santa Cecília;5351;4961;390;-11;7;-18
5;5;0;Santana;21444;20147;1297;-9;-11;2
6;6;0;Azenha;13593;12207;1386;5;-686;691
6;6;0;Bom Fim;11036;9879;1157;-190;-753;563
6;6;0;Centro;41350;37973;3377;1171;-535;1706
6;6;0;Cidade Baixa;15292;13779;1513;4;-707;711
6;6;0;Farroupilha;471;465;6;7;1;6
6;6;0;Floresta;11277;10260;1017;-120;-581;461
6;6;0;Independência;7202;6479;723;-398;-705;307
6;6;0;Menino Deus;33045;30359;2686;615;-606;1221
6;6;0;Moinhos de Vento;11757;10644;1113;-113;-586;473
6;6;0;Praia de Belas;1368;1136;232;-445;-471;26
6;6;0;Rio Branco;17836;16155;1681;-3;-660;657
6;6;0;Santa Cecília;4833;4301;532;-518;-660;142
6;6;0;Santana;21429;19533;1896;-15;-614;599
7;7;0;Azenha;13534;10743;2791;-59;-1464;1405
7;7;0;Bom Fim;10464;8388;2076;-572;-1491;919
7;7;0;Centro;42952;37076;5876;1602;-897;2499
7;7;0;Cidade Baixa;14904;12384;2520;-388;-1395;1007
7;7;0;Farroupilha;383;268;115;-88;-197;109
7;7;0;Floresta;10805;9097;1708;-472;-1163;691
7;7;0;Independência;6925;5469;1456;-277;-1010;733
7;7;0;Menino Deus;33925;29286;4639;880;-1073;1953
7;7;0;Moinhos de Vento;11688;9618;2070;-69;-1026;957
7;7;0;Praia de Belas;1402;768;634;34;-368;402
7;7;0;Rio Branco;17692;14935;2757;-144;-1220;1076
7;7;0;Santa Cecília;4492;3291;1201;-341;-1010;669
7;7;0;Santana;21323;18395;2928;-106;-1138;1032
8;8;0;Azenha;13396;10975;2421;-138;232;-370
8;8;0;Bom Fim;10469;8593;1876;5;205;-200
8;8;0;Centro;43142;37273;5869;190;197;-7
8;8;0;Cidade Baixa;15012;12582;2430;108;198;-90
8;8;0;Farroupilha;299;234;65;-84;-34;-50
8;8;0;Floresta;10841;9211;1630;36;114;-78
8;8;0;Independência;6562;5534;1028;-363;65;-428
8;8;0;Menino Deus;34014;29437;4577;89;151;-62
8;8;0;Moinhos de Vento;11463;9660;1803;-225;42;-267
8;8;0;Praia de Belas;1400;934;466;-2;166;-168
8;8;0;Rio Branco;17751;15030;2721;59;95;-36
8;8;0;Santa Cecília;4514;3527;987;22;236;-214
8;8;0;Santana;21626;18480;3146;303;85;218
9;9;0;Azenha;13369;10975;2394;-27;0;-27
9;9;0;Bom Fim;10412;8553;1859;-57;-40;-17
9;9;0;Centro;43372;37265;6107;230;-8;238
9;9;0;Cidade Baixa;15025;12539;2486;13;-43;56
9;9;0;Farroupilha;263;243;20;-36;9;-45
9;9;0;Floresta;10840;9182;1658;-1;-29;28
9;9;0;Independência;6569;5521;1048;7;-13;20
9;9;0;Menino Deus;34184;29450;4734;170;13;157
9;9;0;Moinhos de Vento;11395;9636;1759;-68;-24;-44
9;9;0;Praia de Belas;1312;920;392;-88;-14;-74
9;9;0;Rio Branco;17776;15059;2717;25;29;-4
9;9;0;Santa Cecília;4433;3536;897;-81;9;-90
9;9;0;Santana;21539;18463;3076;-87;-17;-70
10;10;0;Azenha;13373;11080;2293;4;105;-101
10;10;0;Bom Fim;10456;8821;1635;44;268;-224
10;10;0;Centro;43414;37238;6176;42;-27;69
10;10;0;Cidade Baixa;14919;12761;2158;-106;222;-328
10;10;0;Farroupilha;234;234;0;-29;-9;-20
10;10;0;Floresta;10645;9254;1391;-195;72;-267
10;10;0;Independência;6918;5787;1131;349;266;83
10;10;0;Menino Deus;33818;29452;4366;-366;2;-368
10;10;0;Moinhos de Vento;11497;9787;1710;102;151;-49
10;10;0;Praia de Belas;1550;1039;511;238;119;119
10;10;0;Rio Branco;17574;15105;2469;-202;46;-248
10;10;0;Santa Cecília;4620;3722;898;187;186;1
10;10;0;Santana;21471;18667;2804;-68;204;-272
11;11;0;Azenha;13494;12253;1241;121;1173;-1052
11;11;0;Bom Fim;10754;9941;813;298;1120;-822
11;11;0;Centro;42323;37961;4362;-1091;723;-1814
11;11;0;Cidade Baixa;15122;13790;1332;203;1029;-826
11;11;0;Farroupilha;309;309;0;75;75;0
11;11;0;Floresta;11012;10167;845;367;913;-546
11;11;0;Independência;7161;6508;653;243;721;-478
11;11;0;Menino Deus;33113;30218;2895;-705;766;-1471
11;11;0;Moinhos de Vento;11639;10553;1086;142;766;-624
11;11;0;Praia de Belas;1628;1207;421;78;168;-90
11;11;0;Rio Branco;17597;15943;1654;23;838;-815
11;11;0;Santa Cecília;4873;4461;412;253;739;-486
11;11;0;Santana;21464;19406;2058;-7;739;-746
12;12;0;Azenha;13472;11671;1801;-22;-582;560
12;12;0;Bom Fim;10666;9280;1386;-88;-661;573
12;12;0;Centro;44039;37737;6302;1716;-224;1940
12;12;0;Cidade Baixa;14765;13141;1624;-357;-649;292
12;12;0;Farroupilha;290;216;74;-19;-93;74
12;12;0;Floresta;10760;9583;1177;-252;-584;332
12;12;0;Independência;6842;5928;914;-319;-580;261
12;12;0;Menino Deus;33507;29655;3852;394;-563;957
12;12;0;Moinhos de Vento;11486;10138;1348;-153;-415;262
12;12;0;Praia de Belas;1420;993;427;-208;-214;6
12;12;0;Rio Branco;17330;15245;2085;-267;-698;431
12;12;0;Santa Cecília;4617;3840;777;-256;-621;365
12;12;0;Santana;21295;18732;2563;-169;-674;505
13;13;0;Azenha;13340;11663;1677;-132;-8;-124
13;13;0;Bom Fim;10505;9227;1278;-161;-53;-108
13;13;0;Centro;44208;37721;6487;169;-16;185
13;13;0;Cidade Baixa;14776;13057;1719;11;-84;95
13;13;0;Farroupilha;219;214;5;-71;-2;-69
13;13;0;Floresta;10839;9586;1253;79;3;76
13;13;0;Independência;6783;5905;878;-59;-23;-36
13;13;0;Menino Deus;33782;29675;4107;275;20;255
13;13;0;Moinhos de Vento;11476;10090;1386;-10;-48;38
13;13;0;Praia de Belas;1298;967;331;-122;-26;-96
