Simulation Frame;Blob Count
0;2685
1;3196
2;3076
3;2918
4;8918
5;9495
6;8875
7;18200
8;18629
9;19302
10;18640
11;16523
12;17855
13;19796
14;18762
15;20408
16;20467
17;13951
18;12767
19;14142
20;8584
21;7356
22;6406
23;94
24;2671
25;3196
26;3061
27;2905
28;8930
29;9529
30;8893
31;18188
32;18583
33;19289
34;18593
35;16524
36;17898
37;19759
38;18844
39;20418
40;20561
41;14002
42;12791
43;14124
44;8671
45;7351
46;6469
47;94
48;2678
49;3191
50;3067
51;2931
52;8940
53;9507
54;8890
55;18213
56;18592
57;19281
58;18613
59;16567
60;17885
61;19778
62;18867
63;20458
64;20402
65;13933
66;12797
67;14169
68;8620
69;7276
70;6403
71;94
72;2669
73;3182
74;3069
75;2899
76;8931
77;9483
78;8891
79;18230
80;18619
81;19320
82;18634
83;16554
84;17871
85;19819
86;18903
87;20480
88;20533
89;13925
90;12759
91;14099
92;8622
93;7284
94;6406
95;94
96;2693
97;3198
98;3075
99;2939
100;8920
101;9490
102;8898
103;18171
104;18592
105;19305
106;18630
107;16537
108;17861
109;19769
110;18897
111;20436
112;20410
113;13956
114;12754
115;14168
116;8671
117;7340
118;6446
119;94
