Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Aberta dos Morros;7113;7081;32;-33;-65;32
0;0;0;Agronomia;2336;2300;36;5;-31;36
0;0;0;Anchieta;2024;1978;46;0;-46;46
0;0;0;Arquipélago;8336;8292;44;6;-38;44
0;0;0;Auxiliadora;9615;9554;61;-68;-129;61
0;0;0;Azenha;13732;13637;95;-72;-167;95
0;0;0;Bela Vista;11710;11648;62;-77;-139;62
0;0;0;Belém Novo;10085;10070;15;-15;-30;15
0;0;0;Belém Velho;10831;10792;39;-4;-43;39
0;0;0;Boa Vista;10000;9937;63;-53;-116;63
0;0;0;Boa Vista do Sul;2284;2269;15;-25;-40;15
0;0;0;Bom Fim;11472;11430;42;-121;-163;42
0;0;0;Bom Jesus;28644;28586;58;-31;-89;58
0;0;0;Camaquã;17901;17853;48;-37;-85;48
0;0;0;Campo Novo;8751;8709;42;-15;-57;42
0;0;0;Cascata;13005;12956;49;-8;-57;49
0;0;0;Cavalhada;29270;29218;52;-29;-81;52
0;0;0;Centro;39192;39077;115;38;-77;115
0;0;0;Chácara das Pedras;6639;6574;65;-29;-94;65
0;0;0;Chapéu do Sol;2900;2870;30;-13;-43;30
0;0;0;Cidade Baixa;15305;15244;61;-74;-135;61
0;0;0;Coronel Aparício Borges;19271;19212;59;-32;-91;59
0;0;0;Costa e Silva;15836;15782;54;-6;-60;54
0;0;0;Cristal;31929;31879;50;-17;-67;50
0;0;0;Cristo Redentor;16466;16322;144;11;-133;144
0;0;0;Espírito Santo;5585;5537;48;-21;-69;48
0;0;0;Extrema;1977;1968;9;-4;-13;9
0;0;0;Farrapos;19003;18949;54;17;-37;54
0;0;0;Farroupilha;952;809;143;-9;-152;143
0;0;0;Floresta;11543;11480;63;-53;-116;63
0;0;0;Glória;17106;16979;127;39;-88;127
0;0;0;Guarujá;4796;4746;50;-15;-65;50
0;0;0;Higienópolis;10693;10628;65;-31;-96;65
0;0;0;Hípica;18636;18592;44;-9;-53;44
0;0;0;Humaitá;11524;11465;59;22;-37;59
0;0;0;Independência;8137;7978;159;25;-134;159
0;0;0;Ipanema;13712;13662;50;-16;-66;50
0;0;0;Jardim Botânico;12555;12408;147;34;-113;147
0;0;0;Jardim Carvalho;25469;25329;140;83;-57;140
0;0;0;Jardim do Salso;4392;4327;65;-13;-78;65
0;0;0;Jardim Dona Leopoldina;18004;17947;57;-12;-69;57
0;0;0;Jardim Europa;2276;2207;69;-23;-92;69
0;0;0;Jardim Floresta;3292;3225;67;-15;-82;67
0;0;0;Jardim Isabel;2810;2756;54;-25;-79;54
0;0;0;Jardim Itu;17841;17775;66;-12;-78;66
0;0;0;Jardim Lindóia;7400;7331;69;-17;-86;69
0;0;0;Jardim Sabará;13522;13456;66;-8;-74;66
0;0;0;Jardim São Pedro;3946;3877;69;-21;-90;69
0;0;0;Lageado;4486;4452;34;5;-29;34
0;0;0;Lami;4283;4262;21;-6;-27;21
0;0;0;Lomba do Pinheiro;58134;58086;48;28;-20;48
0;0;0;Mário Quintana;38124;38067;57;8;-49;57
0;0;0;Medianeira;11183;11119;64;-40;-104;64
0;0;0;Menino Deus;31711;31547;164;61;-103;164
0;0;0;Moinhos de Vento;11992;11820;172;55;-117;172
0;0;0;MontSerrat;11188;11118;70;-48;-118;70
0;0;0;Morro Santana;19351;19288;63;13;-50;63
0;0;0;Navegantes;4335;4268;67;8;-59;67
0;0;0;Nonoai;25140;25081;59;-20;-79;59
0;0;0;Parque Santa Fé;6372;6313;59;-4;-63;59
0;0;0;Partenon;48146;48078;68;-14;-82;68
0;0;0;Passo DAreia;21948;21876;72;-20;-92;72
0;0;0;Passo das Pedras;15906;15841;65;4;-61;65
0;0;0;Pedra Redonda;253;197;56;-21;-77;56
0;0;0;Petrópolis;37469;37398;71;-27;-98;71
0;0;0;Pitinga;4371;4336;35;19;-16;35
0;0;0;Ponta Grossa;8735;8695;40;13;-27;40
0;0;0;Praia de Belas;2271;2201;70;-10;-80;70
0;0;0;Restinga;53593;53488;105;85;-20;105
0;0;0;Rio Branco;17588;17402;186;57;-129;186
0;0;0;Rubem Berta;33182;33113;69;14;-55;69
0;0;0;Santa Cecília;5837;5649;188;69;-119;188
0;0;0;Santa Maria Goretti;3512;3440;72;3;-69;72
0;0;0;Santa Rosa de Lima;35364;35305;59;31;-28;59
0;0;0;Santa Tereza;39571;39507;64;-6;-70;64
0;0;0;Santana;20803;20610;193;80;-113;193
0;0;0;Santo Antônio;13150;13071;79;-11;-90;79
0;0;0;São Caetano;775;739;36;18;-18;36
0;0;0;São Geraldo;8691;8613;78;10;-68;78
0;0;0;São João;12244;12162;82;18;-64;82
0;0;0;São Sebastião;7027;6955;72;8;-64;72
0;0;0;Sarandi;59734;59663;71;23;-48;71
0;0;0;Serraria;6255;6201;54;16;-38;54
0;0;0;Sétimo Céu;1308;1251;57;-21;-78;57
0;0;0;Teresópolis;14815;14639;176;108;-68;176
0;0;0;Três Figueiras;4072;3992;80;2;-78;80
0;0;0;Tristeza;16669;16613;56;-23;-79;56
0;0;0;Vila Assunção;4532;4382;150;114;-36;150
0;0;0;Vila Conceição;1367;1305;62;18;-44;62
0;0;0;Vila Ipiranga;18664;18584;80;5;-75;80
0;0;0;Vila Jardim;13195;13115;80;6;-74;80
0;0;0;Vila João Pessoa;13055;12979;76;14;-62;76
0;0;0;Vila Nova;32582;32426;156;113;-43;156
0;0;0;Vila São José;26550;26476;74;28;-46;74
1;1;0;Aberta dos Morros;7109;7071;38;-4;-10;6
1;1;0;Agronomia;2324;2286;38;-12;-14;2
1;1;0;Anchieta;2021;1974;47;-3;-4;1
1;1;0;Arquipélago;8342;8286;56;6;-6;12
1;1;0;Auxiliadora;9601;9534;67;-14;-20;6
1;1;0;Azenha;13739;13607;132;7;-30;37
1;1;0;Bela Vista;11702;11630;72;-8;-18;10
1;1;0;Belém Novo;10085;10066;19;0;-4;4
1;1;0;Belém Velho;10827;10777;50;-4;-15;11
1;1;0;Boa Vista;9994;9919;75;-6;-18;12
1;1;0;Boa Vista do Sul;2281;2264;17;-3;-5;2
1;1;0;Bom Fim;11445;11404;41;-27;-26;-1
1;1;0;Bom Jesus;28661;28568;93;17;-18;35
1;1;0;Camaquã;17905;17832;73;4;-21;25
1;1;0;Campo Novo;8745;8696;49;-6;-13;7
1;1;0;Cascata;13003;12935;68;-2;-21;19
1;1;0;Cavalhada;29281;29196;85;11;-22;33
1;1;0;Centro;39285;39072;213;93;-5;98
1;1;0;Chácara das Pedras;6615;6545;70;-24;-29;5
1;1;0;Chapéu do Sol;2890;2857;33;-10;-13;3
1;1;0;Cidade Baixa;15299;15228;71;-6;-16;10
1;1;0;Coronel Aparício Borges;19258;19182;76;-13;-30;17
1;1;0;Costa e Silva;15822;15751;71;-14;-31;17
1;1;0;Cristal;31955;31866;89;26;-13;39
1;1;0;Cristo Redentor;16492;16309;183;26;-13;39
1;1;0;Espírito Santo;5568;5515;53;-17;-22;5
1;1;0;Extrema;1975;1965;10;-2;-3;1
1;1;0;Farrapos;19022;18943;79;19;-6;25
1;1;0;Farroupilha;902;776;126;-50;-33;-17
1;1;0;Floresta;11531;11460;71;-12;-20;8
1;1;0;Glória;17098;16947;151;-8;-32;24
1;1;0;Guarujá;4792;4737;55;-4;-9;5
1;1;0;Higienópolis;10694;10611;83;1;-17;18
1;1;0;Hípica;18634;18575;59;-2;-17;15
1;1;0;Humaitá;11527;11456;71;3;-9;12
1;1;0;Independência;8112;7951;161;-25;-27;2
1;1;0;Ipanema;13714;13650;64;2;-12;14
1;1;0;Jardim Botânico;12544;12379;165;-11;-29;18
1;1;0;Jardim Carvalho;25504;25311;193;35;-18;53
1;1;0;Jardim do Salso;4366;4298;68;-26;-29;3
1;1;0;Jardim Dona Leopoldina;17995;17911;84;-9;-36;27
1;1;0;Jardim Europa;2251;2182;69;-25;-25;0
1;1;0;Jardim Floresta;3278;3208;70;-14;-17;3
1;1;0;Jardim Isabel;2797;2740;57;-13;-16;3
1;1;0;Jardim Itu;17828;17739;89;-13;-36;23
1;1;0;Jardim Lindóia;7389;7311;78;-11;-20;9
1;1;0;Jardim Sabará;13514;13426;88;-8;-30;22
1;1;0;Jardim São Pedro;3928;3855;73;-18;-22;4
1;1;0;Lageado;4481;4445;36;-5;-7;2
1;1;0;Lami;4280;4258;22;-3;-4;1
1;1;0;Lomba do Pinheiro;58180;58081;99;46;-5;51
1;1;0;Mário Quintana;38151;38048;103;27;-19;46
1;1;0;Medianeira;11161;11090;71;-22;-29;7
1;1;0;Menino Deus;31761;31526;235;50;-21;71
1;1;0;Moinhos de Vento;11993;11797;196;1;-23;24
1;1;0;MontSerrat;11176;11093;83;-12;-25;13
1;1;0;Morro Santana;19355;19268;87;4;-20;24
1;1;0;Navegantes;4325;4253;72;-10;-15;5
1;1;0;Nonoai;25142;25056;86;2;-25;27
1;1;0;Parque Santa Fé;6343;6276;67;-29;-37;8
1;1;0;Partenon;48197;48056;141;51;-22;73
1;1;0;Passo DAreia;21968;21859;109;20;-17;37
1;1;0;Passo das Pedras;15899;15813;86;-7;-28;21
1;1;0;Pedra Redonda;238;183;55;-15;-14;-1
1;1;0;Petrópolis;37509;37383;126;40;-15;55
1;1;0;Pitinga;4364;4327;37;-7;-9;2
1;1;0;Ponta Grossa;8730;8687;43;-5;-8;3
1;1;0;Praia de Belas;2241;2174;67;-30;-27;-3
1;1;0;Restinga;53672;53483;189;79;-5;84
1;1;0;Rio Branco;17593;17372;221;5;-30;35
1;1;0;Rubem Berta;33196;33084;112;14;-29;43
1;1;0;Santa Cecília;5809;5621;188;-28;-28;0
1;1;0;Santa Maria Goretti;3498;3422;76;-14;-18;4
1;1;0;Santa Rosa de Lima;35385;35291;94;21;-14;35
1;1;0;Santa Tereza;39601;39489;112;30;-18;48
1;1;0;Santana;20816;20583;233;13;-27;40
1;1;0;Santo Antônio;13126;13032;94;-24;-39;15
1;1;0;São Caetano;769;733;36;-6;-6;0
1;1;0;São Geraldo;8681;8591;90;-10;-22;12
1;1;0;São João;12249;12146;103;5;-16;21
1;1;0;São Sebastião;7013;6930;83;-14;-25;11
1;1;0;Sarandi;59794;59647;147;60;-16;76
1;1;0;Serraria;6247;6188;59;-8;-13;5
1;1;0;Sétimo Céu;1292;1236;56;-16;-15;-1
1;1;0;Teresópolis;14807;14613;194;-8;-26;18
1;1;0;Três Figueiras;4060;3975;85;-12;-17;5
1;1;0;Tristeza;16674;16598;76;5;-15;20
1;1;0;Vila Assunção;4517;4367;150;-15;-15;0
1;1;0;Vila Conceição;1361;1299;62;-6;-6;0
1;1;0;Vila Ipiranga;18657;18551;106;-7;-33;26
1;1;0;Vila Jardim;13179;13085;94;-16;-30;14
1;1;0;Vila João Pessoa;13033;12946;87;-22;-33;11
1;1;0;Vila Nova;32628;32414;214;46;-12;58
1;1;0;Vila São José;26556;26450;106;6;-26;32
2;2;0;Aberta dos Morros;7106;7068;38;-3;-3;0
2;2;0;Agronomia;2340;2301;39;16;15;1
2;2;0;Anchieta;2027;1978;49;6;4;2
2;2;0;Arquipélago;8335;8284;51;-7;-2;-5
2;2;0;Auxiliadora;9606;9551;55;5;17;-12
2;2;0;Azenha;13776;13643;133;37;36;1
2;2;0;Bela Vista;11694;11638;56;-8;8;-16
2;2;0;Belém Novo;10088;10067;21;3;1;2
2;2;0;Belém Velho;10830;10780;50;3;3;0
2;2;0;Boa Vista;10003;9936;67;9;17;-8
2;2;0;Boa Vista do Sul;2282;2266;16;1;2;-1
2;2;0;Bom Fim;11449;11427;22;4;23;-19
2;2;0;Bom Jesus;28662;28586;76;1;18;-17
2;2;0;Camaquã;17917;17849;68;12;17;-5
2;2;0;Campo Novo;8749;8697;52;4;1;3
2;2;0;Cascata;13001;12939;62;-2;4;-6
2;2;0;Cavalhada;29282;29206;76;1;10;-9
2;2;0;Centro;39314;39084;230;29;12;17
2;2;0;Chácara das Pedras;6619;6562;57;4;17;-13
2;2;0;Chapéu do Sol;2895;2862;33;5;5;0
2;2;0;Cidade Baixa;15302;15244;58;3;16;-13
2;2;0;Coronel Aparício Borges;19267;19201;66;9;19;-10
2;2;0;Costa e Silva;15843;15773;70;21;22;-1
2;2;0;Cristal;31958;31873;85;3;7;-4
2;2;0;Cristo Redentor;16475;16321;154;-17;12;-29
2;2;0;Espírito Santo;5570;5519;51;2;4;-2
2;2;0;Extrema;1977;1966;11;2;1;1
2;2;0;Farrapos;19024;18944;80;2;1;1
2;2;0;Farroupilha;923;808;115;21;32;-11
2;2;0;Floresta;11532;11476;56;1;16;-15
2;2;0;Glória;17113;16951;162;15;4;11
2;2;0;Guarujá;4790;4737;53;-2;0;-2
2;2;0;Higienópolis;10690;10614;76;-4;3;-7
2;2;0;Hípica;18641;18584;57;7;9;-2
2;2;0;Humaitá;11527;11455;72;0;-1;1
2;2;0;Independência;8122;7971;151;10;20;-10
2;2;0;Ipanema;13721;13654;67;7;4;3
2;2;0;Jardim Botânico;12552;12402;150;8;23;-15
2;2;0;Jardim Carvalho;25487;25311;176;-17;0;-17
2;2;0;Jardim do Salso;4375;4312;63;9;14;-5
2;2;0;Jardim Dona Leopoldina;18009;17942;67;14;31;-17
2;2;0;Jardim Europa;2256;2192;64;5;10;-5
