Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Aberta dos Morros;7114;7082;32;-32;-64;32
0;0;0;Agronomia;2336;2300;36;5;-31;36
0;0;0;Anchieta;2021;1974;47;-3;-50;47
0;0;0;Arquipélago;8335;8293;42;5;-37;42
0;0;0;Auxiliadora;9617;9556;61;-66;-127;61
0;0;0;Azenha;13734;13638;96;-70;-166;96
0;0;0;Bela Vista;11711;11649;62;-76;-138;62
0;0;0;Belém Novo;10085;10070;15;-15;-30;15
0;0;0;Belém Velho;10831;10791;40;-4;-44;40
0;0;0;Boa Vista;9999;9936;63;-54;-117;63
0;0;0;Boa Vista do Sul;2284;2269;15;-25;-40;15
0;0;0;Bom Fim;11470;11429;41;-123;-164;41
0;0;0;Bom Jesus;28644;28586;58;-31;-89;58
0;0;0;Camaquã;17901;17853;48;-37;-85;48
0;0;0;Campo Novo;8749;8708;41;-17;-58;41
0;0;0;Cascata;13005;12956;49;-8;-57;49
0;0;0;Cavalhada;29269;29217;52;-30;-82;52
0;0;0;Centro;39190;39074;116;36;-80;116
0;0;0;Chácara das Pedras;6639;6574;65;-29;-94;65
0;0;0;Chapéu do Sol;2900;2870;30;-13;-43;30
0;0;0;Cidade Baixa;15305;15244;61;-74;-135;61
0;0;0;Coronel Aparício Borges;19271;19212;59;-32;-91;59
0;0;0;Costa e Silva;15833;15779;54;-9;-63;54
0;0;0;Cristal;31929;31879;50;-17;-67;50
0;0;0;Cristo Redentor;16467;16324;143;12;-131;143
0;0;0;Espírito Santo;5585;5539;46;-21;-67;46
0;0;0;Extrema;1977;1968;9;-4;-13;9
0;0;0;Farrapos;19002;18949;53;16;-37;53
0;0;0;Farroupilha;955;816;139;-6;-145;139
0;0;0;Floresta;11544;11480;64;-52;-116;64
0;0;0;Glória;17105;16979;126;38;-88;126
0;0;0;Guarujá;4797;4748;49;-14;-63;49
0;0;0;Higienópolis;10693;10628;65;-31;-96;65
0;0;0;Hípica;18635;18594;41;-10;-51;41
0;0;0;Humaitá;11524;11464;60;22;-38;60
0;0;0;Independência;8139;7980;159;27;-132;159
0;0;0;Ipanema;13710;13662;48;-18;-66;48
0;0;0;Jardim Botânico;12553;12406;147;32;-115;147
0;0;0;Jardim Carvalho;25466;25328;138;80;-58;138
0;0;0;Jardim do Salso;4394;4328;66;-11;-77;66
0;0;0;Jardim Dona Leopoldina;18007;17948;59;-9;-68;59
0;0;0;Jardim Europa;2273;2204;69;-26;-95;69
0;0;0;Jardim Floresta;3295;3226;69;-12;-81;69
0;0;0;Jardim Isabel;2811;2757;54;-24;-78;54
0;0;0;Jardim Itu;17841;17776;65;-12;-77;65
0;0;0;Jardim Lindóia;7402;7333;69;-15;-84;69
0;0;0;Jardim Sabará;13521;13455;66;-9;-75;66
0;0;0;Jardim São Pedro;3949;3878;71;-18;-89;71
0;0;0;Lageado;4485;4451;34;4;-30;34
0;0;0;Lami;4284;4262;22;-5;-27;22
0;0;0;Lomba do Pinheiro;58134;58086;48;28;-20;48
0;0;0;Mário Quintana;38124;38068;56;8;-48;56
0;0;0;Medianeira;11186;11122;64;-37;-101;64
0;0;0;Menino Deus;31704;31543;161;54;-107;161
0;0;0;Moinhos de Vento;11993;11821;172;56;-116;172
0;0;0;MontSerrat;11188;11118;70;-48;-118;70
0;0;0;Morro Santana;19351;19288;63;13;-50;63
0;0;0;Navegantes;4337;4269;68;10;-58;68
0;0;0;Nonoai;25141;25081;60;-19;-79;60
0;0;0;Parque Santa Fé;6373;6314;59;-3;-62;59
0;0;0;Partenon;48147;48078;69;-13;-82;69
0;0;0;Passo DAreia;21947;21876;71;-21;-92;71
0;0;0;Passo das Pedras;15907;15842;65;5;-60;65
0;0;0;Pedra Redonda;254;196;58;-20;-78;58
0;0;0;Petrópolis;37466;37396;70;-30;-100;70
0;0;0;Pitinga;4373;4337;36;21;-15;36
0;0;0;Ponta Grossa;8735;8695;40;13;-27;40
0;0;0;Praia de Belas;2271;2203;68;-10;-78;68
0;0;0;Restinga;53592;53487;105;84;-21;105
0;0;0;Rio Branco;17589;17402;187;58;-129;187
0;0;0;Rubem Berta;33182;33113;69;14;-55;69
0;0;0;Santa Cecília;5836;5649;187;68;-119;187
0;0;0;Santa Maria Goretti;3513;3439;74;4;-70;74
0;0;0;Santa Rosa de Lima;35364;35305;59;31;-28;59
0;0;0;Santa Tereza;39571;39507;64;-6;-70;64
0;0;0;Santana;20804;20609;195;81;-114;195
0;0;0;Santo Antônio;13150;13071;79;-11;-90;79
0;0;0;São Caetano;775;739;36;18;-18;36
0;0;0;São Geraldo;8691;8613;78;10;-68;78
0;0;0;São João;12244;12162;82;18;-64;82
0;0;0;São Sebastião;7028;6954;74;9;-65;74
0;0;0;Sarandi;59734;59663;71;23;-48;71
0;0;0;Serraria;6255;6202;53;16;-37;53
0;0;0;Sétimo Céu;1307;1251;56;-22;-78;56
0;0;0;Teresópolis;14818;14641;177;111;-66;177
0;0;0;Três Figueiras;4070;3988;82;0;-82;82
0;0;0;Tristeza;16671;16614;57;-21;-78;57
0;0;0;Vila Assunção;4530;4380;150;112;-38;150
0;0;0;Vila Conceição;1367;1305;62;18;-44;62
0;0;0;Vila Ipiranga;18662;18582;80;3;-77;80
0;0;0;Vila Jardim;13195;13115;80;6;-74;80
0;0;0;Vila João Pessoa;13054;12978;76;13;-63;76
0;0;0;Vila Nova;32583;32427;156;114;-42;156
0;0;0;Vila São José;26549;26474;75;27;-48;75
1;1;0;Aberta dos Morros;7108;7071;37;-6;-11;5
1;1;0;Agronomia;2324;2286;38;-12;-14;2
1;1;0;Anchieta;2018;1970;48;-3;-4;1
1;1;0;Arquipélago;8341;8287;54;6;-6;12
1;1;0;Auxiliadora;9603;9536;67;-14;-20;6
1;1;0;Azenha;13741;13607;134;7;-31;38
1;1;0;Bela Vista;11703;11630;73;-8;-19;11
1;1;0;Belém Novo;10085;10066;19;0;-4;4
1;1;0;Belém Velho;10827;10777;50;-4;-14;10
1;1;0;Boa Vista;9993;9918;75;-6;-18;12
1;1;0;Boa Vista do Sul;2281;2264;17;-3;-5;2
1;1;0;Bom Fim;11443;11403;40;-27;-26;-1
1;1;0;Bom Jesus;28660;28565;95;16;-21;37
1;1;0;Camaquã;17905;17832;73;4;-21;25
1;1;0;Campo Novo;8744;8695;49;-5;-13;8
1;1;0;Cascata;13003;12935;68;-2;-21;19
1;1;0;Cavalhada;29279;29195;84;10;-22;32
1;1;0;Centro;39283;39070;213;93;-4;97
1;1;0;Chácara das Pedras;6616;6546;70;-23;-28;5
1;1;0;Chapéu do Sol;2890;2857;33;-10;-13;3
1;1;0;Cidade Baixa;15299;15228;71;-6;-16;10
1;1;0;Coronel Aparício Borges;19258;19183;75;-13;-29;16
1;1;0;Costa e Silva;15819;15748;71;-14;-31;17
1;1;0;Cristal;31954;31867;87;25;-12;37
1;1;0;Cristo Redentor;16493;16309;184;26;-15;41
1;1;0;Espírito Santo;5568;5517;51;-17;-22;5
1;1;0;Extrema;1975;1965;10;-2;-3;1
1;1;0;Farrapos;19021;18943;78;19;-6;25
1;1;0;Farroupilha;905;782;123;-50;-34;-16
1;1;0;Floresta;11532;11460;72;-12;-20;8
1;1;0;Glória;17097;16948;149;-8;-31;23
1;1;0;Guarujá;4793;4739;54;-4;-9;5
1;1;0;Higienópolis;10694;10611;83;1;-17;18
1;1;0;Hípica;18633;18577;56;-2;-17;15
1;1;0;Humaitá;11527;11455;72;3;-9;12
1;1;0;Independência;8114;7954;160;-25;-26;1
1;1;0;Ipanema;13712;13649;63;2;-13;15
1;1;0;Jardim Botânico;12542;12376;166;-11;-30;19
1;1;0;Jardim Carvalho;25501;25311;190;35;-17;52
1;1;0;Jardim do Salso;4367;4298;69;-27;-30;3
1;1;0;Jardim Dona Leopoldina;17998;17913;85;-9;-35;26
1;1;0;Jardim Europa;2248;2179;69;-25;-25;0
1;1;0;Jardim Floresta;3281;3209;72;-14;-17;3
1;1;0;Jardim Isabel;2798;2742;56;-13;-15;2
1;1;0;Jardim Itu;17828;17739;89;-13;-37;24
1;1;0;Jardim Lindóia;7391;7312;79;-11;-21;10
1;1;0;Jardim Sabará;13513;13426;87;-8;-29;21
1;1;0;Jardim São Pedro;3931;3855;76;-18;-23;5
1;1;0;Lageado;4480;4444;36;-5;-7;2
1;1;0;Lami;4281;4258;23;-3;-4;1
1;1;0;Lomba do Pinheiro;58180;58081;99;46;-5;51
1;1;0;Mário Quintana;38151;38049;102;27;-19;46
1;1;0;Medianeira;11164;11093;71;-22;-29;7
1;1;0;Menino Deus;31754;31522;232;50;-21;71
1;1;0;Moinhos de Vento;11994;11797;197;1;-24;25
1;1;0;MontSerrat;11176;11093;83;-12;-25;13
1;1;0;Morro Santana;19355;19268;87;4;-20;24
1;1;0;Navegantes;4327;4254;73;-10;-15;5
1;1;0;Nonoai;25143;25056;87;2;-25;27
1;1;0;Parque Santa Fé;6343;6277;66;-30;-37;7
1;1;0;Partenon;48198;48056;142;51;-22;73
1;1;0;Passo DAreia;21967;21860;107;20;-16;36
1;1;0;Passo das Pedras;15901;15815;86;-6;-27;21
1;1;0;Pedra Redonda;239;185;54;-15;-11;-4
1;1;0;Petrópolis;37509;37381;128;43;-15;58
1;1;0;Pitinga;4366;4328;38;-7;-9;2
1;1;0;Ponta Grossa;8730;8687;43;-5;-8;3
1;1;0;Praia de Belas;2241;2173;68;-30;-30;0
1;1;0;Restinga;53671;53482;189;79;-5;84
1;1;0;Rio Branco;17594;17373;221;5;-29;34
1;1;0;Rubem Berta;33196;33084;112;14;-29;43
1;1;0;Santa Cecília;5808;5621;187;-28;-28;0
1;1;0;Santa Maria Goretti;3499;3421;78;-14;-18;4
1;1;0;Santa Rosa de Lima;35385;35291;94;21;-14;35
1;1;0;Santa Tereza;39601;39488;113;30;-19;49
1;1;0;Santana;20817;20582;235;13;-27;40
1;1;0;Santo Antônio;13126;13032;94;-24;-39;15
1;1;0;São Caetano;769;733;36;-6;-6;0
1;1;0;São Geraldo;8681;8591;90;-10;-22;12
1;1;0;São João;12249;12146;103;5;-16;21
1;1;0;São Sebastião;7014;6930;84;-14;-24;10
1;1;0;Sarandi;59794;59647;147;60;-16;76
1;1;0;Serraria;6248;6190;58;-7;-12;5
1;1;0;Sétimo Céu;1291;1235;56;-16;-16;0
1;1;0;Teresópolis;14810;14614;196;-8;-27;19
1;1;0;Três Figueiras;4057;3970;87;-13;-18;5
1;1;0;Tristeza;16676;16599;77;5;-15;20
1;1;0;Vila Assunção;4517;4367;150;-13;-13;0
1;1;0;Vila Conceição;1361;1299;62;-6;-6;0
1;1;0;Vila Ipiranga;18655;18550;105;-7;-32;25
1;1;0;Vila Jardim;13178;13084;94;-17;-31;14
1;1;0;Vila João Pessoa;13032;12944;88;-22;-34;12
1;1;0;Vila Nova;32629;32415;214;46;-12;58
1;1;0;Vila São José;26555;26448;107;6;-26;32
2;2;0;Aberta dos Morros;7107;7070;37;-1;-1;0
2;2;0;Agronomia;2337;2299;38;13;13;0
2;2;0;Anchieta;2024;1974;50;6;4;2
2;2;0;Arquipélago;8339;8287;52;-2;0;-2
2;2;0;Auxiliadora;9607;9552;55;4;16;-12
2;2;0;Azenha;13778;13650;128;37;43;-6
2;2;0;Bela Vista;11700;11643;57;-3;13;-16
2;2;0;Belém Novo;10088;10067;21;3;1;2
2;2;0;Belém Velho;10832;10781;51;5;4;1
2;2;0;Boa Vista;10001;9934;67;8;16;-8
2;2;0;Boa Vista do Sul;2282;2266;16;1;2;-1
2;2;0;Bom Fim;11446;11425;21;3;22;-19
2;2;0;Bom Jesus;28660;28584;76;0;19;-19
2;2;0;Camaquã;17918;17850;68;13;18;-5
2;2;0;Campo Novo;8747;8695;52;3;0;3
2;2;0;Cascata;12999;12938;61;-4;3;-7
2;2;0;Cavalhada;29288;29212;76;9;17;-8
2;2;0;Centro;39313;39084;229;30;14;16
2;2;0;Chácara das Pedras;6620;6562;58;4;16;-12
2;2;0;Chapéu do Sol;2898;2865;33;8;8;0
2;2;0;Cidade Baixa;15304;15245;59;5;17;-12
2;2;0;Coronel Aparício Borges;19265;19199;66;7;16;-9
2;2;0;Costa e Silva;15837;15768;69;18;20;-2
2;2;0;Cristal;31957;31872;85;3;5;-2
2;2;0;Cristo Redentor;16478;16322;156;-15;13;-28
2;2;0;Espírito Santo;5573;5522;51;5;5;0
2;2;0;Extrema;1974;1963;11;-1;-2;1
2;2;0;Farrapos;19023;18944;79;2;1;1
2;2;0;Farroupilha;924;809;115;19;27;-8
2;2;0;Floresta;11532;11475;57;0;15;-15
2;2;0;Glória;17112;16949;163;15;1;14
2;2;0;Guarujá;4789;4737;52;-4;-2;-2
2;2;0;Higienópolis;10689;10613;76;-5;2;-7
2;2;0;Hípica;18643;18588;55;10;11;-1
2;2;0;Humaitá;11527;11455;72;0;0;0
2;2;0;Independência;8123;7971;152;9;17;-8
2;2;0;Ipanema;13715;13650;65;3;1;2
2;2;0;Jardim Botânico;12553;12406;147;11;30;-19
2;2;0;Jardim Carvalho;25484;25311;173;-17;0;-17
2;2;0;Jardim do Salso;4374;4311;63;7;13;-6
2;2;0;Jardim Dona Leopoldina;18011;17944;67;13;31;-18
2;2;0;Jardim Europa;2253;2189;64;5;10;-5
2;2;0;Jardim Floresta;3290;3218;72;9;9;0
2;2;0;Jardim Isabel;2800;2746;54;2;4;-2
2;2;0;Jardim Itu;17837;17759;78;9;20;-11
2;2;0;Jardim Lindóia;7392;7323;69;1;11;-10
2;2;0;Jardim Sabará;13517;13437;80;4;11;-7
2;2;0;Jardim São Pedro;3938;3867;71;7;12;-5
2;2;0;Lageado;4483;4447;36;3;3;0
2;2;0;Lami;4284;4259;25;3;1;2
2;2;0;Lomba do Pinheiro;58158;58081;77;-22;0;-22
2;2;0;Mário Quintana;38147;38060;87;-4;11;-15
2;2;0;Medianeira;11158;11103;55;-6;10;-16
2;2;0;Menino Deus;31741;31540;201;-13;18;-31
2;2;0;Moinhos de Vento;11985;11814;171;-9;17;-26
2;2;0;MontSerrat;11185;11114;71;9;21;-12
2;2;0;Morro Santana;19356;19268;88;1;0;1
2;2;0;Navegantes;4323;4252;71;-4;-2;-2
2;2;0;Nonoai;25146;25063;83;3;7;-4
2;2;0;Parque Santa Fé;6349;6291;58;6;14;-8
2;2;0;Partenon;48173;48067;106;-25;11;-36
2;2;0;Passo DAreia;21974;21870;104;7;10;-3
2;2;0;Passo das Pedras;15901;15823;78;0;8;-8
2;2;0;Pedra Redonda;239;189;50;0;4;-4
2;2;0;Petrópolis;37489;37386;103;-20;5;-25
2;2;0;Pitinga;4374;4333;41;8;5;3
2;2;0;Ponta Grossa;8733;8686;47;3;-1;4
2;2;0;Praia de Belas;2246;2187;59;5;14;-9
2;2;0;Restinga;53642;53480;162;-29;-2;-27
2;2;0;Rio Branco;17575;17378;197;-19;5;-24
2;2;0;Rubem Berta;33183;33103;80;-13;19;-32
2;2;0;Santa Cecília;5798;5625;173;-10;4;-14
2;2;0;Santa Maria Goretti;3501;3422;79;2;1;1
2;2;0;Santa Rosa de Lima;35388;35293;95;3;2;1
2;2;0;Santa Tereza;39584;39488;96;-17;0;-17
2;2;0;Santana;20805;20583;222;-12;1;-13
2;2;0;Santo Antônio;13109;13041;68;-17;9;-26
2;2;0;São Caetano;766;730;36;-3;-3;0
2;2;0;São Geraldo;8679;8596;83;-2;5;-7
2;2;0;São João;12241;12145;96;-8;-1;-7
2;2;0;São Sebastião;7015;6939;76;1;9;-8
2;2;0;Sarandi;59758;59647;111;-36;0;-36
2;2;0;Serraria;6248;6190;58;0;0;0
2;2;0;Sétimo Céu;1298;1242;56;7;7;0
2;2;0;Teresópolis;14799;14613;186;-11;-1;-10
2;2;0;Três Figueiras;4058;3971;87;1;1;0
2;2;0;Tristeza;16678;16606;72;2;7;-5
2;2;0;Vila Assunção;4505;4361;144;-12;-6;-6
2;2;0;Vila Conceição;1362;1299;63;1;0;1
2;2;0;Vila Ipiranga;18651;18559;92;-4;9;-13
2;2;0;Vila Jardim;13176;13087;89;-2;3;-5
2;2;0;Vila João Pessoa;13035;12958;77;3;14;-11
2;2;0;Vila Nova;32602;32412;190;-27;-3;-24
2;2;0;Vila São José;26553;26453;100;-2;5;-7
3;3;0;Aberta dos Morros;7105;7067;38;-2;-3;1
3;3;0;Agronomia;2340;2303;37;3;4;-1
3;3;0;Anchieta;2028;1978;50;4;4;0
3;3;0;Arquipélago;8341;8288;53;2;1;1
3;3;0;Auxiliadora;9615;9573;42;8;21;-13
3;3;0;Azenha;13807;13685;122;29;35;-6
3;3;0;Bela Vista;11702;11666;36;2;23;-21
3;3;0;Belém Novo;10088;10068;20;0;1;-1
3;3;0;Belém Velho;10840;10789;51;8;8;0
3;3;0;Boa Vista;10006;9954;52;5;20;-15
3;3;0;Boa Vista do Sul;2281;2266;15;-1;0;-1
3;3;0;Bom Fim;11460;11443;17;14;18;-4
3;3;0;Bom Jesus;28669;28603;66;9;19;-10
3;3;0;Camaquã;17922;17870;52;4;20;-16
3;3;0;Campo Novo;8749;8700;49;2;5;-3
3;3;0;Cascata;13002;12950;52;3;12;-9
3;3;0;Cavalhada;29296;29230;66;8;18;-10
3;3;0;Centro;39281;39086;195;-32;2;-34
3;3;0;Chácara das Pedras;6630;6583;47;10;21;-11
3;3;0;Chapéu do Sol;2901;2868;33;3;3;0
3;3;0;Cidade Baixa;15289;15257;32;-15;12;-27
3;3;0;Coronel Aparício Borges;19256;19222;34;-9;23;-32
3;3;0;Costa e Silva;15839;15792;47;2;24;-22
3;3;0;Cristal;31942;31884;58;-15;12;-27
3;3;0;Cristo Redentor;16507;16358;149;29;36;-7
3;3;0;Espírito Santo;5575;5527;48;2;5;-3
3;3;0;Extrema;1978;1966;12;4;3;1
3;3;0;Farrapos;19020;18946;74;-3;2;-5
3;3;0;Farroupilha;943;835;108;19;26;-7
3;3;0;Floresta;11537;11494;43;5;19;-14
3;3;0;Glória;17126;16978;148;14;29;-15
3;3;0;Guarujá;4790;4738;52;1;1;0
3;3;0;Higienópolis;10690;10624;66;1;11;-10
3;3;0;Hípica;18639;18589;50;-4;1;-5
3;3;0;Humaitá;11527;11457;70;0;2;-2
3;3;0;Independência;8134;7991;143;11;20;-9
3;3;0;Ipanema;13723;13658;65;8;8;0
3;3;0;Jardim Botânico;12556;12427;129;3;21;-18
3;3;0;Jardim Carvalho;25523;25336;187;39;25;14
3;3;0;Jardim do Salso;4375;4327;48;1;16;-15
3;3;0;Jardim Dona Leopoldina;18012;17969;43;1;25;-24
3;3;0;Jardim Europa;2264;2212;52;11;23;-12
3;3;0;Jardim Floresta;3297;3232;65;7;14;-7
3;3;0;Jardim Isabel;2805;2750;55;5;4;1
3;3;0;Jardim Itu;17821;17773;48;-16;14;-30
3;3;0;Jardim Lindóia;7402;7342;60;10;19;-9
3;3;0;Jardim Sabará;13511;13456;55;-6;19;-25
3;3;0;Jardim São Pedro;3943;3881;62;5;14;-9
3;3;0;Lageado;4483;4447;36;0;0;0
3;3;0;Lami;4285;4261;24;1;2;-1
3;3;0;Lomba do Pinheiro;58168;58083;85;10;2;8
3;3;0;Mário Quintana;38142;38077;65;-5;17;-22
3;3;0;Medianeira;11152;11116;36;-6;13;-19
3;3;0;Menino Deus;31755;31558;197;14;18;-4
3;3;0;Moinhos de Vento;11985;11822;163;0;8;-8
3;3;0;MontSerrat;11175;11122;53;-10;8;-18
3;3;0;Morro Santana;19350;19281;69;-6;13;-19
3;3;0;Navegantes;4328;4256;72;5;4;1
3;3;0;Nonoai;25126;25079;47;-20;16;-36
3;3;0;Parque Santa Fé;6370;6323;47;21;32;-11
3;3;0;Partenon;48168;48079;89;-5;12;-17
3;3;0;Passo DAreia;21960;21879;81;-14;9;-23
3;3;0;Passo das Pedras;15892;15838;54;-9;15;-24
3;3;0;Pedra Redonda;238;192;46;-1;3;-4
3;3;0;Petrópolis;37478;37393;85;-11;7;-18
3;3;0;Pitinga;4377;4334;43;3;1;2
3;3;0;Ponta Grossa;8733;8686;47;0;0;0
3;3;0;Praia de Belas;2252;2205;47;6;18;-12
3;3;0;Restinga;53622;53480;142;-20;0;-20
3;3;0;Rio Branco;17587;17402;185;12;24;-12
3;3;0;Rubem Berta;33163;33117;46;-20;14;-34
3;3;0;Santa Cecília;5795;5644;151;-3;19;-22
3;3;0;Santa Maria Goretti;3502;3430;72;1;8;-7
3;3;0;Santa Rosa de Lima;35366;35296;70;-22;3;-25
3;3;0;Santa Tereza;39572;39501;71;-12;13;-25
3;3;0;Santana;20794;20595;199;-11;12;-23
3;3;0;Santo Antônio;13098;13060;38;-11;19;-30
3;3;0;São Caetano;770;734;36;4;4;0
3;3;0;São Geraldo;8676;8606;70;-3;10;-13
3;3;0;São João;12242;12156;86;1;11;-10
3;3;0;São Sebastião;7011;6949;62;-4;10;-14
3;3;0;Sarandi;59747;59656;91;-11;9;-20
3;3;0;Serraria;6248;6190;58;0;0;0
3;3;0;Sétimo Céu;1306;1252;54;8;10;-2
