Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;3;5;3;4;5;3;4;3;4;3;4;4;4
1;4;5;14;4;5;3;4;7;4;3;4;4;5
2;4;5;14;4;5;3;4;10;4;3;7;4;7
3;4;5;14;4;5;3;4;10;4;3;7;4;7
4;6;5;14;4;5;3;4;12;5;3;7;4;7
5;6;5;14;8;5;5;4;12;5;3;8;4;9
6;6;5;14;8;5;5;4;12;5;3;8;4;9
7;8;5;14;10;5;5;4;12;6;3;9;4;9
8;12;11;14;13;5;10;7;14;8;3;12;4;14
9;12;11;14;13;5;10;8;14;11;3;13;4;14
10;12;11;14;14;5;10;8;14;12;3;14;4;14
11;12;11;14;14;5;10;8;14;12;3;14;4;14
12;12;12;14;14;5;10;8;14;12;3;14;4;14
13;14;12;14;14;5;10;10;14;12;3;14;6;14
14;14;12;14;14;5;13;10;14;12;3;14;6;14
15;14;14;14;14;5;14;12;14;14;3;14;8;14
16;14;14;14;14;5;14;14;14;14;3;14;11;14
17;14;14;14;14;5;14;14;14;14;3;14;11;14
18;14;14;14;14;5;14;14;14;14;3;14;11;14
19;14;14;14;14;5;14;14;14;14;3;14;11;14
20;14;14;14;14;5;14;14;14;14;3;14;11;14
21;14;14;14;14;5;14;14;14;14;3;14;11;14
22;14;14;14;14;5;14;14;14;14;3;14;11;14
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;3;5;3;4;5;3;4;3;4;3;4;4;4
25;4;5;14;4;5;3;4;7;4;3;4;4;5
26;4;5;14;4;5;3;4;10;4;3;7;4;7
27;4;5;14;4;5;3;4;10;4;3;7;4;7
28;6;5;14;4;5;3;4;12;5;3;7;4;7
29;6;5;14;8;5;5;4;12;5;3;8;4;9
30;6;5;14;8;5;5;4;12;5;3;8;4;9
31;8;5;14;10;5;5;4;12;6;3;9;4;9
32;12;11;14;13;5;10;7;14;8;3;12;4;14
33;12;11;14;13;5;10;8;14;11;3;13;4;14
34;12;11;14;14;5;10;8;14;12;3;14;4;14
35;12;11;14;14;5;10;8;14;12;3;14;4;14
36;12;12;14;14;5;10;8;14;12;3;14;4;14
37;14;12;14;14;5;10;10;14;12;3;14;6;14
38;14;12;14;14;5;13;10;14;12;3;14;6;14
39;14;14;14;14;5;14;12;14;14;3;14;8;14
40;14;14;14;14;5;14;14;14;14;3;14;11;14
41;14;14;14;14;5;14;14;14;14;3;14;11;14
42;14;14;14;14;5;14;14;14;14;3;14;11;14
43;14;14;14;14;5;14;14;14;14;3;14;11;14
44;14;14;14;14;5;14;14;14;14;3;14;11;14
45;14;14;14;14;5;14;14;14;14;3;14;11;14
46;14;14;14;14;5;14;14;14;14;3;14;11;14
47;1;1;1;1;1;1;1;1;1;1;1;1;1
48;3;5;3;4;5;3;4;3;4;3;4;4;4
49;4;5;14;4;5;3;4;7;4;3;4;4;5
50;4;5;14;4;5;3;4;10;4;3;7;4;7
51;4;5;14;4;5;3;4;10;4;3;7;4;7
52;6;5;14;4;5;3;4;12;5;3;7;4;7
53;6;5;14;8;5;5;4;12;5;3;8;4;9
54;6;5;14;8;5;5;4;12;5;3;8;4;9
55;8;5;14;10;5;5;4;12;6;3;9;4;9
56;12;11;14;13;5;10;7;14;8;3;12;4;14
57;12;11;14;13;5;10;8;14;11;3;13;4;14
58;12;11;14;14;5;10;8;14;12;3;14;4;14
59;12;11;14;14;5;10;8;14;12;3;14;4;14
60;12;12;14;14;5;10;8;14;12;3;14;4;14
61;14;12;14;14;5;10;10;14;12;3;14;6;14
62;14;12;14;14;5;13;10;14;12;3;14;6;14
63;14;14;14;14;5;14;12;14;14;3;14;8;14
64;14;14;14;14;5;14;14;14;14;3;14;11;14
65;14;14;14;14;5;14;14;14;14;3;14;11;14
66;14;14;14;14;5;14;14;14;14;3;14;11;14
67;14;14;14;14;5;14;14;14;14;3;14;11;14
68;14;14;14;14;5;14;14;14;14;3;14;11;14
69;14;14;14;14;5;14;14;14;14;3;14;11;14
70;14;14;14;14;5;14;14;14;14;3;14;11;14
71;1;1;1;1;1;1;1;1;1;1;1;1;1
72;3;5;3;4;5;3;4;3;4;3;4;4;4
73;4;5;14;4;5;3;4;7;4;3;4;4;5
74;4;5;14;4;5;3;4;10;4;3;7;4;7
75;4;5;14;4;5;3;4;10;4;3;7;4;7
76;6;5;14;4;5;3;4;12;5;3;7;4;7
77;6;5;14;8;5;5;4;12;5;3;8;4;9
78;6;5;14;8;5;5;4;12;5;3;8;4;9
79;8;5;14;10;5;5;4;12;6;3;9;4;9
80;12;11;14;13;5;10;7;14;8;3;12;4;14
81;12;11;14;13;5;10;8;14;11;3;13;4;14
82;12;11;14;14;5;10;8;14;12;3;14;4;14
83;12;11;14;14;5;10;8;14;12;3;14;4;14
84;12;12;14;14;5;10;8;14;12;3;14;4;14
85;14;12;14;14;5;10;10;14;12;3;14;6;14
86;14;12;14;14;5;13;10;14;12;3;14;6;14
87;14;14;14;14;5;14;12;14;14;3;14;8;14
88;14;14;14;14;5;14;14;14;14;3;14;11;14
89;14;14;14;14;5;14;14;14;14;3;14;11;14
90;14;14;14;14;5;14;14;14;14;3;14;11;14
91;14;14;14;14;5;14;14;14;14;3;14;11;14
92;14;14;14;14;5;14;14;14;14;3;14;11;14
93;14;14;14;14;5;14;14;14;14;3;14;11;14
94;14;14;14;14;5;14;14;14;14;3;14;11;14
95;1;1;1;1;1;1;1;1;1;1;1;1;1
96;3;5;3;4;5;3;4;3;4;3;4;4;4
97;4;5;14;4;5;3;4;7;4;3;4;4;5
98;4;5;14;4;5;3;4;10;4;3;7;4;7
99;4;5;14;4;5;3;4;10;4;3;7;4;7
100;6;5;14;4;5;3;4;12;5;3;7;4;7
101;6;5;14;8;5;5;4;12;5;3;8;4;9
102;6;5;14;8;5;5;4;12;5;3;8;4;9
103;8;5;14;10;5;5;4;12;6;3;9;4;9
104;12;11;14;13;5;10;7;14;8;3;12;4;14
105;12;11;14;13;5;10;8;14;11;3;13;4;14
106;12;11;14;14;5;10;8;14;12;3;14;4;14
107;12;11;14;14;5;10;8;14;12;3;14;4;14
108;12;12;14;14;5;10;8;14;12;3;14;4;14
109;14;12;14;14;5;10;10;14;12;3;14;6;14
110;14;12;14;14;5;13;10;14;12;3;14;6;14
111;14;14;14;14;5;14;12;14;14;3;14;8;14
112;14;14;14;14;5;14;14;14;14;3;14;11;14
113;14;14;14;14;5;14;14;14;14;3;14;11;14
114;14;14;14;14;5;14;14;14;14;3;14;11;14
115;14;14;14;14;5;14;14;14;14;3;14;11;14
116;14;14;14;14;5;14;14;14;14;3;14;11;14
117;14;14;14;14;5;14;14;14;14;3;14;11;14
118;14;14;14;14;5;14;14;14;14;3;14;11;14
119;1;1;1;1;1;1;1;1;1;1;1;1;1
120;3;5;3;4;5;3;4;3;4;3;4;4;4
121;4;5;14;4;5;3;4;7;4;3;4;4;5
122;4;5;14;4;5;3;4;10;4;3;7;4;7
123;4;5;14;4;5;3;4;10;4;3;7;4;7
124;6;5;14;4;5;3;4;12;5;3;7;4;7
125;6;5;14;8;5;5;4;12;5;3;8;4;9
126;6;5;14;8;5;5;4;12;5;3;8;4;9
127;8;5;14;10;5;5;4;12;6;3;9;4;9
128;12;11;14;13;5;10;7;14;8;3;12;4;14
129;12;11;14;13;5;10;8;14;11;3;13;4;14
130;12;11;14;14;5;10;8;14;12;3;14;4;14
131;12;11;14;14;5;10;8;14;12;3;14;4;14
132;12;12;14;14;5;10;8;14;12;3;14;4;14
133;14;12;14;14;5;10;10;14;12;3;14;6;14
134;14;12;14;14;5;13;10;14;12;3;14;6;14
135;14;14;14;14;5;14;12;14;14;3;14;8;14
136;14;14;14;14;5;14;14;14;14;3;14;11;14
137;14;14;14;14;5;14;14;14;14;3;14;11;14
138;14;14;14;14;5;14;14;14;14;3;14;11;14
139;14;14;14;14;5;14;14;14;14;3;14;11;14
140;14;14;14;14;5;14;14;14;14;3;14;11;14
141;14;14;14;14;5;14;14;14;14;3;14;11;14
142;14;14;14;14;5;14;14;14;14;3;14;11;14
143;1;1;1;1;1;1;1;1;1;1;1;1;1
144;3;5;3;4;5;3;4;3;4;3;4;4;4
145;4;5;14;4;5;3;4;7;4;3;4;4;5
146;4;5;14;4;5;3;4;10;4;3;7;4;7
147;4;5;14;4;5;3;4;10;4;3;7;4;7
148;6;5;14;4;5;3;4;12;5;3;7;4;7
149;6;5;14;8;5;5;4;12;5;3;8;4;9
150;6;5;14;8;5;5;4;12;5;3;8;4;9
151;8;5;14;10;5;5;4;12;6;3;9;4;9
152;12;11;14;13;5;10;7;14;8;3;12;4;14
153;12;11;14;13;5;10;8;14;11;3;13;4;14
154;12;11;14;14;5;10;8;14;12;3;14;4;14
155;12;11;14;14;5;10;8;14;12;3;14;4;14
156;12;12;14;14;5;10;8;14;12;3;14;4;14
157;14;12;14;14;5;10;10;14;12;3;14;6;14
158;14;12;14;14;5;13;10;14;12;3;14;6;14
159;14;14;14;14;5;14;12;14;14;3;14;8;14
160;14;14;14;14;5;14;14;14;14;3;14;11;14
161;14;14;14;14;5;14;14;14;14;3;14;11;14
162;14;14;14;14;5;14;14;14;14;3;14;11;14
