Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13803;13801;2;-1;-3;2
0;0;0;Bom Fim;11593;11589;4;0;-4;4
0;0;0;Centro;39155;39154;1;1;0;1
0;0;0;Cidade Baixa;15379;15377;2;0;-2;2
0;0;0;Farroupilha;962;959;3;1;-2;3
0;0;0;Floresta;11596;11594;2;0;-2;2
0;0;0;Independência;8109;8106;3;-3;-6;3
0;0;0;Menino Deus;31649;31647;2;-1;-3;2
0;0;0;Moinhos de Vento;11939;11937;2;2;0;2
0;0;0;Praia de Belas;2281;2280;1;0;-1;1
0;0;0;Rio Branco;17531;17529;2;0;-2;2
0;0;0;Santa Cecília;5768;5766;2;0;-2;2
0;0;0;Santana;20724;20722;2;1;-1;2
1;1;0;Azenha;13802;13797;5;-1;-4;3
1;1;0;Bom Fim;11593;11585;8;0;-4;4
1;1;0;Centro;39170;39154;16;15;0;15
1;1;0;Cidade Baixa;15378;15374;4;-1;-3;2
1;1;0;Farroupilha;956;953;3;-6;-6;0
1;1;0;Floresta;11594;11590;4;-2;-4;2
1;1;0;Independência;8104;8099;5;-5;-7;2
1;1;0;Menino Deus;31652;31643;9;3;-4;7
1;1;0;Moinhos de Vento;11941;11936;5;2;-1;3
1;1;0;Praia de Belas;2278;2276;2;-3;-4;1
1;1;0;Rio Branco;17533;17527;6;2;-2;4
1;1;0;Santa Cecília;5764;5761;3;-4;-5;1
1;1;0;Santana;20724;20718;6;0;-4;4
2;2;0;Azenha;13801;13796;5;-1;-1;0
2;2;0;Bom Fim;11589;11581;8;-4;-4;0
2;2;0;Centro;39180;39153;27;10;-1;11
2;2;0;Cidade Baixa;15376;15372;4;-2;-2;0
2;2;0;Farroupilha;952;949;3;-4;-4;0
2;2;0;Floresta;11591;11587;4;-3;-3;0
2;2;0;Independência;8104;8098;6;0;-1;1
2;2;0;Menino Deus;31659;31641;18;7;-2;9
2;2;0;Moinhos de Vento;11939;11934;5;-2;-2;0
2;2;0;Praia de Belas;2277;2274;3;-1;-2;1
2;2;0;Rio Branco;17534;17525;9;1;-2;3
2;2;0;Santa Cecília;5762;5758;4;-2;-3;1
2;2;0;Santana;20725;20715;10;1;-3;4
3;3;0;Azenha;13802;13796;6;1;0;1
3;3;0;Bom Fim;11589;11582;7;0;1;-1
3;3;0;Centro;39173;39153;20;-7;0;-7
3;3;0;Cidade Baixa;15378;15373;5;2;1;1
3;3;0;Farroupilha;953;950;3;1;1;0
3;3;0;Floresta;11593;11589;4;2;2;0
3;3;0;Independência;8104;8098;6;0;0;0
3;3;0;Menino Deus;31656;31640;16;-3;-1;-2
3;3;0;Moinhos de Vento;11937;11933;4;-2;-1;-1
3;3;0;Praia de Belas;2278;2274;4;1;0;1
3;3;0;Rio Branco;17536;17525;11;2;0;2
3;3;0;Santa Cecília;5763;5759;4;1;1;0
3;3;0;Santana;20727;20715;12;2;0;2
4;4;0;Azenha;13803;13792;11;1;-4;5
4;4;0;Bom Fim;11590;11574;16;1;-8;9
4;4;0;Centro;39185;39152;33;12;-1;13
4;4;0;Cidade Baixa;15377;15367;10;-1;-6;5
4;4;0;Farroupilha;947;941;6;-6;-9;3
4;4;0;Floresta;11590;11583;7;-3;-6;3
4;4;0;Independência;8098;8086;12;-6;-12;6
4;4;0;Menino Deus;31663;31636;27;7;-4;11
4;4;0;Moinhos de Vento;11941;11932;9;4;-1;5
4;4;0;Praia de Belas;2274;2268;6;-4;-6;2
4;4;0;Rio Branco;17535;17519;16;-1;-6;5
