Simulation Frame;Blob Count
0;130
1;130
2;130
3;130
4;130
5;130
6;130
7;130
8;130
9;130
10;130
11;130
12;130
13;130
14;130
15;130
16;130
17;130
18;130
19;130
20;130
21;130
22;130
23;13
24;130
25;130
26;130
27;130
28;130
29;130
30;130
31;130
32;130
33;130
34;130
35;130
36;130
37;130
38;130
39;130
40;130
41;130
42;130
43;130
44;130
45;130
46;130
47;13
48;130
49;130
50;130
51;130
52;130
53;130
54;130
55;130
56;130
57;130
58;130
59;130
60;130
61;130
62;130
63;130
64;130
65;130
66;130
67;130
68;130
69;130
70;130
71;13
72;130
73;130
74;130
75;130
76;130
77;130
78;130
79;130
80;130
81;130
82;130
83;130
84;130
85;130
86;130
87;130
88;130
89;130
90;130
91;130
92;130
93;130
94;130
95;13
96;130
97;130
98;130
99;130
100;130
101;130
102;130
103;130
104;130
105;130
106;130
107;130
108;130
109;130
110;130
111;130
112;130
113;130
114;130
115;130
116;130
117;130
118;130
119;13
120;130
121;130
122;130
123;130
124;130
125;130
126;130
127;130
128;130
129;130
130;130
131;130
132;130
133;130
134;130
135;130
136;130
137;130
138;130
139;130
140;130
141;130
142;130
143;13
144;130
145;130
146;130
147;130
148;130
149;130
150;130
151;130
152;130
153;130
154;130
155;130
156;130
157;130
158;130
159;130
160;130
161;130
162;130
163;130
164;130
165;130
166;130
167;13
168;130
169;130
170;130
171;130
172;130
173;130
174;130
175;130
176;130
177;130
178;130
179;130
180;130
181;130
182;130
183;130
184;130
185;130
186;130
187;130
188;130
189;130
190;130
191;13
192;130
193;130
194;130
195;130
196;130
197;130
198;130
199;130
200;130
201;130
202;130
203;130
204;130
205;130
206;130
207;130
208;130
209;130
210;130
211;130
212;130
213;130
214;130
215;13
216;130
217;130
218;130
219;130
220;130
221;130
222;130
223;130
224;130
225;130
226;130
227;130
228;130
229;130
230;130
231;130
232;130
233;130
234;130
235;130
236;130
237;130
238;130
239;13
