Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
0;14;1;14;1;14;1;14;14;14;1;14;14;14
1;14;1;14;1;14;1;14;14;14;1;14;14;14
2;14;1;14;1;14;1;14;14;14;1;14;14;14
3;14;1;14;1;14;1;14;14;14;1;14;14;14
4;14;1;14;1;14;1;14;14;14;1;14;14;14
5;14;1;14;1;14;1;14;14;14;1;14;14;14
6;14;1;14;1;14;1;14;14;14;1;14;14;14
7;14;1;14;1;14;1;14;14;14;1;14;14;14
8;14;1;14;1;14;1;14;14;14;1;14;14;14
9;14;1;14;1;14;1;14;14;14;1;14;14;14
10;14;1;14;1;14;1;14;14;14;1;14;14;14
11;14;1;14;1;14;1;14;14;14;1;14;14;14
12;14;1;14;1;14;1;14;14;14;1;14;14;14
13;14;1;14;1;14;1;14;14;14;1;14;14;14
14;14;1;14;1;14;1;14;14;14;1;14;14;14
15;14;1;14;1;14;1;14;14;14;1;14;14;14
16;14;1;14;1;14;1;14;14;14;1;14;14;14
17;14;1;14;1;14;1;14;14;14;1;14;14;14
18;14;1;14;1;14;1;14;14;14;1;14;14;14
19;14;1;14;1;14;1;14;14;14;1;14;14;14
20;14;1;14;1;14;1;14;14;14;1;14;14;14
21;14;1;14;1;14;1;14;14;14;1;14;14;14
22;14;1;14;1;14;1;14;14;14;1;14;14;14
23;1;1;1;1;1;1;1;1;1;1;1;1;1
24;14;1;14;1;14;1;14;14;14;1;14;14;14
25;14;1;14;1;14;1;14;14;14;1;14;14;14
26;14;1;14;1;14;1;14;14;14;1;14;14;14
27;14;1;14;1;14;1;14;14;14;1;14;14;14
28;14;1;14;1;14;1;14;14;14;1;14;14;14
29;14;1;14;1;14;1;14;14;14;1;14;14;14
30;14;1;14;1;14;1;14;14;14;1;14;14;14
31;14;1;14;1;14;1;14;14;14;1;14;14;14
32;14;1;14;1;14;1;14;14;14;1;14;14;14
33;14;1;14;1;14;1;14;14;14;1;14;14;14
34;14;1;14;1;14;1;14;14;14;1;14;14;14
35;14;1;14;1;14;1;14;14;14;1;14;14;14
36;14;1;14;1;14;1;14;14;14;1;14;14;14
37;14;1;14;1;14;1;14;14;14;1;14;14;14
38;14;1;14;1;14;1;14;14;14;1;14;14;14
39;14;1;14;1;14;1;14;14;14;1;14;14;14
40;14;1;14;1;14;1;14;14;14;1;14;14;14
41;14;1;14;1;14;1;14;14;14;1;14;14;14
42;14;1;14;1;14;1;14;14;14;1;14;14;14
43;14;1;14;1;14;1;14;14;14;1;14;14;14
44;14;1;14;1;14;1;14;14;14;1;14;14;14
45;14;1;14;1;14;1;14;14;14;1;14;14;14
46;14;1;14;1;14;1;14;14;14;1;14;14;14
47;1;1;1;1;1;1;1;1;1;1;1;1;1
48;14;1;14;1;14;1;14;14;14;1;14;14;14
