Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13828;13750;78;24;-54;78
0;0;0;Bom Fim;11509;11509;0;-84;-84;0
0;0;0;Centro;39188;39119;69;34;-35;69
0;0;0;Cidade Baixa;15318;15318;0;-61;-61;0
0;0;0;Farroupilha;989;900;89;28;-61;89
0;0;0;Floresta;11541;11541;0;-55;-55;0
0;0;0;Independência;8143;8057;86;31;-55;86
0;0;0;Menino Deus;31681;31606;75;31;-44;75
0;0;0;Moinhos de Vento;11970;11894;76;33;-43;76
0;0;0;Praia de Belas;2235;2235;0;-46;-46;0
0;0;0;Rio Branco;17554;17472;82;23;-59;82
0;0;0;Santa Cecília;5787;5708;79;19;-60;79
0;0;0;Santana;20746;20666;80;23;-57;80
1;1;0;Azenha;13829;13717;112;1;-33;34
1;1;0;Bom Fim;11474;11474;0;-35;-35;0
1;1;0;Centro;39255;39105;150;67;-14;81
1;1;0;Cidade Baixa;15286;15286;0;-32;-32;0
1;1;0;Farroupilha;956;866;90;-33;-34;1
1;1;0;Floresta;11518;11518;0;-23;-23;0
1;1;0;Independência;8127;8030;97;-16;-27;11
1;1;0;Menino Deus;31743;31587;156;62;-19;81
1;1;0;Moinhos de Vento;11976;11876;100;6;-18;24
1;1;0;Praia de Belas;2208;2208;0;-27;-27;0
1;1;0;Rio Branco;17576;17451;125;22;-21;43
1;1;0;Santa Cecília;5759;5674;85;-28;-34;6
1;1;0;Santana;20782;20642;140;36;-24;60
2;2;0;Azenha;13820;13714;106;-9;-3;-6
2;2;0;Bom Fim;11471;11471;0;-3;-3;0
2;2;0;Centro;39261;39105;156;6;0;6
2;2;0;Cidade Baixa;15284;15284;0;-2;-2;0
2;2;0;Farroupilha;958;866;92;2;0;2
2;2;0;Floresta;11517;11517;0;-1;-1;0
2;2;0;Independência;8124;8027;97;-3;-3;0
2;2;0;Menino Deus;31751;31587;164;8;0;8
2;2;0;Moinhos de Vento;11976;11874;102;0;-2;2
2;2;0;Praia de Belas;2207;2207;0;-1;-1;0
2;2;0;Rio Branco;17578;17449;129;2;-2;4
2;2;0;Santa Cecília;5763;5673;90;4;-1;5
2;2;0;Santana;20779;20641;138;-3;-1;-2
3;3;0;Azenha;13834;13721;113;14;7;7
3;3;0;Bom Fim;11474;11474;0;3;3;0
3;3;0;Centro;39263;39108;155;2;3;-1
3;3;0;Cidade Baixa;15287;15287;0;3;3;0
3;3;0;Farroupilha;962;869;93;4;3;1
3;3;0;Floresta;11518;11518;0;1;1;0
3;3;0;Independência;8133;8030;103;9;3;6
3;3;0;Menino Deus;31728;31588;140;-23;1;-24
3;3;0;Moinhos de Vento;11978;11876;102;2;2;0
3;3;0;Praia de Belas;2210;2210;0;3;3;0
3;3;0;Rio Branco;17568;17449;119;-10;0;-10
3;3;0;Santa Cecília;5767;5679;88;4;6;-2
3;3;0;Santana;20767;20641;126;-12;0;-12
4;4;0;Azenha;13867;13650;217;33;-71;104
4;4;0;Bom Fim;11370;11370;0;-104;-104;0
4;4;0;Centro;39350;39064;286;87;-44;131
4;4;0;Cidade Baixa;15204;15204;0;-83;-83;0
4;4;0;Farroupilha;972;788;184;10;-81;91
4;4;0;Floresta;11445;11445;0;-73;-73;0
4;4;0;Independência;8159;7959;200;26;-71;97
4;4;0;Menino Deus;31765;31529;236;37;-59;96
4;4;0;Moinhos de Vento;12007;11817;190;29;-59;88
4;4;0;Praia de Belas;2149;2149;0;-61;-61;0
4;4;0;Rio Branco;17615;17378;237;47;-71;118
4;4;0;Santa Cecília;5778;5601;177;11;-78;89
4;4;0;Santana;20808;20569;239;41;-72;113
5;5;0;Azenha;13849;13639;210;-18;-11;-7
5;5;0;Bom Fim;11363;11363;0;-7;-7;0
5;5;0;Centro;39353;39060;293;3;-4;7
5;5;0;Cidade Baixa;15196;15196;0;-8;-8;0
5;5;0;Farroupilha;967;781;186;-5;-7;2
5;5;0;Floresta;11440;11440;0;-5;-5;0
5;5;0;Independência;8162;7954;208;3;-5;8
5;5;0;Menino Deus;31816;31527;289;51;-2;53
5;5;0;Moinhos de Vento;12020;11816;204;13;-1;14
5;5;0;Praia de Belas;2141;2141;0;-8;-8;0
5;5;0;Rio Branco;17600;17371;229;-15;-7;-8
5;5;0;Santa Cecília;5779;5597;182;1;-4;5
5;5;0;Santana;20803;20564;239;-5;-5;0
6;6;0;Azenha;13847;13652;195;-2;13;-15
6;6;0;Bom Fim;11376;11376;0;13;13;0
6;6;0;Centro;39321;39066;255;-32;6;-38
6;6;0;Cidade Baixa;15211;15211;0;15;15;0
6;6;0;Farroupilha;981;794;187;14;13;1
6;6;0;Floresta;11451;11451;0;11;11;0
6;6;0;Independência;8159;7965;194;-3;11;-14
6;6;0;Menino Deus;31782;31536;246;-34;9;-43
6;6;0;Moinhos de Vento;12011;11822;189;-9;6;-15
6;6;0;Praia de Belas;2153;2153;0;12;12;0
6;6;0;Rio Branco;17613;17384;229;13;13;0
6;6;0;Santa Cecília;5782;5607;175;3;10;-7
6;6;0;Santana;20802;20575;227;-1;11;-12
7;7;0;Azenha;13863;13635;228;16;-17;33
7;7;0;Bom Fim;11352;11352;0;-24;-24;0
7;7;0;Centro;39353;39055;298;32;-11;43
7;7;0;Cidade Baixa;15191;15191;0;-20;-20;0
7;7;0;Farroupilha;966;777;189;-15;-17;2
7;7;0;Floresta;11435;11435;0;-16;-16;0
7;7;0;Independência;8165;7950;215;6;-15;21
7;7;0;Menino Deus;31802;31522;280;20;-14;34
7;7;0;Moinhos de Vento;12020;11810;210;9;-12;21
7;7;0;Praia de Belas;2138;2138;0;-15;-15;0
7;7;0;Rio Branco;17609;17367;242;-4;-17;13
7;7;0;Santa Cecília;5775;5591;184;-7;-16;9
7;7;0;Santana;20820;20562;258;18;-13;31
8;8;0;Azenha;13884;13536;348;21;-99;120
8;8;0;Bom Fim;11223;11223;0;-129;-129;0
8;8;0;Centro;39501;38998;503;148;-57;205
8;8;0;Cidade Baixa;15079;15079;0;-112;-112;0
8;8;0;Farroupilha;951;670;281;-15;-107;92
8;8;0;Floresta;11343;11343;0;-92;-92;0
8;8;0;Independência;8176;7854;322;11;-96;107
8;8;0;Menino Deus;31922;31451;471;120;-71;191
8;8;0;Moinhos de Vento;12064;11737;327;44;-73;117
8;8;0;Praia de Belas;2050;2050;0;-88;-88;0
8;8;0;Rio Branco;17670;17276;394;61;-91;152
8;8;0;Santa Cecília;5785;5492;293;10;-99;109
8;8;0;Santana;20841;20467;374;21;-95;116
9;9;0;Azenha;13876;13533;343;-8;-3;-5
9;9;0;Bom Fim;11217;11217;0;-6;-6;0
9;9;0;Centro;39490;38997;493;-11;-1;-10
9;9;0;Cidade Baixa;15079;15079;0;0;0;0
9;9;0;Farroupilha;949;665;284;-2;-5;3
9;9;0;Floresta;11340;11340;0;-3;-3;0
9;9;0;Independência;8181;7853;328;5;-1;6
9;9;0;Menino Deus;31891;31448;443;-31;-3;-28
9;9;0;Moinhos de Vento;12046;11734;312;-18;-3;-15
9;9;0;Praia de Belas;2050;2050;0;0;0;0
9;9;0;Rio Branco;17692;17275;417;22;-1;23
9;9;0;Santa Cecília;5781;5484;297;-4;-8;4
9;9;0;Santana;20897;20470;427;56;3;53
10;10;0;Azenha;13859;13519;340;-17;-14;-3
10;10;0;Bom Fim;11209;11209;0;-8;-8;0
10;10;0;Centro;39478;38991;487;-12;-6;-6
10;10;0;Cidade Baixa;15070;15070;0;-9;-9;0
10;10;0;Farroupilha;946;658;288;-3;-7;4
10;10;0;Floresta;11333;11333;0;-7;-7;0
10;10;0;Independência;8183;7846;337;2;-7;9
10;10;0;Menino Deus;31935;31447;488;44;-1;45
10;10;0;Moinhos de Vento;12070;11731;339;24;-3;27
10;10;0;Praia de Belas;2040;2040;0;-10;-10;0
10;10;0;Rio Branco;17668;17265;403;-24;-10;-14
10;10;0;Santa Cecília;5785;5477;308;4;-7;11
10;10;0;Santana;20913;20462;451;16;-8;24
11;11;0;Azenha;13862;13529;333;3;10;-7
11;11;0;Bom Fim;11216;11216;0;7;7;0
11;11;0;Centro;39455;38994;461;-23;3;-26
11;11;0;Cidade Baixa;15078;15078;0;8;8;0
11;11;0;Farroupilha;960;670;290;14;12;2
11;11;0;Floresta;11340;11340;0;7;7;0
11;11;0;Independência;8200;7854;346;17;8;9
11;11;0;Menino Deus;31956;31455;501;21;8;13
11;11;0;Moinhos de Vento;12075;11736;339;5;5;0
11;11;0;Praia de Belas;2047;2047;0;7;7;0
11;11;0;Rio Branco;17668;17273;395;0;8;-8
11;11;0;Santa Cecília;5789;5493;296;4;16;-12
11;11;0;Santana;20843;20465;378;-70;3;-73
12;12;0;Azenha;13919;13472;447;57;-57;114
12;12;0;Bom Fim;11126;11126;0;-90;-90;0
12;12;0;Centro;39545;38957;588;90;-37;127
12;12;0;Cidade Baixa;15005;15005;0;-73;-73;0
12;12;0;Farroupilha;985;603;382;25;-67;92
12;12;0;Floresta;11281;11281;0;-59;-59;0
12;12;0;Independência;8219;7793;426;19;-61;80
12;12;0;Menino Deus;31962;31399;563;6;-56;62
12;12;0;Moinhos de Vento;12083;11688;395;8;-48;56
12;12;0;Praia de Belas;1993;1993;0;-54;-54;0
12;12;0;Rio Branco;17676;17209;467;8;-64;72
12;12;0;Santa Cecília;5796;5424;372;7;-69;76
12;12;0;Santana;20899;20403;496;56;-62;118
13;13;0;Azenha;13916;13452;464;-3;-20;17
13;13;0;Bom Fim;11108;11108;0;-18;-18;0
13;13;0;Centro;39517;38947;570;-28;-10;-18
13;13;0;Cidade Baixa;14990;14990;0;-15;-15;0
13;13;0;Farroupilha;968;584;384;-17;-19;2
13;13;0;Floresta;11267;11267;0;-14;-14;0
13;13;0;Independência;8216;7778;438;-3;-15;12
13;13;0;Menino Deus;32009;31389;620;47;-10;57
13;13;0;Moinhos de Vento;12085;11675;410;2;-13;15
13;13;0;Praia de Belas;1979;1979;0;-14;-14;0
13;13;0;Rio Branco;17716;17197;519;40;-12;52
13;13;0;Santa Cecília;5800;5404;396;4;-20;24
13;13;0;Santana;20918;20389;529;19;-14;33
14;14;0;Azenha;13947;13451;496;31;-1;32
14;14;0;Bom Fim;11094;11094;0;-14;-14;0
